Puzzle solver summary
  playable only: True
  won: False
  accepted near win: False
  need attempt: 0
  candidate index: -1
  candidates evaluated in winning attempt: 0
  ticks per candidate: 0
  win duration ticks: 3
  required alive ticks at end: 0
  final sustained ticks: 0
  stable at end: False
  glowing cells: 0/129
  swaps: 0
  reactions: 0
  active cells in last window: 0
  touching pairs: 233
  strain penalty: -0
  final score: 0

Cells
  cell-r92: produces R92; needs B, R126, R123
  cell-r121: produces R121; needs F, R31, K
  cell-r31: produces R31; needs R121, K, R46
  cell-k: produces K; needs R33, R31, R46
  cell-r46: produces R46; needs R33, K, R114
  cell-r33: produces R33; needs R114, M, R46
  cell-r114: produces R114; needs M, V, R33
  cell-m: produces M; needs R27, R114, V
  cell-v: produces V; needs M, R27, R
  cell-r27: produces R27; needs R32, R, V
  cell-r: produces R; needs R82, R27, R32
  cell-r32: produces R32; needs R65, R82, R
  cell-r82: produces R82; needs R65, R101, R32
  cell-r65: produces R65; needs R58, R101, R82
  cell-r101: produces R101; needs R58, R65, R34
  cell-r58: produces R58; needs R101, R41, R34
  cell-r34: produces R34; needs R58, R41, R51
  cell-r41: produces R41; needs R70, R34, R51
  cell-r51: produces R51; needs R41, R70, R72
  cell-r70: produces R70; needs R112, R72, R51
  cell-r72: produces R72; needs R70, R105, R112
  cell-r112: produces R112; needs R26, R105, R72
  cell-r105: produces R105; needs R26, R126, R112
  cell-r26: produces R26; needs R105, R123, R126
  cell-r126: produces R126; needs B, R26, R123

