candidate,won,first_win_tick,best_10_tick_flow,best_10_tick_swaps,total_swaps,total_reactions,sustained_ticks,active_cells,glowing_cells,final_score,connected_cells,layout_score,diagnostics
0,false,-1,10.00,100,5489,1617,0,14,2,-14521,14,1281042,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001,red-myco-002;missingResources=E;strong=[cell-a-001,cell-d-001,cell-f-001,cell-i-003]|[cell-c-001,cell-h-001,cell-j-001]|[cell-b-001,cell-i-002]|[cell-e-001]|[cell-g-001]|[cell-i-001]|[red-myco-001]|[red-myco-002];weak=[cell-a-001,cell-d-001,cell-f-001,cell-i-003]|[cell-c-001,cell-h-001,cell-j-001]|[cell-b-001,cell-i-002]|[cell-e-001]|[cell-g-001]|[cell-i-001]|[red-myco-001]|[red-myco-002]"
11,false,-1,11.80,118,9408,1932,0,14,4,-10723,14,1482633,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-i-002,cell-i-003,cell-j-001;missingResources=C,H;strong=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001,red-myco-002]|[cell-c-001]|[cell-h-001];weak=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001,red-myco-002]|[cell-c-001]|[cell-h-001]"
12,false,-1,10.50,105,5441,2052,0,14,2,-11976,14,1242773,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001,red-myco-002;missingResources=B,E,G;strong=[cell-a-001,cell-d-001,cell-f-001,cell-i-002,cell-i-003]|[cell-c-001,cell-h-001,cell-j-001]|[cell-b-001]|[cell-e-001]|[cell-g-001]|[cell-i-001]|[red-myco-001]|[red-myco-002];weak=[cell-a-001,cell-d-001,cell-f-001,cell-i-002,cell-i-003]|[cell-c-001,cell-h-001,cell-j-001]|[cell-b-001]|[cell-e-001]|[cell-g-001]|[cell-i-001]|[red-myco-001]|[red-myco-002]"
13,false,-1,13.30,133,8717,3920,0,14,5,13169,14,1420827,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-i-001,cell-i-003,red-myco-001,red-myco-002;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-002,cell-i-003,cell-j-001]|[cell-i-001]|[red-myco-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-002,cell-i-003,cell-j-001]|[cell-i-001]|[red-myco-001]|[red-myco-002]"
14,false,-1,13.60,136,10877,4592,0,14,6,19703,14,1509455,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-c-001,cell-f-001,cell-g-001,cell-h-001,cell-i-003,cell-j-001,red-myco-002;missingResources=C,H;strong=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001]|[cell-c-001]|[cell-h-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001]|[cell-c-001]|[cell-h-001]|[red-myco-002]"
15,false,-1,14.00,140,10296,5320,0,13,6,29080,14,1548666,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-c-001,cell-d-001,cell-g-001,cell-h-001,cell-i-003,red-myco-001,red-myco-002;missingResources=H;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001]|[cell-h-001]|[red-myco-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001]|[cell-h-001]|[red-myco-001]|[red-myco-002]"
16,false,-1,10.70,107,6667,898,0,14,2,-23160,14,1188124,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-002;missingResources=C,E,H;strong=[cell-a-001,cell-d-001,cell-f-001,cell-i-001,cell-i-003,red-myco-001]|[cell-b-001,cell-i-002]|[cell-e-001,cell-j-001]|[cell-c-001]|[cell-g-001]|[cell-h-001]|[red-myco-002];weak=[cell-a-001,cell-d-001,cell-f-001,cell-i-001,cell-i-003,red-myco-001]|[cell-b-001,cell-i-002]|[cell-e-001,cell-j-001]|[cell-c-001]|[cell-g-001]|[cell-h-001]|[red-myco-002]"
17,false,-1,10.70,107,6451,2390,0,14,4,-7016,14,1416227,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,cell-j-001,red-myco-001;missingResources=C,H,J;strong=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-002,cell-i-003,red-myco-002]|[cell-c-001]|[cell-h-001]|[cell-i-001]|[cell-j-001]|[red-myco-001];weak=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-002,cell-i-003,red-myco-002]|[cell-c-001]|[cell-h-001]|[cell-i-001]|[cell-j-001]|[red-myco-001]"
18,false,-1,12.50,125,8553,1928,0,14,3,-10773,14,1319702,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-i-002,cell-i-003,cell-j-001,red-myco-002;missingResources=C,E,H;strong=[cell-a-001,cell-b-001,cell-d-001,cell-f-001,cell-i-001,cell-i-002,cell-i-003,red-myco-001]|[cell-e-001,cell-j-001]|[cell-c-001]|[cell-g-001]|[cell-h-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-d-001,cell-f-001,cell-i-001,cell-i-002,cell-i-003,red-myco-001]|[cell-e-001,cell-j-001]|[cell-c-001]|[cell-g-001]|[cell-h-001]|[red-myco-002]"
19,false,-1,13.60,136,11040,3885,0,14,7,13629,14,1530901,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-g-001,cell-i-002,cell-i-003;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001,red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001,red-myco-002]"
20,false,-1,14.80,148,8848,3883,0,14,5,14502,14,1383654,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-e-001,cell-g-001,cell-i-001,cell-i-002,cell-i-003,red-myco-001,red-myco-002;missingResources=none;strong=[cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001]|[cell-a-001,cell-d-001,cell-f-001,cell-i-001]|[cell-b-001,cell-i-002]|[cell-i-003]|[red-myco-001]|[red-myco-002];weak=[cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001]|[cell-a-001,cell-d-001,cell-f-001,cell-i-001]|[cell-b-001,cell-i-002]|[cell-i-003]|[red-myco-001]|[red-myco-002]"
21,false,-1,11.90,119,5857,1816,0,13,3,-12132,14,1096520,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-002;missingResources=B,C,H;strong=[cell-a-001,cell-d-001,cell-f-001,cell-i-001,cell-i-003]|[cell-e-001,cell-g-001,cell-i-002,cell-j-001,red-myco-001]|[cell-b-001]|[cell-c-001]|[cell-h-001]|[red-myco-002];weak=[cell-a-001,cell-d-001,cell-f-001,cell-i-001,cell-i-003]|[cell-e-001,cell-g-001,cell-i-002,cell-j-001,red-myco-001]|[cell-b-001]|[cell-c-001]|[cell-h-001]|[red-myco-002]"
22,false,-1,17.30,173,13058,6679,0,14,9,48135,14,1553628,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-d-001,cell-g-001,cell-i-003,red-myco-002;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001]|[red-myco-002]"
23,false,-1,13.40,134,10104,3881,0,14,6,13574,14,1531000,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-g-001,cell-i-002,cell-i-003,red-myco-001;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-002]|[red-myco-001];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-002]|[red-myco-001]"
24,false,-1,6.10,61,2731,3,0,13,0,-37511,14,1047420,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001,red-myco-002;missingResources=A,C,D,F,H,I;strong=[cell-e-001,cell-g-001,cell-j-001]|[cell-b-001,cell-i-002]|[cell-a-001]|[cell-c-001]|[cell-d-001]|[cell-f-001]|[cell-h-001]|[cell-i-001]|[cell-i-003]|[red-myco-001]|[red-myco-002];weak=[cell-e-001,cell-g-001,cell-j-001]|[cell-b-001,cell-i-002]|[cell-a-001]|[cell-c-001]|[cell-d-001]|[cell-f-001]|[cell-h-001]|[cell-i-001]|[cell-i-003]|[red-myco-001]|[red-myco-002]"
25,false,-1,12.10,121,6137,1695,0,13,2,-14469,14,1425468,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,red-myco-001,red-myco-002;missingResources=H;strong=[cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-i-002,cell-j-001]|[cell-a-001,cell-f-001,cell-i-003]|[cell-h-001]|[cell-i-001]|[red-myco-001]|[red-myco-002];weak=[cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-i-002,cell-j-001]|[cell-a-001,cell-f-001,cell-i-003]|[cell-h-001]|[cell-i-001]|[red-myco-001]|[red-myco-002]"
26,false,-1,14.90,149,10739,4421,0,14,7,19189,14,1457396,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-c-001,cell-d-001,cell-g-001,cell-h-001,cell-i-003,cell-j-001;missingResources=C,H;strong=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001,red-myco-002]|[cell-c-001]|[cell-h-001];weak=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001,red-myco-002]|[cell-c-001]|[cell-h-001]"
27,false,-1,11.00,110,8948,3507,0,14,5,7279,14,1355933,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-c-001,cell-d-001,cell-g-001,cell-h-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001;missingResources=C,H;strong=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-002]|[cell-c-001]|[cell-h-001]|[red-myco-001];weak=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-002]|[cell-c-001]|[cell-h-001]|[red-myco-001]"
28,false,-1,12.50,125,6675,2960,0,14,4,2338,14,1330954,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-g-001,cell-i-001,cell-i-002,cell-i-003,red-myco-001,red-myco-002;missingResources=B;strong=[cell-a-001,cell-d-001,cell-f-001,cell-i-001,cell-i-003]|[cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001]|[cell-b-001]|[cell-i-002]|[red-myco-001]|[red-myco-002];weak=[cell-a-001,cell-d-001,cell-f-001,cell-i-001,cell-i-003]|[cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001]|[cell-b-001]|[cell-i-002]|[red-myco-001]|[red-myco-002]"
29,false,-1,10.30,103,4870,1530,0,13,2,-17346,14,1463189,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,red-myco-001,red-myco-002;missingResources=F,H;strong=[cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-i-002,cell-j-001]|[cell-a-001,cell-f-001]|[cell-h-001]|[cell-i-001]|[cell-i-003]|[red-myco-001]|[red-myco-002];weak=[cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-i-002,cell-j-001]|[cell-a-001,cell-f-001]|[cell-h-001]|[cell-i-001]|[cell-i-003]|[red-myco-001]|[red-myco-002]"
30,false,-1,10.90,109,7465,1039,0,14,3,-22315,14,1479354,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,cell-j-001;missingResources=C,H;strong=[cell-b-001,cell-d-001,cell-e-001,cell-g-001,cell-i-002,cell-j-001,red-myco-002]|[cell-a-001,cell-f-001,cell-i-003,red-myco-001]|[cell-c-001]|[cell-h-001]|[cell-i-001];weak=[cell-b-001,cell-d-001,cell-e-001,cell-g-001,cell-i-002,cell-j-001,red-myco-002]|[cell-a-001,cell-f-001,cell-i-003,red-myco-001]|[cell-c-001]|[cell-h-001]|[cell-i-001]"
31,false,-1,8.50,85,2017,754,0,14,1,-28595,14,1132023,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001,red-myco-002;missingResources=A,B,D,F,G,I;strong=[cell-c-001,cell-e-001,cell-h-001,cell-j-001]|[cell-a-001]|[cell-b-001]|[cell-d-001]|[cell-f-001]|[cell-g-001]|[cell-i-001]|[cell-i-002]|[cell-i-003]|[red-myco-001]|[red-myco-002];weak=[cell-c-001,cell-e-001,cell-h-001,cell-j-001]|[cell-a-001]|[cell-b-001]|[cell-d-001]|[cell-f-001]|[cell-g-001]|[cell-i-001]|[cell-i-002]|[cell-i-003]|[red-myco-001]|[red-myco-002]"
32,false,-1,8.30,83,3129,0,0,13,0,-37544,14,962480,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001,red-myco-002;missingResources=A,C,D,E,F,H,I;strong=[cell-b-001,cell-i-002]|[cell-e-001,cell-j-001]|[cell-a-001]|[cell-c-001]|[cell-d-001]|[cell-f-001]|[cell-g-001]|[cell-h-001]|[cell-i-001]|[cell-i-003]|[red-myco-001]|[red-myco-002];weak=[cell-b-001,cell-i-002]|[cell-e-001,cell-j-001]|[cell-a-001]|[cell-c-001]|[cell-d-001]|[cell-f-001]|[cell-g-001]|[cell-h-001]|[cell-i-001]|[cell-i-003]|[red-myco-001]|[red-myco-002]"
33,false,-1,15.00,150,9777,3567,0,14,5,9818,14,1548289,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-i-003,cell-j-001,red-myco-002;missingResources=none;strong=[cell-a-001,cell-b-001,cell-d-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-i-003,red-myco-001]|[cell-c-001,cell-e-001,cell-h-001,cell-j-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-d-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-i-003,red-myco-001]|[cell-c-001,cell-e-001,cell-h-001,cell-j-001]|[red-myco-002]"
34,false,-1,11.40,114,2959,1115,0,14,1,-20523,14,1314048,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,cell-j-001,red-myco-001,red-myco-002;missingResources=A,C,E,F,H,J;strong=[cell-b-001,cell-d-001,cell-g-001,cell-i-002]|[cell-a-001]|[cell-c-001]|[cell-e-001]|[cell-f-001]|[cell-h-001]|[cell-i-001]|[cell-i-003]|[cell-j-001]|[red-myco-001]|[red-myco-002];weak=[cell-b-001,cell-d-001,cell-g-001,cell-i-002]|[cell-a-001]|[cell-c-001]|[cell-e-001]|[cell-f-001]|[cell-h-001]|[cell-i-001]|[cell-i-003]|[cell-j-001]|[red-myco-001]|[red-myco-002]"
35,false,-1,10.80,108,5980,898,0,14,1,-24065,14,1243940,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001,red-myco-002;missingResources=C,H;strong=[cell-a-001,cell-d-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-i-003]|[cell-e-001,cell-j-001]|[cell-b-001]|[cell-c-001]|[cell-h-001]|[red-myco-001]|[red-myco-002];weak=[cell-a-001,cell-d-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-i-003]|[cell-e-001,cell-j-001]|[cell-b-001]|[cell-c-001]|[cell-h-001]|[red-myco-001]|[red-myco-002]"
36,false,-1,6.40,64,3780,899,0,13,2,-28564,14,952173,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,red-myco-001;missingResources=A,B,D,F,H,I;strong=[cell-c-001,cell-e-001,cell-g-001,cell-j-001,red-myco-002]|[cell-a-001]|[cell-b-001]|[cell-d-001]|[cell-f-001]|[cell-h-001]|[cell-i-001]|[cell-i-002]|[cell-i-003]|[red-myco-001];weak=[cell-c-001,cell-e-001,cell-g-001,cell-j-001,red-myco-002]|[cell-a-001]|[cell-b-001]|[cell-d-001]|[cell-f-001]|[cell-h-001]|[cell-i-001]|[cell-i-002]|[cell-i-003]|[red-myco-001]"
