Puzzle solver summary
  playable only: True
  won: False
  accepted near win: False
  need attempt: 0
  candidate index: -1
  candidates evaluated in winning attempt: 0
  ticks per candidate: 0
  win duration ticks: 3
  required alive ticks at end: 0
  final sustained ticks: 0
  stable at end: False
  glowing cells: 0/211
  swaps: 0
  reactions: 0
  active cells in last window: 0
  touching pairs: 392
  strain penalty: -0
  final score: 0

Cells
  cell-l-001: produces L; needs O, X, U
  cell-u-004: produces U; needs S, E, L
  cell-e-003: produces E; needs U, L, S
  cell-l-006: produces L; needs E, C, U
  cell-c-004: produces C; needs L, Q, E
  red-myco-017: red myco; needs P, U, Q, H
  cell-k-004: produces K; needs P, T, C
  cell-t-004: produces T; needs K, L, P
  cell-l-007: produces L; needs T, K, J
  cell-k-005: produces K; needs L, T, X
  cell-l-008: produces L; needs K, R, F
  red-myco-018: red myco; needs B, X, P, K
  cell-r-006: produces R; needs K, Q, L
  cell-q-004: produces Q; needs R, Z, P
  cell-z-003: produces Z; needs Q, F, R
  cell-f-003: produces F; needs Z, X, Q
  cell-x-003: produces X; needs F, M, Z
  red-myco-019: red myco; needs O, N, M, Y
  cell-i-004: produces I; needs Y, Q, X
  cell-q-005: produces Q; needs I, B, O
  cell-b-002: produces B; needs Q, N, I
  cell-n-003: produces N; needs B, K, Q
  cell-k-006: produces K; needs N, U, B
  red-myco-020: red myco; needs R, U, D, K
  cell-q-006: produces Q; needs K, D, Z
  cell-d-002: produces D; needs Q, Z, R
  cell-z-004: produces Z; needs D, U, Q
  cell-u-005: produces U; needs Z, P, D
  cell-p-006: produces P; needs U, C, Z
  red-myco-021: red myco; needs C, Y, W, E
  cell-o-002: produces O; needs E, G, P
  cell-g-008: produces G; needs O, I, Y
  cell-i-005: produces I; needs G, D, O
  cell-d-003: produces D; needs I, N, G
  cell-n-004: produces N; needs D, W, I
  red-myco-022: red myco; needs Z, U, W, H
  cell-a-002: produces A; needs U, F, N
  cell-f-004: produces F; needs A, U, N
  cell-u-006: produces U; needs F, N, A
  cell-n-005: produces N; needs U, Z, F
  cell-z-005: produces Z; needs N, T, U
  red-myco-023: red myco; needs T, F, C, V
  cell-v-006: produces V; needs T, F, Z
  cell-f-005: produces F; needs V, M, C
  cell-m-007: produces M; needs F, I, V
  cell-i-006: produces I; needs M, A, F
  cell-a-003: produces A; needs I, L, M
  red-myco-024: red myco; needs S, X, L, I
  cell-d-004: produces D; needs X, W, A
  cell-w-002: produces W; needs D, H, S
  cell-h-007: produces H; needs W, J, D
  cell-j-006: produces J; needs H, U, Y
  cell-u-007: produces U; needs J, Q, H
  red-myco-025: red myco; needs M, R, Q, V
  cell-g-009: produces G; needs V, M, U
  cell-m-008: produces M; needs G, X, R
  cell-x-004: produces X; needs M, I, G
  cell-i-007: produces I; needs X, W, M
  cell-w-003: produces W; needs I, S, X
  red-myco-026: red myco; needs S, Q, Y, C
  cell-l-009: produces L; needs Q, P, W
  cell-p-007: produces P; needs L, B, Y
  cell-b-003: produces B; needs P, L, V
  cell-l-010: produces L; needs B, P, Y
  cell-p-008: produces P; needs L, Y, V
  red-myco-027: red myco; needs S, A, N, Y
  cell-x-005: produces X; needs N, T, P
  cell-t-005: produces T; needs X, C, Y
  cell-c-005: produces C; needs T, O, X
  cell-o-003: produces O; needs C, V, T
  cell-v-007: produces V; needs O, J, C
  red-myco-028: red myco; needs T, X, J, B
  cell-t-006: produces T; needs B, E, V
  cell-e-004: produces E; needs T, A, J
  cell-a-004: produces A; needs E, T, R
  cell-a-005: produces A; needs R, E, F
  cell-r-007: produces R; needs A, G, B
  red-myco-029: red myco; needs F, O, G, C
  cell-a-006: produces A; needs O, Q, R
  cell-q-007: produces Q; needs A, O, G
  cell-o-004: produces O; needs Q, G, A
  cell-g-010: produces G; needs O, T, Q
  cell-t-007: produces T; needs G, O, K
  red-myco-030: red myco; needs O, C, U, P
  cell-k-007: produces K; needs O, S, T
  cell-s-004: produces S; needs K, O, U
  cell-o-005: produces O; needs S, V, K
  cell-v-008: produces V; needs O, F, S
  cell-f-006: produces F; needs V, N, O
  red-myco-031: red myco; needs P, O, N, A
  cell-r-008: produces R; needs O, K, F
  cell-k-008: produces K; needs R, G, O
  cell-g-011: produces G; needs K, B, R
  cell-b-004: produces B; needs G, Y, K
  cell-y-002: produces Y; needs B, D, G
  red-myco-032: red myco; needs D, O, F, G
  cell-j-007: produces J; needs G, Y, B
  cell-y-003: produces Y; needs J, B, G
  cell-b-005: produces B; needs Y, C, J
  cell-c-006: produces C; needs B, U, Y
  cell-u-008: produces U; needs C, Y, B
  red-myco-033: red myco; needs F, A, Y, X
  cell-g-012: produces G; needs F, Y, U
  cell-y-004: produces Y; needs G, N, F
  cell-n-006: produces N; needs Y, Z, G
  cell-z-006: produces Z; needs N, Y, I
  cell-z-007: produces Z; needs D, N, B
  red-myco-034: red myco; needs H, L, D, I
  cell-n-007: produces N; needs L, M, Z
  cell-m-009: produces M; needs N, I, V
  cell-n-008: produces N; needs M, V, Z
  cell-v-009: produces V; needs N, Z, M
  cell-z-008: produces Z; needs V, P, N
  red-myco-035: red myco; needs P, R, W, U
  cell-o-006: produces O; needs P, L, Z

