Puzzle solver summary
  playable only: True
  won: False
  accepted near win: False
  need attempt: 0
  candidate index: -1
  candidates evaluated in winning attempt: 0
  ticks per candidate: 0
  win duration ticks: 3
  required alive ticks at end: 0
  final sustained ticks: 0
  stable at end: False
  glowing cells: 0/135
  swaps: 0
  reactions: 0
  active cells in last window: 0
  touching pairs: 200
  strain penalty: -0
  final score: 0

Cells
  cell-r132: produces R132; needs R87, P, R36
  cell-r54: produces R54; needs R86, Y, R81
  cell-r86: produces R86; needs R54, R119, Y
  cell-y: produces Y; needs R134, R119, R86
  cell-r119: produces R119; needs Y, R72, R134
  cell-r134: produces R134; needs R72, R83, R119
  cell-r72: produces R72; needs R85, R134, R83
  cell-r83: produces R83; needs R85, S, R72
  cell-r85: produces R85; needs R83, R63, S
  cell-s: produces S; needs R63, R85, H
  cell-r63: produces R63; needs R57, H, S
  cell-h: produces H; needs R63, R57, R70
  cell-r57: produces R57; needs R70, H, R53
  cell-r70: produces R70; needs R74, R57, R53
  cell-r53: produces R53; needs R70, A, R74
  cell-r74: produces R74; needs A, R53, F
  cell-a: produces A; needs F, R122, R74
  cell-f: produces F; needs R122, A, R39
  cell-r122: produces R122; needs R39, R111, F
  cell-r39: produces R39; needs R111, R, R122
  cell-r111: produces R111; needs R91, R, R39
  cell-r: produces R; needs R91, R111, R32
  cell-r91: produces R91; needs R, R32, R31
  cell-r32: produces R32; needs R50, R31, R91
  cell-r31: produces R31; needs R50, R32, R127
  cell-r50: produces R50; needs R127, R120, R31
  cell-r127: produces R127; needs R120, R93, R50
  cell-r120: produces R120; needs R93, R107, R127
  cell-r93: produces R93; needs R107, R120, B
  cell-r107: produces R107; needs R46, R93, B
  cell-b: produces B; needs R94, R46, R107
  cell-r46: produces R46; needs R77, R94, B
  cell-r94: produces R94; needs R125, R77, R46
  cell-r77: produces R77; needs R125, R94, R52
  cell-r125: produces R125; needs R77, R43, R52
  cell-r52: produces R52; needs R69, R43, R125
  cell-r43: produces R43; needs R69, I, R52
  cell-r69: produces R69; needs Z, R43, I
  cell-i: produces I; needs R69, Z, R76
  cell-z: produces Z; needs R76, I, R78
  cell-r76: produces R76; needs Z, R78, R117
  cell-r78: produces R78; needs R113, R76, R117
  cell-r117: produces R117; needs Q, R78, R113
  cell-r113: produces R113; needs R41, Q, R117
  cell-q: produces Q; needs R41, R61, R113
  cell-r41: produces R41; needs R109, R61, Q
  cell-r61: produces R61; needs R109, R41, R112
  cell-r109: produces R109; needs R115, R61, R112
  cell-r112: produces R112; needs R96, R109, R115
  cell-r115: produces R115; needs R102, R96, R112
  cell-r96: produces R96; needs R102, R115, R68
  cell-r102: produces R102; needs T, R68, R96
  cell-r68: produces R68; needs T, R99, R102
  cell-t: produces T; needs R110, R99, R68
  cell-r99: produces R99; needs T, R110, R82
  cell-r110: produces R110; needs R99, R92, R82
  cell-r82: produces R82; needs R116, R110, R92
  cell-r92: produces R92; needs R116, R51, R82
  cell-r116: produces R116; needs R51, R65, R92
  cell-r51: produces R51; needs K, R65, R116
  cell-r65: produces R65; needs R51, K, R79
  cell-k: produces K; needs R79, R65, R131
  cell-r79: produces R79; needs K, R131, J
  cell-r131: produces R131; needs J, R79, U
  cell-j: produces J; needs U, R131, R67
  cell-u: produces U; needs J, R67, R71
  cell-r67: produces R67; needs R71, U, R55
  cell-r71: produces R71; needs R34, R55, R67
  cell-r55: produces R55; needs R71, R34, R64
  cell-r34: produces R34; needs R64, R55, R26
  cell-r64: produces R64; needs R26, R73, R34
  cell-r26: produces R26; needs R130, R73, R64
  cell-r73: produces R73; needs R130, R26, R98
  cell-r130: produces R130; needs R98, R84, R73
  cell-r98: produces R98; needs R84, R118, R130
  cell-r84: produces R84; needs R42, R118, R98
  cell-r118: produces R118; needs R42, R48, R84
  cell-r42: produces R42; needs R48, R101, R118
  cell-r48: produces R48; needs R42, R29, R101
  cell-r101: produces R101; needs R29, R33, R48
  cell-r29: produces R29; needs R88, R101, R33
  cell-r33: produces R33; needs R29, R88, D
  cell-r88: produces R88; needs R33, D, R44
  cell-d: produces D; needs R44, N, R88
  cell-r44: produces R44; needs N, D, R105
  cell-n: produces N; needs R105, R37, R44
  cell-r105: produces R105; needs X, R37, N
  cell-r37: produces R37; needs X, R105, C
  cell-x: produces X; needs C, R37, R129
  cell-c: produces C; needs P, X, R129
  cell-r129: produces R129; needs R36, C, P
  cell-p: produces P; needs R129, R36, R87

