Puzzle solver summary
  playable only: True
  won: False
  accepted near win: False
  need attempt: 0
  candidate index: -1
  candidates evaluated in winning attempt: 0
  ticks per candidate: 0
  win duration ticks: 3
  required alive ticks at end: 0
  final sustained ticks: 0
  stable at end: False
  glowing cells: 0/182
  swaps: 0
  reactions: 0
  active cells in last window: 0
  touching pairs: 337
  strain penalty: -0
  final score: 0

Cells
  cell-s-001: produces S; needs X, L, W
  cell-e-004: produces E; needs P, C, Q
  red-myco-023: red myco; needs O, F, C, B
  cell-n-007: produces N; needs O, X, E
  cell-x-005: produces X; needs N, S, O
  cell-s-006: produces S; needs X, U, N
  cell-u-011: produces U; needs S, V, X
  cell-v-002: produces V; needs U, O, S
  red-myco-024: red myco; needs T, A, O, S
  cell-s-007: produces S; needs O, W, V
  cell-w-004: produces W; needs S, T, O
  cell-t-003: produces T; needs W, R, S
  cell-r-008: produces R; needs T, W, I
  cell-t-004: produces T; needs R, O, K
  red-myco-025: red myco; needs O, I, W, R
  cell-k-005: produces K; needs I, J, T
  cell-j-004: produces J; needs K, G, W
  cell-g-007: produces G; needs J, M, K
  cell-m-008: produces M; needs G, L, J
  cell-l-006: produces L; needs M, W, G
  red-myco-026: red myco; needs V, W, X, J
  cell-l-007: produces L; needs V, O, I
  cell-o-007: produces O; needs L, I, J
  cell-i-004: produces I; needs O, V, L
  cell-v-003: produces V; needs I, S, O
  cell-s-008: produces S; needs V, T, I
  red-myco-027: red myco; needs R, C, T, G
  cell-u-012: produces U; needs T, Y, S
  cell-y-004: produces Y; needs U, G, J
  cell-y-005: produces Y; needs J, U, M
  cell-j-005: produces J; needs Y, M, B
  cell-m-009: produces M; needs J, P, Y
  red-myco-028: red myco; needs P, B, N, C
  cell-g-008: produces G; needs P, M, F
  cell-g-009: produces G; needs F, C, U
  cell-f-004: produces F; needs G, U, W
  cell-u-013: produces U; needs F, W, G
  cell-w-005: produces W; needs U, N, F
  red-myco-029: red myco; needs C, N, I, H
  cell-z-006: produces Z; needs C, I, W
  cell-i-005: produces I; needs Z, K, C
  cell-k-006: produces K; needs I, V, Z
  cell-v-004: produces V; needs K, X, I
  cell-x-006: produces X; needs V, H, K
  red-myco-030: red myco; needs M, Y, D, H
  cell-w-006: produces W; needs M, X, S
  cell-x-007: produces X; needs W, S, M

