Puzzle solver summary
  playable only: True
  won: False
  accepted near win: False
  need attempt: 0
  candidate index: -1
  candidates evaluated in winning attempt: 0
  ticks per candidate: 0
  win duration ticks: 3
  required alive ticks at end: 0
  final sustained ticks: 0
  stable at end: False
  glowing cells: 0/176
  swaps: 0
  reactions: 0
  active cells in last window: 0
  touching pairs: 325
  strain penalty: -0
  final score: 0

Cells
  cell-g-001: produces G; needs J, S, K
  cell-i-005: produces I; needs N, T, F
  cell-n-005: produces N; needs I, J, M
  cell-j-003: produces J; needs N, M, I
  cell-m-003: produces M; needs J, O, N
  red-myco-017: red myco; needs W, O, T, R
  cell-d-005: produces D; needs O, S, M
  cell-s-004: produces S; needs D, E, O
  cell-e-003: produces E; needs S, T, D
  cell-t-007: produces T; needs E, G, S
  cell-g-002: produces G; needs T, M, E
  red-myco-018: red myco; needs M, F, W, V
  cell-y-002: produces Y; needs V, T, G
  cell-t-008: produces T; needs Y, V, F
  cell-v-005: produces V; needs T, H, Y
  cell-h-003: produces H; needs V, T, M
  cell-v-006: produces V; needs H, Z, U
  red-myco-019: red myco; needs W, P, Z, M
  cell-u-004: produces U; needs M, N, V
  cell-n-006: produces N; needs U, P, K
  cell-p-003: produces P; needs N, K, U
  cell-k-006: produces K; needs P, X, N
  cell-x-002: produces X; needs K, W, P
  red-myco-020: red myco; needs F, O, W, B
  cell-x-003: produces X; needs W, I, O
  cell-i-006: produces I; needs X, O, W
  cell-o-006: produces O; needs I, A, X
  cell-a-005: produces A; needs O, T, I
  cell-t-009: produces T; needs A, P, O
  red-myco-021: red myco; needs E, S, P, B
  cell-j-004: produces J; needs P, F, T
  cell-f-002: produces F; needs J, U, S
  cell-u-005: produces U; needs F, A, J
  cell-a-006: produces A; needs U, S, F
  cell-s-005: produces S; needs A, B, U
  red-myco-022: red myco; needs X, B, C, E
  cell-r-005: produces R; needs B, Q, S
  cell-q-004: produces Q; needs R, N, E
  cell-n-007: produces N; needs Q, P, R
  cell-p-004: produces P; needs N, J, Q
  cell-j-005: produces J; needs P, Q, N
  red-myco-023: red myco; needs Z, O, I, Q
  cell-g-003: produces G; needs Q, D, J
  cell-d-006: produces D; needs G, I, Z
  cell-i-007: produces I; needs D, H, G
  cell-h-004: produces H; needs I, J, D
  cell-j-006: produces J; needs H, Y, I
  red-myco-024: red myco; needs Y, Q, B, N
  cell-r-006: produces R; needs Q, H, J
  cell-h-005: produces H; needs R, O, Q
  cell-o-007: produces O; needs H, K, R
  cell-k-007: produces K; needs O, N, H
  cell-n-008: produces N; needs K, G, O
  red-myco-025: red myco; needs J, E, F, G
  cell-o-008: produces O; needs J, P, N
  cell-p-005: produces P; needs O, G, N
  cell-g-004: produces G; needs P, N, O
  cell-n-009: produces N; needs G, T, P
  cell-t-010: produces T; needs N, Y, G
  red-myco-026: red myco; needs F, Z, R, Y
  cell-o-009: produces O; needs Y, P, T
  cell-p-006: produces P; needs O, X, R
  cell-x-004: produces X; needs P, G, O
  cell-g-005: produces G; needs X, C, P
  cell-c-008: produces C; needs G, P, X
  red-myco-027: red myco; needs R, I, P, F
  cell-a-007: produces A; needs P, M, C
  cell-m-004: produces M; needs A, I, P
  cell-i-008: produces I; needs M, P, A
  cell-p-007: produces P; needs I, N, M
  cell-n-010: produces N; needs P, X, I
  red-myco-028: red myco; needs B, N, M, X
  cell-u-006: produces U; needs M, P, N
  cell-p-008: produces P; needs U, Z, B
  cell-z-004: produces Z; needs P, H, U
  cell-h-006: produces H; needs Z, P, U
  cell-h-007: produces H; needs D, Z, K
  red-myco-029: red myco; needs U, T, F, D
  cell-k-008: produces K; needs U, J, H
  cell-j-007: produces J; needs K, G, T

