Puzzle solver summary
  playable only: True
  won: False
  accepted near win: False
  need attempt: 0
  candidate index: -1
  candidates evaluated in winning attempt: 0
  ticks per candidate: 0
  win duration ticks: 3
  required alive ticks at end: 0
  final sustained ticks: 0
  stable at end: False
  glowing cells: 0/200
  swaps: 0
  reactions: 0
  active cells in last window: 0
  touching pairs: 370
  strain penalty: -0
  final score: 0

Cells
  cell-g-001: produces G; needs B, F, Y
  cell-a-004: produces A; needs Z, N, F
  cell-n-001: produces N; needs A, Y, B
  cell-a-005: produces A; needs N, B, M
  cell-b-003: produces B; needs A, M, N
  cell-m-005: produces M; needs B, R, A
  red-myco-016: red myco; needs X, R, K, L
  cell-i-008: produces I; needs R, T, M
  cell-t-006: produces T; needs I, G, R
  cell-g-005: produces G; needs T, Q, I
  cell-q-004: produces Q; needs G, K, T
  cell-k-005: produces K; needs Q, X, G
  red-myco-017: red myco; needs X, B, W, H
  cell-b-004: produces B; needs H, N, K
  cell-n-002: produces N; needs B, R, W
  cell-r-005: produces R; needs N, T, B
  cell-t-007: produces T; needs R, D, N
  cell-d-001: produces D; needs T, F, R
  red-myco-018: red myco; needs G, Z, A, F
  cell-g-006: produces G; needs A, X, D
  cell-x-005: produces X; needs G, C, F
  cell-c-003: produces C; needs X, G, K
  cell-x-006: produces X; needs C, K, Q
  cell-k-006: produces K; needs X, W, C
  red-myco-019: red myco; needs Q, E, W, P
  cell-j-004: produces J; needs P, W, K
  cell-w-004: produces W; needs J, S, E
  cell-s-005: produces S; needs W, V, J
  cell-v-002: produces V; needs S, F, W
  cell-f-004: produces F; needs V, X, S
  red-myco-020: red myco; needs B, U, X, Q
  cell-b-005: produces B; needs Q, S, F
  cell-s-006: produces S; needs B, Z, K
  cell-z-004: produces Z; needs S, B, I
  cell-z-005: produces Z; needs I, S, D
  cell-i-009: produces I; needs Z, D, B
  red-myco-021: red myco; needs N, D, R, P
  cell-b-006: produces B; needs N, M, I
  cell-m-006: produces M; needs B, C, P
  cell-c-004: produces C; needs M, U, B
  cell-u-005: produces U; needs C, Q, M
  cell-q-005: produces Q; needs U, X, C
  red-myco-022: red myco; needs N, X, A, J
  cell-w-005: produces W; needs J, X, Q
  cell-x-007: produces X; needs W, D, J
  cell-d-002: produces D; needs X, W, C
  cell-w-006: produces W; needs D, C, X
  cell-c-005: produces C; needs W, R, D
  red-myco-023: red myco; needs P, U, R, O
  cell-e-003: produces E; needs U, S, C
  cell-s-007: produces S; needs E, V, P
  cell-v-003: produces V; needs S, A, E
  cell-a-006: produces A; needs V, O, S
  cell-o-004: produces O; needs A, V, M
  red-myco-024: red myco; needs K, C, P, V
  cell-o-005: produces O; needs C, Z, D
  cell-o-006: produces O; needs Z, K, L
  cell-z-006: produces Z; needs O, L, G
  cell-l-002: produces L; needs Z, O, G
  cell-o-007: produces O; needs L, G, Z
  red-myco-025: red myco; needs G, Q, Y, E
  cell-b-007: produces B; needs Q, V, O
  cell-v-004: produces V; needs B, S, G
  cell-s-008: produces S; needs V, R, B
  cell-r-006: produces R; needs S, P, V
  cell-p-002: produces P; needs R, W, S
  red-myco-026: red myco; needs F, Q, W, B
  cell-y-003: produces Y; needs F, J, P
  cell-j-005: produces J; needs Y, Q, H
  cell-j-006: produces J; needs H, Y, T
  cell-h-004: produces H; needs J, T, E
  cell-t-008: produces T; needs H, P, J
  red-myco-027: red myco; needs L, N, E, P
  cell-w-007: produces W; needs L, S, T
  cell-s-009: produces S; needs W, Z, E
  cell-z-007: produces Z; needs S, Q, W
  cell-q-006: produces Q; needs Z, N, S
  cell-n-003: produces N; needs Q, U, Z
  red-myco-028: red myco; needs U, R, N, B
  cell-j-007: produces J; needs R, N, X
  cell-n-004: produces N; needs J, X, U
  cell-x-008: produces X; needs N, V, J
  cell-v-005: produces V; needs X, S, N
  cell-s-010: produces S; needs V, Z, X
  red-myco-029: red myco; needs B, C, Z, I
  cell-w-008: produces W; needs Z, P, S
  cell-p-003: produces P; needs W, E, I
  cell-e-004: produces E; needs P, R, W
  cell-r-007: produces R; needs E, P, U
  cell-e-005: produces E; needs R, B, C
  red-myco-030: red myco; needs H, U, P, B
  cell-c-006: produces C; needs P, E, D
  cell-p-004: produces P; needs C, D, B
  cell-d-003: produces D; needs P, K, C
  cell-k-007: produces K; needs D, C, P
  cell-c-007: produces C; needs K, Q, D
  red-myco-031: red myco; needs S, Z, O, Q
  cell-h-005: produces H; needs Z, Q, C
  cell-q-007: produces Q; needs H, N, Z
  cell-n-005: produces N; needs Q, H, C
  cell-n-006: produces N; needs C, Q, O
  cell-c-008: produces C; needs N, R, F
  red-myco-032: red myco; needs Q, X, R, O
  cell-r-008: produces R; needs O, C, B
  cell-r-009: produces R; needs B, O, T
  cell-b-008: produces B; needs R, T, D
  cell-t-009: produces T; needs B, D, R
  cell-d-004: produces D; needs T, X, B
  red-myco-033: red myco; needs X, D, J, O
  cell-f-005: produces F; needs J, B, D
  cell-b-009: produces B; needs F, G, D

