Puzzle solver summary
  playable only: True
  won: False
  accepted near win: False
  need attempt: 0
  candidate index: -1
  candidates evaluated in winning attempt: 0
  ticks per candidate: 0
  win duration ticks: 3
  required alive ticks at end: 0
  final sustained ticks: 0
  stable at end: False
  glowing cells: 0/158
  swaps: 0
  reactions: 0
  active cells in last window: 0
  touching pairs: 235
  strain penalty: -0
  final score: 0

Cells
  cell-a-001: produces A; needs P, E, T
  cell-v-003: produces V; needs G, J, Z
  red-myco-013: red myco; needs J, Z, M, C
  cell-h-001: produces H; needs Z, V, I
  cell-v-004: produces V; needs H, I, M
  cell-i-003: produces I; needs V, P, H
  cell-p-002: produces P; needs I, A, V
  cell-a-004: produces A; needs P, H, I
  red-myco-014: red myco; needs C, U, H, O
  cell-h-002: produces H; needs C, S, A
  cell-s-002: produces S; needs H, O, U
  cell-o-003: produces O; needs S, P, H
  cell-p-003: produces P; needs O, K, S
  cell-k-003: produces K; needs P, U, O
  red-myco-015: red myco; needs S, A, Q, U
  cell-g-008: produces G; needs Q, T, K
  cell-t-004: produces T; needs G, B, U
  cell-b-001: produces B; needs T, Q, G
  cell-q-002: produces Q; needs B, U, T
  cell-u-004: produces U; needs Q, D, B
  red-myco-016: red myco; needs J, I, D, Q
  cell-y-004: produces Y; needs I, G, U
  cell-g-009: produces G; needs Y, F, J
  cell-f-002: produces F; needs G, I, Y
  cell-i-004: produces I; needs F, V, G
  cell-v-005: produces V; needs I, S, F
  red-myco-017: red myco; needs S, U, N, O
  cell-r-003: produces R; needs O, H, V
  cell-h-003: produces H; needs R, N, C
  cell-h-004: produces H; needs C, R, X
  cell-c-002: produces C; needs H, X, G
  cell-x-002: produces X; needs C, W, H
  red-myco-018: red myco; needs U, G, W, N
  cell-l-011: produces L; needs U, O, X
  cell-o-004: produces O; needs L, S, W
  cell-s-003: produces S; needs O, T, L
  cell-t-005: produces T; needs S, W, O
  cell-w-003: produces W; needs T, V, S
  red-myco-019: red myco; needs X, J, P, V
  cell-r-004: produces R; needs P, D, W
  cell-d-003: produces D; needs R, P, H
  cell-p-004: produces P; needs D, H, R
  cell-h-005: produces H; needs P, T, D
  cell-t-006: produces T; needs H, V, P
  red-myco-020: red myco; needs G, A, J, V
  cell-e-006: produces E; needs A, N, T
  cell-n-002: produces N; needs E, O, J
  cell-o-005: produces O; needs N, P, E
  cell-p-005: produces P; needs O, B, N
  cell-b-002: produces B; needs P, Q, O
  red-myco-021: red myco; needs Q, D, J, B
  cell-x-003: produces X; needs Q, B, Z
  cell-b-003: produces B; needs X, Z, J
  cell-z-004: produces Z; needs B, H, X
  cell-h-006: produces H; needs Z, L, B
  cell-l-012: produces L; needs H, X, Z
  red-myco-022: red myco; needs X, A, W, O
  cell-b-004: produces B; needs X, F, L
  cell-f-003: produces F; needs B, N, W
  cell-n-003: produces N; needs F, R, B
  cell-r-005: produces R; needs N, Z, F
  cell-z-005: produces Z; needs R, A, N
  red-myco-023: red myco; needs X, A, C, I
  cell-j-002: produces J; needs I, M, Z
  cell-m-006: produces M; needs J, L, C
  cell-l-013: produces L; needs M, U, J
  cell-u-005: produces U; needs L, J, M
  cell-j-003: produces J; needs U, T, L
  red-myco-024: red myco; needs K, T, I, M
  cell-w-004: produces W; needs K, P, J
  cell-p-006: produces P; needs W, O, T
  cell-o-006: produces O; needs P, C, W
  cell-c-003: produces C; needs O, Y, P
  cell-y-005: produces Y; needs C, P, O
  red-myco-025: red myco; needs Y, F, P, Z
  cell-y-006: produces Y; needs Z, G, S
  cell-g-010: produces G; needs Y, S, P
  cell-s-004: produces S; needs G, T, Y
  cell-t-007: produces T; needs S, V, G
  cell-v-006: produces V; needs T, X, S
  red-myco-026: red myco; needs I, T, Y, X
  cell-t-008: produces T; needs I, P, V
  cell-p-007: produces P; needs T, A, X

