Puzzle solver summary
  playable only: True
  won: False
  accepted near win: False
  need attempt: 0
  candidate index: -1
  candidates evaluated in winning attempt: 0
  ticks per candidate: 0
  win duration ticks: 3
  required alive ticks at end: 0
  final sustained ticks: 0
  stable at end: False
  glowing cells: 0/231
  swaps: 0
  reactions: 0
  active cells in last window: 0
  touching pairs: 428
  strain penalty: -0
  final score: 0

Cells
  cell-p-001: produces P; needs M, N, O
  cell-s-007: produces S; needs H, W, J
  cell-w-004: produces W; needs S, P, H
  cell-p-008: produces P; needs W, X, S
  cell-x-007: produces X; needs P, Y, W
  cell-y-004: produces Y; needs X, E, P
  red-myco-027: red myco; needs H, E, W, D
  cell-l-010: produces L; needs H, F, Y
  cell-f-007: produces F; needs L, W, D
  cell-w-005: produces W; needs F, C, L
  cell-c-006: produces C; needs W, J, F
  cell-j-004: produces J; needs C, N, W
  red-myco-028: red myco; needs Z, U, A, N
  cell-q-004: produces Q; needs Z, B, J
  cell-b-007: produces B; needs Q, D, Z
  cell-d-004: produces D; needs B, W, Q
  cell-w-006: produces W; needs D, F, B
  cell-f-008: produces F; needs W, Y, D
  red-myco-029: red myco; needs V, B, Y, P
  cell-s-008: produces S; needs B, G, F
  cell-g-005: produces G; needs S, T, Y
  cell-t-006: produces T; needs G, J, S
  cell-j-005: produces J; needs T, A, G
  cell-a-004: produces A; needs J, W, T
  red-myco-030: red myco; needs W, C, N, M
  cell-y-005: produces Y; needs N, Z, A
  cell-z-004: produces Z; needs Y, M, N
  cell-m-008: produces M; needs Z, K, Y
  cell-k-005: produces K; needs M, Z, H
  cell-m-009: produces M; needs K, H, N
  red-myco-031: red myco; needs L, Z, K, H
  cell-n-006: produces N; needs L, W, M
  cell-w-007: produces W; needs N, X, Z
  cell-x-008: produces X; needs W, I, N
  cell-i-006: produces I; needs X, U, W
  cell-u-008: produces U; needs I, A, X
  red-myco-032: red myco; needs V, L, A, S
  cell-c-007: produces C; needs A, H, U
  cell-h-004: produces H; needs C, W, S
  cell-w-008: produces W; needs H, O, C
  cell-o-009: produces O; needs W, B, H
  cell-b-008: produces B; needs O, T, W
  red-myco-033: red myco; needs T, C, D, S
  cell-f-009: produces F; needs S, R, B
  cell-r-005: produces R; needs F, L, T
  cell-l-011: produces L; needs R, F, A
  cell-f-010: produces F; needs L, A, R
  cell-a-005: produces A; needs F, E, L
  red-myco-034: red myco; needs Y, A, O, E
  cell-y-006: produces Y; needs E, T, A
  cell-t-007: produces T; needs Y, G, E
  cell-g-006: produces G; needs T, A, Y
  cell-a-006: produces A; needs G, Q, T
  cell-q-005: produces Q; needs A, U, G
  red-myco-035: red myco; needs J, Y, U, O
  cell-j-006: produces J; needs U, V, Q
  cell-v-008: produces V; needs J, D, T
  cell-d-005: produces D; needs V, T, J
  cell-t-008: produces T; needs D, G, V
  cell-g-007: produces G; needs T, K, D
  red-myco-036: red myco; needs E, K, R, Q
  cell-c-008: produces C; needs K, J, G
  cell-j-007: produces J; needs C, F, R
  cell-f-011: produces F; needs J, Y, C
  cell-y-007: produces Y; needs F, R, J
  cell-r-006: produces R; needs Y, L, F
  red-myco-037: red myco; needs I, M, B, L
  cell-k-006: produces K; needs L, Q, R
  cell-q-006: produces Q; needs K, N, I
  cell-n-007: produces N; needs Q, Y, K
  cell-y-008: produces Y; needs N, C, Q
  cell-c-009: produces C; needs Y, U, N
  red-myco-038: red myco; needs G, U, L, O
  cell-b-009: produces B; needs U, O, C
  cell-o-010: produces O; needs B, M, U
  cell-m-010: produces M; needs O, P, B

