Puzzle solver summary
  playable only: True
  won: False
  accepted near win: False
  need attempt: 0
  candidate index: -1
  candidates evaluated in winning attempt: 0
  ticks per candidate: 0
  win duration ticks: 3
  required alive ticks at end: 0
  final sustained ticks: 0
  stable at end: False
  glowing cells: 0/214
  swaps: 0
  reactions: 0
  active cells in last window: 0
  touching pairs: 319
  strain penalty: -0
  final score: 0

Cells
  cell-j-001: produces J; needs U, C, G
  cell-m-008: produces M; needs E, U, L
  cell-u-003: produces U; needs M, D, Q
  cell-d-005: produces D; needs U, Q, M
  cell-q-002: produces Q; needs D, E, U
  cell-e-003: produces E; needs Q, M, D
  red-myco-019: red myco; needs H, O, M, Y
  cell-u-004: produces U; needs Y, O, E
  cell-o-004: produces O; needs U, N, M
  cell-n-005: produces N; needs O, S, U
  cell-s-005: produces S; needs N, L, O
  cell-l-003: produces L; needs S, V, N
  red-myco-020: red myco; needs V, I, Q, T
  cell-l-004: produces L; needs I, Q, J
  cell-l-005: produces L; needs Q, I, Y
  cell-q-003: produces Q; needs L, Y, S
  cell-y-005: produces Y; needs Q, S, L
  cell-s-006: produces S; needs Y, A, Q
  red-myco-021: red myco; needs G, N, A, Z
  cell-f-003: produces F; needs G, D, S
  cell-d-006: produces D; needs F, Z, M
  cell-f-004: produces F; needs D, M, T
  cell-m-009: produces M; needs F, T, D
  cell-t-003: produces T; needs M, U, F
  red-myco-022: red myco; needs Y, M, X, U
  cell-v-003: produces V; needs U, T, I
  cell-t-004: produces T; needs V, I, X
  cell-i-003: produces I; needs T, F, V
  cell-f-005: produces F; needs I, T, V
  cell-i-004: produces I; needs F, M, K
  red-myco-023: red myco; needs T, M, A, R
  cell-k-004: produces K; needs A, X, I
  cell-x-003: produces X; needs K, V, M
  cell-v-004: produces V; needs X, K, U
  cell-k-005: produces K; needs V, U, X
  cell-u-005: produces U; needs K, Q, V
  red-myco-024: red myco; needs S, M, Y, Q
  cell-c-004: produces C; needs M, D, U
  cell-d-007: produces D; needs C, M, S
  cell-m-010: produces M; needs D, L, C
  cell-l-006: produces L; needs M, P, D
  cell-p-008: produces P; needs L, E, M
  red-myco-025: red myco; needs E, Z, Y, B
  cell-m-011: produces M; needs E, W, P
  cell-w-004: produces W; needs M, T, Z
  cell-t-005: produces T; needs W, I, M
  cell-i-005: produces I; needs T, S, W
  cell-s-007: produces S; needs I, Q, T
  red-myco-026: red myco; needs F, Q, P, H
  cell-h-006: produces H; needs Q, A, S
  cell-a-004: produces A; needs H, B, P
  cell-b-006: produces B; needs A, M, H
  cell-m-012: produces M; needs B, Z, A
  cell-z-003: produces Z; needs M, X, B
  red-myco-027: red myco; needs I, X, Y, E
  cell-w-005: produces W; needs I, E, Z
  cell-e-004: produces E; needs W, A, Y
  cell-a-005: produces A; needs E, H, W
  cell-h-007: produces H; needs A, V, E
  cell-v-005: produces V; needs H, J, A
  red-myco-028: red myco; needs S, L, J, I
  cell-g-005: produces G; needs S, V, K
  cell-g-006: produces G; needs K, S, Q
  cell-k-006: produces K; needs G, Q, V
  cell-q-004: produces Q; needs K, V, G
  cell-v-006: produces V; needs Q, P, K
  red-myco-029: red myco; needs O, S, Y, P
  cell-c-005: produces C; needs S, U, V
  cell-u-006: produces U; needs C, R, S
  cell-r-005: produces R; needs U, E, C
  cell-e-005: produces E; needs R, Z, U
  cell-z-004: produces Z; needs E, R, I
  red-myco-030: red myco; needs C, T, E, D
  cell-i-006: produces I; needs D, G, Z
  cell-g-007: produces G; needs I, V, C
  cell-v-007: produces V; needs G, D, I
  cell-d-008: produces D; needs V, G, N
  cell-d-009: produces D; needs N, V, S
  red-myco-031: red myco; needs S, R, Z, N
  cell-s-008: produces S; needs Z, K, D
  cell-k-007: produces K; needs S, F, R
  cell-f-006: produces F; needs K, B, S
  cell-b-007: produces B; needs F, J, K
  cell-j-009: produces J; needs B, F, A
  red-myco-032: red myco; needs F, Y, L, Z
  cell-a-006: produces A; needs Z, R, J
  cell-r-006: produces R; needs A, M, F
  cell-m-013: produces M; needs R, J, A
  cell-j-010: produces J; needs M, R, S
  cell-m-014: produces M; needs J, F, V
  red-myco-033: red myco; needs B, R, F, S
  cell-v-008: produces V; needs F, K, M
  cell-k-008: produces K; needs V, R, S
  cell-r-007: produces R; needs K, Y, V
  cell-y-006: produces Y; needs R, Q, K
  cell-q-005: produces Q; needs Y, H, R
  red-myco-034: red myco; needs N, H, K, D
  cell-t-006: produces T; needs K, X, Q
  cell-x-004: produces X; needs T, J, H
  cell-j-011: produces J; needs X, I, T
  cell-i-007: produces I; needs J, X, L
  cell-j-012: produces J; needs I, L, G
  red-myco-035: red myco; needs P, L, G, N
  cell-g-008: produces G; needs L, A, J
  cell-a-007: produces A; needs G, P, U
  cell-g-009: produces G; needs A, U, J
  cell-u-007: produces U; needs G, J, A

