Puzzle solver summary
  playable only: True
  won: False
  accepted near win: False
  need attempt: 0
  candidate index: -1
  candidates evaluated in winning attempt: 0
  ticks per candidate: 0
  win duration ticks: 3
  required alive ticks at end: 0
  final sustained ticks: 0
  stable at end: False
  glowing cells: 0/130
  swaps: 0
  reactions: 0
  active cells in last window: 0
  touching pairs: 237
  strain penalty: -0
  final score: 0

Cells
  cell-o-001: produces O; needs L, X, R
  red-myco-016: red myco; needs I, K, Z, P
  cell-g-004: produces G; needs K, E, I
  cell-e-003: produces E; needs G, U, Z
  cell-u-006: produces U; needs E, L, G
  cell-l-003: produces L; needs U, D, E
  cell-d-004: produces D; needs L, O, U
  red-myco-017: red myco; needs H, O, X, K
  cell-t-002: produces T; needs X, V, D
  cell-v-006: produces V; needs T, U, O
  cell-u-007: produces U; needs V, Y, T
  cell-y-002: produces Y; needs U, B, V
  cell-b-002: produces B; needs Y, J, U
  red-myco-018: red myco; needs S, V, B, J
  cell-c-004: produces C; needs S, L, B
  cell-l-004: produces L; needs C, T, J
  cell-t-003: produces T; needs L, X, C
  cell-x-005: produces X; needs T, G, L
  cell-g-005: produces G; needs X, N, T
  red-myco-019: red myco; needs X, B, N, U
  cell-u-008: produces U; needs B, J, G
  cell-j-002: produces J; needs U, Z, I
  cell-z-006: produces Z; needs J, I, U
  cell-i-004: produces I; needs Z, B, J
  cell-b-003: produces B; needs I, J, Z
  red-myco-020: red myco; needs N, H, J, G
  cell-k-004: produces K; needs H, I, B
  cell-i-005: produces I; needs K, X, N
  cell-x-006: produces X; needs I, H, K
  cell-h-003: produces H; needs X, Y, I
  cell-y-003: produces Y; needs H, U, X
  red-myco-021: red myco; needs M, O, U, D
  cell-y-004: produces Y; needs M, L, R
  cell-l-005: produces L; needs Y, R, M
  cell-r-004: produces R; needs L, Y, O
  cell-l-006: produces L; needs R, O, X

