Puzzle solver summary
  playable only: True
  won: False
  accepted near win: False
  need attempt: 0
  candidate index: -1
  candidates evaluated in winning attempt: 0
  ticks per candidate: 0
  win duration ticks: 3
  required alive ticks at end: 0
  final sustained ticks: 0
  stable at end: False
  glowing cells: 0/136
  swaps: 0
  reactions: 0
  active cells in last window: 0
  touching pairs: 247
  strain penalty: -0
  final score: 0

Cells
  cell-h-001: produces H; needs V, Q, O
  cell-w-004: produces W; needs I, M, H
  cell-m-003: produces M; needs W, P, J
  cell-p-005: produces P; needs M, O, W
  cell-o-002: produces O; needs P, X, M
  cell-x-004: produces X; needs O, Z, P
  red-myco-020: red myco; needs V, Z, X, M
  cell-b-007: produces B; needs Z, T, X
  cell-t-004: produces T; needs B, Z, Q
  cell-z-003: produces Z; needs T, Q, B
  cell-q-005: produces Q; needs Z, T, R
  cell-t-005: produces T; needs Q, U, Z
  red-myco-021: red myco; needs N, U, X, R
  cell-m-004: produces M; needs N, C, T
  cell-c-005: produces C; needs M, E, N
  cell-e-004: produces E; needs C, F, M
  cell-f-003: produces F; needs E, M, C
  cell-m-005: produces M; needs F, D, E
  red-myco-022: red myco; needs J, D, O, V
  cell-p-006: produces P; needs D, B, M
  cell-b-008: produces B; needs P, O, J
  cell-o-003: produces O; needs B, V, P
  cell-v-007: produces V; needs O, H, B

