Puzzle solver summary
  playable only: True
  won: False
  accepted near win: False
  need attempt: 0
  candidate index: -1
  candidates evaluated in winning attempt: 0
  ticks per candidate: 0
  win duration ticks: 3
  required alive ticks at end: 0
  final sustained ticks: 0
  stable at end: False
  glowing cells: 0/164
  swaps: 0
  reactions: 0
  active cells in last window: 0
  touching pairs: 283
  strain penalty: -0
  final score: 0

Cells
  cell-k-001: produces K; needs L, G, U
  cell-x-003: produces X; needs P, N, Q
  red-myco-013: red myco; needs X, N, F, V
  cell-f-003: produces F; needs V, B, X
  cell-b-001: produces B; needs F, E, N
  cell-e-006: produces E; needs B, F, I
  cell-e-007: produces E; needs I, B, V
  cell-i-002: produces I; needs E, K, N
  red-myco-014: red myco; needs K, X, V, D
  cell-n-002: produces N; needs X, G, I
  cell-g-004: produces G; needs N, C, D
  cell-c-002: produces C; needs G, J, N
  cell-j-006: produces J; needs C, G, A
  cell-c-003: produces C; needs J, R, T
  red-myco-015: red myco; needs X, R, A, Z
  cell-t-004: produces T; needs Z, C, X
  cell-c-004: produces C; needs T, X, R
  cell-x-004: produces X; needs C, Z, T
  cell-z-002: produces Z; needs X, G, C
  cell-g-005: produces G; needs Z, M, X
  red-myco-016: red myco; needs M, X, B, R
  cell-n-003: produces N; needs X, T, G
  cell-t-005: produces T; needs N, L, B
  cell-l-003: produces L; needs T, F, N
  cell-f-004: produces F; needs L, U, T
  cell-u-003: produces U; needs F, I, L
  red-myco-017: red myco; needs U, S, T, I
  cell-v-007: produces V; needs I, Q, U
  cell-q-003: produces Q; needs V, F, T
  cell-f-005: produces F; needs Q, R, V
  cell-r-002: produces R; needs F, N, Q
  cell-n-004: produces N; needs R, T, F
  red-myco-018: red myco; needs T, X, J, L
  cell-i-003: produces I; needs L, Y, N
  cell-y-002: produces Y; needs I, X, T
  cell-x-005: produces X; needs Y, B, I
  cell-b-002: produces B; needs X, Z, Y
  cell-z-003: produces Z; needs B, G, X
  red-myco-019: red myco; needs V, B, O, G
  cell-p-006: produces P; needs G, O, Z
  cell-o-003: produces O; needs P, K, V
  cell-k-007: produces K; needs O, E, P
  cell-e-008: produces E; needs K, U, O
  cell-u-004: produces U; needs E, M, K
  red-myco-020: red myco; needs M, Z, W, E
  cell-h-004: produces H; needs E, Z, U
  cell-z-004: produces Z; needs H, N, M
  cell-n-005: produces N; needs Z, V, H
  cell-v-008: produces V; needs N, B, Z
  cell-b-003: produces B; needs V, F, N
  red-myco-021: red myco; needs W, I, F, C
  cell-o-004: produces O; needs W, R, B
  cell-r-003: produces R; needs O, N, C
  cell-n-006: produces N; needs R, O, B
  cell-o-005: produces O; needs N, B, R
  cell-b-004: produces B; needs O, V, N
  red-myco-022: red myco; needs V, Q, Z, O
  cell-j-007: produces J; needs Q, A, B
  cell-a-003: produces A; needs J, B, Q
  cell-b-005: produces B; needs A, X, J
  cell-x-006: produces X; needs B, W, A
  cell-w-002: produces W; needs X, C, B
  red-myco-023: red myco; needs C, S, Y, G
  cell-f-006: produces F; needs G, M, W
  cell-m-002: produces M; needs F, S, K
  cell-f-007: produces F; needs M, K, T
  cell-k-008: produces K; needs F, T, M
  cell-t-006: produces T; needs K, U, F
  red-myco-024: red myco; needs R, E, U, N
  cell-h-005: produces H; needs N, A, T
  cell-a-004: produces A; needs H, R, E
  cell-r-004: produces R; needs A, K, H
  cell-k-009: produces K; needs R, L, A
  cell-l-004: produces L; needs K, B, R
  red-myco-025: red myco; needs R, G, C, B
  cell-t-007: produces T; needs C, P, L
  cell-p-007: produces P; needs T, Y, R
  cell-y-003: produces Y; needs P, T, M
  cell-y-004: produces Y; needs M, P, L
  cell-m-003: produces M; needs Y, Q, G
  red-myco-026: red myco; needs L, O, R, Q
  cell-g-006: produces G; needs L, U, M
  cell-u-005: produces U; needs G, K, R
  cell-k-010: produces K; needs U, F, G
  cell-f-008: produces F; needs K, E, U
  cell-e-009: produces E; needs F, O, K
  red-myco-027: red myco; needs A, O, I, C
  cell-u-006: produces U; needs I, L, E
  cell-l-005: produces L; needs U, K, I

