*G U2 ## .. T2 F2 A1 ## F3 .. S2 .. .. .. D1
.. ## X1 K1 *9 .. .. Y2 .. V5 L2 V4 .. ## ..
J1 .. .. .. ## Z1 Y4 J2 E3 .. O4 ## I2 .. G2
## ## .. T1 Q3 S1 F5 H3 ## U1 .. P2 *F L3 P4
## X2 .. *I B1 P5 Z2 .. .. .. T4 .. .. E1 ..
## U3 A3 A4 E4 .. P3 .. B4 .. ## T3 ## Q5 N3
C3 C2 F4 ## .. ## .. O3 *6 M1 *8 F1 X3 .. *5
Q4 H5 .. Q7 .. Y3 ## .. Q6 C1 ## .. Y1 .. ..
.. .. *4 ## O5 ## *D *3 .. .. ## ## Q1 ## ..
## ## ## O2 ## .. G3 E2 R4 ## .. ## A2 G1 ##
L4 N2 H2 .. O1 .. ## N1 .. *C .. ## V2 .. X4
V1 W2 R3 ## R2 V3 .. *E .. I3 L1 .. I1 ## *1
*A .. .. .. .. .. R1 F6 .. ## P1 B2 I4 R5 *2
.. *H B3 .. .. H1 *7 ## ## W1 ## .. Q2 H4 *B

Legend:
*1: red-myco-001; red-myco; needs D,J,M,X
R2: cell-r-002; produces R; needs L,W,E
R3: cell-r-003; produces R; needs Q,X,P
R4: cell-r-004; produces R; needs B,F,A
R5: cell-r-005; produces R; needs D,C,T
S1: cell-s-001; produces S; needs H,E,Y
S2: cell-s-002; produces S; needs O,F,R
T1: cell-t-001; produces T; needs L,C,X
T2: cell-t-002; produces T; needs F,D,I
T3: cell-t-003; produces T; needs D,F,R
T4: cell-t-004; produces T; needs G,Q,B
U1: cell-u-001; produces U; needs A,F,J
U2: cell-u-002; produces U; needs N,G,X
U3: cell-u-003; produces U; needs O,H,Z
V1: cell-v-001; produces V; needs P,E,Y
V2: cell-v-002; produces V; needs C,R,G
V3: cell-v-003; produces V; needs G,X,H
V4: cell-v-004; produces V; needs H,Z,E
V5: cell-v-005; produces V; needs F,C,R
W1: cell-w-001; produces W; needs D,Q,H
W2: cell-w-002; produces W; needs R,A,Q
X1: cell-x-001; produces X; needs M,L,J
X2: cell-x-002; produces X; needs R,I,Q
X3: cell-x-003; produces X; needs Q,I,P
X4: cell-x-004; produces X; needs Q,T,A
Y1: cell-y-001; produces Y; needs K,P,S
Y2: cell-y-002; produces Y; needs B,N,M
Y3: cell-y-003; produces Y; needs C,O,E
Y4: cell-y-004; produces Y; needs E,M,O
Z1: cell-z-001; produces Z; needs V,H,P
Z2: cell-z-002; produces Z; needs H,O,Y
