*H Q5 J3 ## .. ## *J F2 .. Y3 S3 ## N2 .. ..
## C4 ## *E ## .. S1 I2 .. *9 G4 N1 N3 D1 P1
## G2 .. H3 .. .. D3 .. D5 .. G1 E2 .. J4 ##
P3 ## .. .. ## .. *8 Z1 H2 *6 *5 ## D4 ## E5
B3 .. .. X2 ## P4 ## .. ## ## Y4 ## *A .. A2
Q4 .. Y1 ## O1 W2 .. ## *B W3 .. L1 ## I1 ..
J2 L3 ## ## ## B1 B5 .. U1 L5 .. Q1 .. .. ..
## A3 ## .. L2 ## ## U5 E6 .. V2 B2 *I .. ..
*4 ## E3 .. P2 Q3 M4 V3 .. .. L6 .. U2 ## W1
H4 O2 J1 K2 M1 .. ## Y5 ## L4 E1 M3 T1 C1 M2
R1 D2 B4 U4 *D .. *1 *2 ## .. ## K1 .. C2 *F
## ## U3 .. .. .. Y2 *7 W5 H1 V1 ## W4 .. ..
K3 S2 F3 *C X1 E4 A4 .. G3 ## Q2 .. ## ## ..
.. *3 .. .. A1 C3 .. Q6 Z2 F1 O3 .. .. *G I3

Legend:
*1: red-myco-001; red-myco; needs N,X,D,J
K2: cell-k-002; produces K; needs S,G,V
K3: cell-k-003; produces K; needs I,W,L
L1: cell-l-001; produces L; needs X,F,Y
L2: cell-l-002; produces L; needs O,E,T
L3: cell-l-003; produces L; needs Q,I,X
L4: cell-l-004; produces L; needs B,Y,M
L5: cell-l-005; produces L; needs P,H,B
L6: cell-l-006; produces L; needs Q,D,V
M1: cell-m-001; produces M; needs B,J,O
M2: cell-m-002; produces M; needs G,W,C
M3: cell-m-003; produces M; needs E,P,A
M4: cell-m-004; produces M; needs J,B,E
N1: cell-n-001; produces N; needs Y,U,B
N2: cell-n-002; produces N; needs A,G,Y
N3: cell-n-003; produces N; needs E,Q,C
O1: cell-o-001; produces O; needs B,I,M
O2: cell-o-002; produces O; needs Q,P,W
O3: cell-o-003; produces O; needs T,L,I
P1: cell-p-001; produces P; needs U,N,E
P2: cell-p-002; produces P; needs Z,W,J
P3: cell-p-003; produces P; needs F,Q,L
P4: cell-p-004; produces P; needs L,H,J
Q1: cell-q-001; produces Q; needs W,O,M
Q2: cell-q-002; produces Q; needs W,H,S
Q3: cell-q-003; produces Q; needs X,L,Z
Q4: cell-q-004; produces Q; needs N,E,Y
Q5: cell-q-005; produces Q; needs L,N,P
Q6: cell-q-006; produces Q; needs S,L,B
R1: cell-r-001; produces R; needs D,I,C
S1: cell-s-001; produces S; needs B,W,Q
S2: cell-s-002; produces S; needs V,K,G
S3: cell-s-003; produces S; needs G,A,K
T1: cell-t-001; produces T; needs I,O,P
U1: cell-u-001; produces U; needs D,P,M
U2: cell-u-002; produces U; needs P,E,K
U3: cell-u-003; produces U; needs W,C,O
U4: cell-u-004; produces U; needs F,R,L
U5: cell-u-005; produces U; needs N,Q,Y
V1: cell-v-001; produces V; needs H,S,Q
V2: cell-v-002; produces V; needs K,S,U
V3: cell-v-003; produces V; needs J,D,Q
W1: cell-w-001; produces W; needs M,Q,G
W2: cell-w-002; produces W; needs P,D,Z
W3: cell-w-003; produces W; needs S,Q,B
W4: cell-w-004; produces W; needs D,Z,V
W5: cell-w-005; produces W; needs K,U,I
X1: cell-x-001; produces X; needs Y,L,G
X2: cell-x-002; produces X; needs C,J,M
Y1: cell-y-001; produces Y; needs J,X,A
Y2: cell-y-002; produces Y; needs N,F,U
Y3: cell-y-003; produces Y; needs B,N,J
Y4: cell-y-004; produces Y; needs B,A,W
Y5: cell-y-005; produces Y; needs L,C,S
Z1: cell-z-001; produces Z; needs J,P,X
Z2: cell-z-002; produces Z; needs W,G,D
