I3 *C *I K5 .. *G *F .. *J X2 .. ## *L O3 D1 N2 ##
## G1 .. V5 *3 ## C3 .. .. G3 F3 L5 *E Y9 D2 .. V2
## .. K1 YA ## ## S2 .. B2 ## .. ## ## P4 .. H3 G5
## ## R3 N4 L2 .. P8 M4 S6 ## G4 Z4 *N *4 .. I2 ..
A1 ## *Q H1 V1 ## .. K4 M2 C1 M3 .. M1 W2 .. S3 F4
## ## *O *9 .. P2 W1 U3 .. ## L3 L6 N3 E2 .. .. P3
Z5 C2 *6 B1 ## ## *1 R2 ## Y7 ## .. F2 *7 ## ## ..
## ## S1 .. Y3 L4 C4 ## K2 .. .. ## .. .. H2 .. *B
## P5 J1 Y2 *K *P G8 ## Q4 O2 P9 *5 ## .. .. .. T2
.. ## ## U4 .. ## E3 N5 Y6 V3 Z6 ## .. ## T3 B6 ..
## .. P6 .. ## Z2 A4 .. *D W7 G7 .. A3 L7 .. .. ##
## L8 .. ## ## K3 G6 H5 ## U2 Z7 Q1 C5 .. *2 ## ..
W8 .. Z3 B3 .. *8 .. ## ## W6 .. N6 P1 S4 .. X4 W4
.. I1 E1 ## U1 A2 ## M5 P7 T1 Y1 ## Y4 Y8 Q2 O4 ##
.. .. L1 Z1 .. W3 .. Y5 .. X3 B4 .. .. *R U5 T4 B5
J2 Q3 H4 R4 *M N1 R1 G2 V4 .. X5 ## O1 W5 .. .. ..
*A .. ## ## ## I4 .. .. X1 .. F1 .. ## S5 .. *H ..

Legend:
*1: red-myco-001; red-myco; needs I,B,O,U
P8: cell-p-008; produces P; needs G,Y,W
P9: cell-p-009; produces P; needs A,F,O
Q1: cell-q-001; produces Q; needs Z,V,U
Q2: cell-q-002; produces Q; needs M,B,W
Q3: cell-q-003; produces Q; needs Y,M,L
Q4: cell-q-004; produces Q; needs Z,D,S
R1: cell-r-001; produces R; needs L,C,T
R2: cell-r-002; produces R; needs H,T,Y
R3: cell-r-003; produces R; needs M,S,Z
R4: cell-r-004; produces R; needs D,U,Q
S1: cell-s-001; produces S; needs B,G,H
S2: cell-s-002; produces S; needs X,Y,Z
S3: cell-s-003; produces S; needs R,W,M
S4: cell-s-004; produces S; needs T,Z,G
S5: cell-s-005; produces S; needs E,U,N
S6: cell-s-006; produces S; needs K,E,H
T1: cell-t-001; produces T; needs I,L,K
T2: cell-t-002; produces T; needs R,P,H
T3: cell-t-003; produces T; needs L,Y,A
T4: cell-t-004; produces T; needs G,S,K
U1: cell-u-001; produces U; needs N,G,L
U2: cell-u-002; produces U; needs L,N,Y
U3: cell-u-003; produces U; needs H,Z,N
U4: cell-u-004; produces U; needs W,E,H
U5: cell-u-005; produces U; needs R,E,V
V1: cell-v-001; produces V; needs P,N,T
V2: cell-v-002; produces V; needs Q,P,Z
V3: cell-v-003; produces V; needs C,N,L
V4: cell-v-004; produces V; needs Z,L,D
V5: cell-v-005; produces V; needs A,H,N
W1: cell-w-001; produces W; needs G,B,O
W2: cell-w-002; produces W; needs C,K,G
W3: cell-w-003; produces W; needs P,X,G
W4: cell-w-004; produces W; needs B,Y,X
W5: cell-w-005; produces W; needs C,I,P
W6: cell-w-006; produces W; needs I,G,P
W7: cell-w-007; produces W; needs H,U,F
W8: cell-w-008; produces W; needs S,A,R
X1: cell-x-001; produces X; needs W,B,P
X2: cell-x-002; produces X; needs Z,S,I
X3: cell-x-003; produces X; needs R,M,E
X4: cell-x-004; produces X; needs M,J,T
X5: cell-x-005; produces X; needs Y,F,T
Y1: cell-y-001; produces Y; needs W,P,A
Y2: cell-y-002; produces Y; needs L,C,U
Y3: cell-y-003; produces Y; needs S,Q,X
Y4: cell-y-004; produces Y; needs A,L,K
Y5: cell-y-005; produces Y; needs C,E,Z
Y6: cell-y-006; produces Y; needs Z,B,A
Y7: cell-y-007; produces Y; needs B,N,J
Y8: cell-y-008; produces Y; needs J,F,G
Y9: cell-y-009; produces Y; needs L,Q,B
YA: cell-y-010; produces Y; needs T,X,F
Z1: cell-z-001; produces Z; needs I,X,C
Z2: cell-z-002; produces Z; needs U,Q,E
Z3: cell-z-003; produces Z; needs C,D,Y
Z4: cell-z-004; produces Z; needs D,V,L
Z5: cell-z-005; produces Z; needs E,Y,L
Z6: cell-z-006; produces Z; needs F,B,N
Z7: cell-z-007; produces Z; needs S,Q,T
