## W1 M2 ## A2 O1 G1 *A E6 N3 E5 .. L4 X2 .. ..
## N1 T1 B7 D1 ## M4 P3 .. ## U2 ## L3 .. J1 R4
*8 .. B3 *F ## ## *3 A3 *M ## K1 Q5 X3 .. ## *H
*G I3 .. .. Q3 ## ## *4 .. T8 *D T2 R5 Q2 .. X4
Z1 .. ## E4 .. W4 *2 ## .. .. ## R1 B1 K2 Q4 E1
.. .. *N .. F3 .. U4 ## M5 .. Z5 .. Z3 P4 .. ##
## ## V3 B8 O2 Y3 W2 .. .. .. U1 *I S2 I6 T7 X1
## T3 F2 *9 .. .. P2 P1 T5 ## .. .. .. L1 .. *5
.. ## Z4 I1 .. .. T9 P5 ## .. .. C3 W3 M3 .. A1
## M1 *E V1 T6 .. D2 *J .. ## .. C1 *1 T4 *K ..
H1 ## H3 S1 .. .. R2 Y4 .. S3 .. G2 Y1 .. .. ##
Y2 ## L5 N2 H4 ## C4 *B L6 *C I5 V2 E2 B2 G3 ..
B5 G4 ## Q1 .. .. .. ## ## ## .. .. ## A5 *6 A4
## .. D3 .. M6 ## ## K3 .. .. .. ## ## .. .. I2
N4 H2 B6 ## .. U3 B9 ## ## ## R3 .. *7 *L B4 ##
## L2 .. .. F1 ## .. .. E3 Z2 .. V4 Y5 I4 ## C2

Legend:
*1: red-myco-001; red-myco; needs Y,C,F,P
S2: cell-s-002; produces S; needs X,R,V
S3: cell-s-003; produces S; needs K,A,V
T1: cell-t-001; produces T; needs V,U,I
T2: cell-t-002; produces T; needs U,B,F
T3: cell-t-003; produces T; needs A,D,V
T4: cell-t-004; produces T; needs Q,H,N
T5: cell-t-005; produces T; needs Y,P,F
T6: cell-t-006; produces T; needs P,I,Q
T7: cell-t-007; produces T; needs Q,B,X
T8: cell-t-008; produces T; needs E,V,U
T9: cell-t-009; produces T; needs U,E,L
U1: cell-u-001; produces U; needs T,J,Y
U2: cell-u-002; produces U; needs J,T,M
U3: cell-u-003; produces U; needs T,R,E
U4: cell-u-004; produces U; needs S,F,P
V1: cell-v-001; produces V; needs B,W,R
V2: cell-v-002; produces V; needs G,C,S
V3: cell-v-003; produces V; needs Q,K,C
V4: cell-v-004; produces V; needs A,E,I
W1: cell-w-001; produces W; needs I,L,Y
W2: cell-w-002; produces W; needs V,I,B
W3: cell-w-003; produces W; needs M,C,O
W4: cell-w-004; produces W; needs X,I,Y
X1: cell-x-001; produces X; needs G,H,A
X2: cell-x-002; produces X; needs H,D,N
X3: cell-x-003; produces X; needs Q,E,Z
X4: cell-x-004; produces X; needs O,R,Y
Y1: cell-y-001; produces Y; needs B,I,T
Y2: cell-y-002; produces Y; needs P,O,A
Y3: cell-y-003; produces Y; needs Q,T,L
Y4: cell-y-004; produces Y; needs Z,T,P
Y5: cell-y-005; produces Y; needs K,O,L
Z1: cell-z-001; produces Z; needs B,M,Y
Z2: cell-z-002; produces Z; needs B,L,H
Z3: cell-z-003; produces Z; needs H,B,X
Z4: cell-z-004; produces Z; needs M,A,L
Z5: cell-z-005; produces Z; needs N,I,A
