*O J3 .. .. C3 R4 ## .. U8 S1 G4 .. *D *C .. Y5 ## ##
## G7 X1 ## ## W3 D5 U5 .. .. R7 ## ## D3 .. ## W6 ..
P5 E1 .. UC Q4 ## *N ## N1 ## B1 ## ## .. *R ## L5 ..
.. S2 .. .. ## T2 I5 .. *9 .. S6 .. M9 .. G6 *A *Q UD
## A3 K4 .. .. Y1 .. ## ## G2 ## .. U4 L3 ## .. .. D4
.. I2 W1 .. *K K5 T1 W4 T4 *7 X7 X6 .. ## .. O7 .. ..
## G3 S5 .. X4 G8 ## X3 .. ## H3 V2 *4 *5 *I Z3 .. L2
.. UB .. ## R2 .. B2 A2 Z6 .. V4 ## *1 *2 K2 U2 .. W2
.. .. S7 G1 D2 .. .. .. D1 J5 *B C5 H1 ## ## .. ## ..
N2 *L L7 .. ## *E P1 Q3 .. *8 K1 N4 .. .. ## .. ## U6
.. ## .. P2 ## .. ## .. N3 S8 *3 ## .. R5 .. V1 I4 ##
## O4 M1 .. *H M6 .. W5 *6 .. *S R3 H2 M5 L4 ## Y4 F3
P4 E3 Q2 Z1 ## .. ## .. Y3 M3 *P J4 *U ## .. E2 ## O3
## X5 ## Q1 .. ## .. F1 M2 .. G5 .. X2 R1 V3 J2 G9 E4
.. ## L1 ## ## U1 N6 K6 O5 U7 .. .. J1 P3 UA ## *F ..
Y2 ## O2 ## .. .. T3 C4 ## ## *G Z4 K3 Z5 F4 .. F2 N5
I3 C2 ## H4 U9 M7 .. R8 ## L6 *M R6 O1 N7 .. C1 .. O6
I1 *T Z2 .. ## S4 U3 ## .. S3 M8 .. .. ## M4 *J .. A1

Legend:
*1: red-myco-001; red-myco; needs R,O,H,C
L4: cell-l-004; produces L; needs C,M,I
L5: cell-l-005; produces L; needs M,K,S
L6: cell-l-006; produces L; needs M,W,G
L7: cell-l-007; produces L; needs V,O,I
M1: cell-m-001; produces M; needs O,W,T
M2: cell-m-002; produces M; needs R,H,U
M3: cell-m-003; produces M; needs Z,A,X
M4: cell-m-004; produces M; needs D,U,S
M5: cell-m-005; produces M; needs S,D,L
M6: cell-m-006; produces M; needs L,S,U
M7: cell-m-007; produces M; needs E,I,U
M8: cell-m-008; produces M; needs G,L,J
M9: cell-m-009; produces M; needs J,P,Y
N1: cell-n-001; produces N; needs X,U,K
N2: cell-n-002; produces N; needs K,H,F
N3: cell-n-003; produces N; needs I,K,X
N4: cell-n-004; produces N; needs Y,S,P
N5: cell-n-005; produces N; needs P,O,Y
N6: cell-n-006; produces N; needs D,G,O
N7: cell-n-007; produces N; needs O,X,E
O1: cell-o-001; produces O; needs T,M,Z
O2: cell-o-002; produces O; needs D,I,F
O3: cell-o-003; produces O; needs Q,S,U
O4: cell-o-004; produces O; needs U,Q,D
O5: cell-o-005; produces O; needs N,Z,P
O6: cell-o-006; produces O; needs P,G,I
O7: cell-o-007; produces O; needs L,I,J
P1: cell-p-001; produces P; needs T,R,B
P2: cell-p-002; produces P; needs A,R,H
P3: cell-p-003; produces P; needs L,G,W
P4: cell-p-004; produces P; needs Y,N,O
P5: cell-p-005; produces P; needs Q,E,G
Q1: cell-q-001; produces Q; needs H,K,G
Q2: cell-q-002; produces Q; needs S,O,N
Q3: cell-q-003; produces Q; needs B,Z,R
Q4: cell-q-004; produces Q; needs G,P,D
R1: cell-r-001; produces R; needs C,Y,E
R2: cell-r-002; produces R; needs P,V,T
R3: cell-r-003; produces R; needs U,K,S
R4: cell-r-004; produces R; needs P,M,G
R5: cell-r-005; produces R; needs M,P,H
R6: cell-r-006; produces R; needs G,W,K
R7: cell-r-007; produces R; needs Y,B,U
R8: cell-r-008; produces R; needs T,W,I
S1: cell-s-001; produces S; needs X,L,W
S2: cell-s-002; produces S; needs H,Z,U
S3: cell-s-003; produces S; needs N,Q,J
S4: cell-s-004; produces S; needs M,L,D
S5: cell-s-005; produces S; needs M,U,L
S6: cell-s-006; produces S; needs X,U,N
S7: cell-s-007; produces S; needs O,W,V
S8: cell-s-008; produces S; needs V,T,I
T1: cell-t-001; produces T; needs V,O,K
T2: cell-t-002; produces T; needs I,P,U
T3: cell-t-003; produces T; needs W,R,S
T4: cell-t-004; produces T; needs R,O,K
U1: cell-u-001; produces U; needs N,H,X
U2: cell-u-002; produces U; needs Y,R,Z
U3: cell-u-003; produces U; needs R,H,Q
U4: cell-u-004; produces U; needs H,R,M
U5: cell-u-005; produces U; needs J,H,R
U6: cell-u-006; produces U; needs B,W,F
U7: cell-u-007; produces U; needs S,N,M
U8: cell-u-008; produces U; needs X,C,A
U9: cell-u-009; produces U; needs L,X,E
UA: cell-u-010; produces U; needs E,L,M
UB: cell-u-011; produces U; needs S,V,X
UC: cell-u-012; produces U; needs T,Y,S
UD: cell-u-013; produces U; needs F,W,G
V1: cell-v-001; produces V; needs R,Z,P
V2: cell-v-002; produces V; needs U,O,S
V3: cell-v-003; produces V; needs I,S,O
V4: cell-v-004; produces V; needs K,X,I
W1: cell-w-001; produces W; needs M,G,O
W2: cell-w-002; produces W; needs U,I,B
W3: cell-w-003; produces W; needs R,L,G
W4: cell-w-004; produces W; needs S,T,O
W5: cell-w-005; produces W; needs U,N,F
W6: cell-w-006; produces W; needs M,X,S
X1: cell-x-001; produces X; needs K,N,G
X2: cell-x-002; produces X; needs O,Z,N
X3: cell-x-003; produces X; needs A,U,D
X4: cell-x-004; produces X; needs C,Z,U
X5: cell-x-005; produces X; needs N,S,O
X6: cell-x-006; produces X; needs V,H,K
X7: cell-x-007; produces X; needs W,S,M
Y1: cell-y-001; produces Y; needs O,G,C
Y2: cell-y-002; produces Y; needs R,E,C
Y3: cell-y-003; produces Y; needs T,P,A
Y4: cell-y-004; produces Y; needs U,G,J
Y5: cell-y-005; produces Y; needs J,U,M
Z1: cell-z-001; produces Z; needs V,H,R
Z2: cell-z-002; produces Z; needs X,M,I
Z3: cell-z-003; produces Z; needs S,K,H
Z4: cell-z-004; produces Z; needs Q,A,B
Z5: cell-z-005; produces Z; needs O,I,N
Z6: cell-z-006; produces Z; needs C,I,W
