B5 ## ## .. .. .. .. ## I1 X1 *3 L2 .. X3 ..
G5 .. ## ## R1 *J S2 L1 O2 .. .. S4 .. .. ..
.. ## .. W1 R4 G6 .. B3 .. ## B2 ## Q1 T2 A4
.. *E T1 Q3 H1 ## Y2 .. *G .. F3 ## .. ## D1
## ## H2 .. O6 S5 J2 *D *8 ## E5 ## .. ## ..
U1 Z3 ## Q2 ## P1 V2 *I O4 *1 .. *2 ## .. ##
.. S1 E4 ## .. ## *4 .. .. .. F4 O5 D2 G3 ..
.. D5 U2 K2 *C .. V1 .. E2 E1 S3 F1 .. ## ..
N3 F2 ## V3 A3 B4 H3 Q5 *6 T3 G7 ## J1 .. ..
## R3 D4 .. H6 A1 Y1 ## ## N1 .. G2 ## Q4 ..
.. ## E3 *9 C1 P3 Y3 *F R2 C2 ## .. W2 ## ..
.. X2 *H .. ## N2 J4 ## .. ## J3 ## *7 ## ..
H4 P2 O7 .. *B S6 C3 .. ## .. .. Z1 H5 *A Z2
G4 .. K1 .. I2 G1 *5 B1 .. D3 A2 O1 O3 M1 ..

Legend:
*1: red-myco-001; red-myco; needs N,X,S,Y
S1: cell-s-001; produces S; needs N,C,O
S2: cell-s-002; produces S; needs O,T,B
S3: cell-s-003; produces S; needs R,O,J
S4: cell-s-004; produces S; needs H,K,Q
S5: cell-s-005; produces S; needs D,W,V
S6: cell-s-006; produces S; needs P,W,H
T1: cell-t-001; produces T; needs S,L,O
T2: cell-t-002; produces T; needs G,J,H
T3: cell-t-003; produces T; needs B,Q,F
U1: cell-u-001; produces U; needs O,I,H
U2: cell-u-002; produces U; needs D,O,F
V1: cell-v-001; produces V; needs B,E,Z
V2: cell-v-002; produces V; needs J,Z,I
V3: cell-v-003; produces V; needs G,D,E
W1: cell-w-001; produces W; needs T,R,A
W2: cell-w-002; produces W; needs S,E,P
X1: cell-x-001; produces X; needs F,Z,N
X2: cell-x-002; produces X; needs M,H,C
X3: cell-x-003; produces X; needs N,O,B
Y1: cell-y-001; produces Y; needs W,K,L
Y2: cell-y-002; produces Y; needs F,I,X
Y3: cell-y-003; produces Y; needs D,J,I
Z1: cell-z-001; produces Z; needs X,G,F
Z2: cell-z-002; produces Z; needs Q,B,J
Z3: cell-z-003; produces Z; needs O,X,A
