U2 L3 ## Z8 O2 .. P2 Y1 G8 D2 *6 H4 ## *D .. X2
Q1 W6 N1 W2 Z6 ## X6 G7 .. ## .. ## ## L4 G1 X1
F1 J4 F4 .. D4 V2 C2 I4 ## ## *G .. H1 F2 D3 O1
## W3 I2 M3 G2 .. ## F3 ## ## .. ## A6 Q4 .. ##
S2 .. ## ## L5 D5 .. ## .. .. K3 *F A1 ## P1 ##
.. U3 Y3 C3 ## B4 .. ## *I ## H6 *7 .. .. Q3 *2
.. *8 .. M1 ## G9 ## I1 H5 *C S1 .. Z2 .. *J ..
W1 ## Y6 ## .. .. *9 .. W4 V3 X4 Z4 *4 .. A3 F5
## .. ## Z5 *K V1 H2 E1 ## B6 *A B3 ## K2 Y4 *B
.. .. .. J3 .. .. .. X7 T1 .. .. .. Y5 .. *E ..
K1 .. GB ## X3 ## ## X5 *N P3 *O D1 .. ## C1 ##
U5 A4 J2 F6 .. .. M2 E2 .. G3 J5 Z7 L1 Z3 A5 ..
.. U4 ## ## Y2 M4 *L .. W5 .. ## B5 .. .. G4 H3
.. K5 .. ## L2 K4 I3 P4 .. *3 Q2 B1 G6 ## V4 ..
## U1 .. *H .. ## Z1 ## .. *1 ## B2 J1 O3 *5 ..
B7 .. .. ## ## G5 ## N2 ## GA .. *M A2 .. .. R1

Legend:
*1: red-myco-001; red-myco; needs G,Q,P,H
Q2: cell-q-002; produces Q; needs D,O,G
Q3: cell-q-003; produces Q; needs Y,F,M
Q4: cell-q-004; produces Q; needs F,K,A
R1: cell-r-001; produces R; needs A,G,X
S1: cell-s-001; produces S; needs Y,M,Z
S2: cell-s-002; produces S; needs O,D,X
T1: cell-t-001; produces T; needs J,B,U
U1: cell-u-001; produces U; needs C,B,G
U2: cell-u-002; produces U; needs A,N,W
U3: cell-u-003; produces U; needs E,I,F
U4: cell-u-004; produces U; needs X,I,G
U5: cell-u-005; produces U; needs D,X,G
V1: cell-v-001; produces V; needs A,W,B
V2: cell-v-002; produces V; needs J,E,L
V3: cell-v-003; produces V; needs G,B,E
V4: cell-v-004; produces V; needs O,P,A
W1: cell-w-001; produces W; needs V,A,U
W2: cell-w-002; produces W; needs Y,M,G
W3: cell-w-003; produces W; needs H,A,G
W4: cell-w-004; produces W; needs Z,K,F
W5: cell-w-005; produces W; needs X,G,Q
W6: cell-w-006; produces W; needs B,M,G
X1: cell-x-001; produces X; needs Z,F,B
X2: cell-x-002; produces X; needs G,U,N
X3: cell-x-003; produces X; needs F,O,Z
X4: cell-x-004; produces X; needs G,W,D
X5: cell-x-005; produces X; needs U,M,D
X6: cell-x-006; produces X; needs A,H,C
X7: cell-x-007; produces X; needs J,E,H
Y1: cell-y-001; produces Y; needs V,D,C
Y2: cell-y-002; produces Y; needs G,W,V
Y3: cell-y-003; produces Y; needs L,F,B
Y4: cell-y-004; produces Y; needs Z,M,Q
Y5: cell-y-005; produces Y; needs Q,N,F
Y6: cell-y-006; produces Y; needs Z,S,E
Z1: cell-z-001; produces Z; needs M,J,S
Z2: cell-z-002; produces Z; needs L,Q,K
Z3: cell-z-003; produces Z; needs B,G,N
Z4: cell-z-004; produces Z; needs B,X,F
Z5: cell-z-005; produces Z; needs F,N,M
Z6: cell-z-006; produces Z; needs I,E,G
Z7: cell-z-007; produces Z; needs F,W,K
Z8: cell-z-008; produces Z; needs L,Y,X
