## *D U3 .. N2 ## J1 H1 W1 ## .. .. ## ..
E5 P2 .. .. *G *C .. .. V1 H2 P1 .. .. Y5
C3 ## B1 .. B4 .. S2 Y3 ## ## ## ## .. ##
L5 *9 .. ## X3 B2 Z2 C1 D5 ## L4 .. .. ..
G2 .. ## .. .. A4 .. *3 X2 U1 M3 .. ## F1
B5 Y4 Q2 .. *E .. *8 U5 B3 T1 .. J3 .. S1
.. .. G3 *2 V2 .. .. J2 .. I1 ## ## X1 ..
.. ## ## ## R2 ## O2 J4 Q4 C2 F2 O3 .. ##
*B *H L1 A3 .. .. Z1 D2 .. .. O1 Z3 *F C4
N5 ## ## .. *4 .. E3 .. *6 Y2 E1 M2 .. N4
U4 .. K1 ## .. Y1 ## L3 *7 *A ## ## ## ##
S3 .. A2 .. .. M1 D4 D3 U2 T3 .. L6 R1 ##
D1 T2 ## L2 E4 .. B6 N1 .. E2 ## .. .. ##
.. .. U6 G1 Q3 .. *1 ## N3 .. A1 ## Q1 *5

Legend:
*1: red-myco-001; red-myco; needs M,P,R,H
U4: cell-u-004; produces U; needs M,O,X
U5: cell-u-005; produces U; needs K,T,W
U6: cell-u-006; produces U; needs N,P,Y
V1: cell-v-001; produces V; needs L,D,A
V2: cell-v-002; produces V; needs T,D,P
W1: cell-w-001; produces W; needs I,K,R
X1: cell-x-001; produces X; needs Z,F,J
X2: cell-x-002; produces X; needs A,B,C
X3: cell-x-003; produces X; needs Q,M,E
Y1: cell-y-001; produces Y; needs P,A,C
Y2: cell-y-002; produces Y; needs B,K,L
Y3: cell-y-003; produces Y; needs L,B,U
Y4: cell-y-004; produces Y; needs B,L,D
Y5: cell-y-005; produces Y; needs Q,N,G
Z1: cell-z-001; produces Z; needs J,X,P
Z2: cell-z-002; produces Z; needs C,E,U
Z3: cell-z-003; produces Z; needs E,B,S
