.. Z1 J3 .. O3 D4 .. M2 Q1 R2 A2 ## E3 ## C5 ..
W2 .. T2 A3 H5 ## .. S2 C7 .. .. .. ## I1 ## I3
.. .. W3 *E G2 C4 F3 .. J1 .. R1 F2 T1 ## K3 N2
P3 Q5 ## .. *B .. M1 .. V5 ## .. C3 ## I2 .. P2
.. .. .. H4 .. ## S1 H1 V3 .. .. X3 .. ## *M ##
*4 L1 *9 O6 .. C6 C2 ## N1 G1 .. ## ## H3 .. ..
I5 D5 ## .. M4 P6 E2 .. .. *K .. P1 Q3 .. O2 ##
.. L2 R4 .. ## Y3 Y4 K1 M3 *I T5 .. ## A1 P4 ..
J2 ## *8 G4 *3 ## ## ## ## T4 .. P5 H6 Q2 Q4 Y1
W5 R5 B3 W1 T3 ## *7 .. .. .. *J B5 R6 B4 ## X1
X2 *6 ## *H .. W4 I4 .. ## .. D3 ## .. *D V1 U2
R3 W6 O7 B2 *C .. .. *L ## .. H7 O1 E1 .. *2 ..
*F D1 F4 .. ## .. .. *G .. ## G3 ## Y2 .. *1 ..
## D2 ## U3 .. V4 ## *5 F1 ## ## .. Z2 .. U1 O5
## .. .. V2 C1 ## K2 ## ## .. *A H2 ## ## O4 B1

Legend:
*1: red-myco-001; red-myco; needs X,E,M,L
O6: cell-o-006; produces O; needs T,C,K
O7: cell-o-007; produces O; needs I,C,A
P1: cell-p-001; produces P; needs O,T,V
P2: cell-p-002; produces P; needs T,R,I
P3: cell-p-003; produces P; needs W,B,F
P4: cell-p-004; produces P; needs M,Y,B
P5: cell-p-005; produces P; needs I,A,U
P6: cell-p-006; produces P; needs G,I,H
Q1: cell-q-001; produces Q; needs R,C,O
Q2: cell-q-002; produces Q; needs G,C,X
Q3: cell-q-003; produces Q; needs S,B,G
Q4: cell-q-004; produces Q; needs O,C,D
Q5: cell-q-005; produces Q; needs Y,H,R
R1: cell-r-001; produces R; needs O,Q,T
R2: cell-r-002; produces R; needs P,I,T
R3: cell-r-003; produces R; needs J,F,V
R4: cell-r-004; produces R; needs A,I,Z
R5: cell-r-005; produces R; needs Z,Q,E
R6: cell-r-006; produces R; needs C,G,B
S1: cell-s-001; produces S; needs C,T,E
S2: cell-s-002; produces S; needs T,D,G
T1: cell-t-001; produces T; needs D,O,W
T2: cell-t-002; produces T; needs P,O,R
T3: cell-t-003; produces T; needs S,C,D
T4: cell-t-004; produces T; needs K,O,S
T5: cell-t-005; produces T; needs H,E,Z
U1: cell-u-001; produces U; needs J,W,X
U2: cell-u-002; produces U; needs M,I,Y
U3: cell-u-003; produces U; needs Y,D,P
V1: cell-v-001; produces V; needs K,A,O
V2: cell-v-002; produces V; needs O,K,I
V3: cell-v-003; produces V; needs O,K,P
V4: cell-v-004; produces V; needs Y,Z,P
V5: cell-v-005; produces V; needs K,S,D
W1: cell-w-001; produces W; needs A,E,F
W2: cell-w-002; produces W; needs U,J,T
W3: cell-w-003; produces W; needs E,Y,F
W4: cell-w-004; produces W; needs L,K,F
W5: cell-w-005; produces W; needs F,P,R
W6: cell-w-006; produces W; needs N,X,R
X1: cell-x-001; produces X; needs H,J,E
X2: cell-x-002; produces X; needs P,Y,H
X3: cell-x-003; produces X; needs W,D,Q
Y1: cell-y-001; produces Y; needs U,Q,N
Y2: cell-y-002; produces Y; needs P,V,M
Y3: cell-y-003; produces Y; needs X,D,Z
Y4: cell-y-004; produces Y; needs D,U,V
Z1: cell-z-001; produces Z; needs V,S,Y
Z2: cell-z-002; produces Z; needs E,R,T
