V1 *C M3 .. B6 F7 .. X3 M1 ## .. .. ## *Q .. *8 C2
.. ## J3 F1 ## M7 *R .. *E B8 H5 Q4 I6 Y4 S1 .. U2
.. ## ## .. B5 G4 M4 .. T3 ## *D Z1 J4 ## X1 .. E1
## ## *A S2 ## I2 N3 .. T1 I3 G2 .. P4 ## *S H1 ..
G1 F6 N2 A4 .. .. .. X5 U4 G6 O2 L4 .. G5 *O *H Q5
## I5 .. R6 .. .. .. B4 B2 .. ## ## *L M6 B3 Y5 D3
L1 *5 ## .. Y6 .. *J .. .. ## ## V3 .. W3 .. ## P1
U1 ## R2 ## *1 P3 .. .. K2 F2 Y7 F5 *I .. P5 .. ..
## O3 .. ## W2 O1 ## ## D6 .. W1 *N D2 L3 .. *9 *K
.. *3 ## ## Y8 Q2 .. .. ## ## ## H4 ## K1 L2 A5 ..
.. B7 O4 K6 M8 *M Y9 .. .. Q1 *4 *P N1 R1 Z3 N5 E2
*2 X4 .. Z4 H3 *7 .. N4 ## J2 .. .. N6 O5 R3 ## ##
## .. .. .. ## ## ## P6 J1 ## G3 Y2 .. W4 U3 X2 I1
M5 .. *G ## *F R5 K4 ## ## S4 .. ## A1 ## .. .. ..
N7 D5 .. S6 Y3 D1 Q3 Z2 F3 .. ## U5 ## .. D4 ## H2
A2 .. F8 P2 ## Y1 M2 F4 A3 *B ## ## V2 *6 ## C1 R4
I4 T2 ## K3 ## .. S3 B1 ## I7 ## B9 .. ## X6 S5 K5

Legend:
*1: red-myco-001; red-myco; needs C,W,S,U
P3: cell-p-003; produces P; needs Y,M,T
P4: cell-p-004; produces P; needs E,A,J
P5: cell-p-005; produces P; needs A,I,U
P6: cell-p-006; produces P; needs N,I,R
Q1: cell-q-001; produces Q; needs N,M,K
Q2: cell-q-002; produces Q; needs V,B,T
Q3: cell-q-003; produces Q; needs D,T,G
Q4: cell-q-004; produces Q; needs S,I,B
Q5: cell-q-005; produces Q; needs H,K,B
R1: cell-r-001; produces R; needs O,J,T
R2: cell-r-002; produces R; needs B,F,A
R3: cell-r-003; produces R; needs Y,Z,N
R4: cell-r-004; produces R; needs A,H,X
R5: cell-r-005; produces R; needs B,X,K
R6: cell-r-006; produces R; needs U,N,S
S1: cell-s-001; produces S; needs X,K,F
S2: cell-s-002; produces S; needs D,W,G
S3: cell-s-003; produces S; needs L,B,J
S4: cell-s-004; produces S; needs U,M,T
S5: cell-s-005; produces S; needs H,R,B
S6: cell-s-006; produces S; needs B,Q,M
T1: cell-t-001; produces T; needs Y,O,P
T2: cell-t-002; produces T; needs N,B,M
T3: cell-t-003; produces T; needs I,Q,Y
U1: cell-u-001; produces U; needs M,K,A
U2: cell-u-002; produces U; needs M,S,D
U3: cell-u-003; produces U; needs D,W,S
U4: cell-u-004; produces U; needs R,N,C
U5: cell-u-005; produces U; needs B,Z,L
V1: cell-v-001; produces V; needs T,Q,K
V2: cell-v-002; produces V; needs Y,X,B
V3: cell-v-003; produces V; needs Y,I,X
W1: cell-w-001; produces W; needs S,N,D
W2: cell-w-002; produces W; needs U,J,D
W3: cell-w-003; produces W; needs P,I,K
W4: cell-w-004; produces W; needs I,F,R
X1: cell-x-001; produces X; needs I,F,G
X2: cell-x-002; produces X; needs F,S,C
X3: cell-x-003; produces X; needs V,H,Y
X4: cell-x-004; produces X; needs I,O,P
X5: cell-x-005; produces X; needs Q,A,N
X6: cell-x-006; produces X; needs Y,L,V
Y1: cell-y-001; produces Y; needs M,K,D
Y2: cell-y-002; produces Y; needs I,C,R
Y3: cell-y-003; produces Y; needs E,V,X
Y4: cell-y-004; produces Y; needs H,R,X
Y5: cell-y-005; produces Y; needs I,M,G
Y6: cell-y-006; produces Y; needs F,L,G
Y7: cell-y-007; produces Y; needs N,R,I
Y8: cell-y-008; produces Y; needs K,X,T
Y9: cell-y-009; produces Y; needs X,V,I
Z1: cell-z-001; produces Z; needs U,P,Q
Z2: cell-z-002; produces Z; needs J,O,F
Z3: cell-z-003; produces Z; needs Q,N,F
Z4: cell-z-004; produces Z; needs U,B,M
