## P6 Y2 M3 U5 ## ## Z8 I5 ## N4 *9 .. .. *5 Z9 .. ##
.. T6 ## L2 ## ## ## S3 Q8 .. .. .. .. T1 J7 ## J4 ##
*C .. K4 T5 .. .. F2 J6 ## .. X3 *1 S2 ## ## Q3 Z6 ..
.. .. .. Z7 *Q P1 ## R2 O6 .. G5 .. .. JA F5 .. O1 ##
## B4 ## ## ## N3 D6 *D .. .. X4 A3 G4 .. S4 A7 ## N7
F1 .. R3 .. V3 Q2 I2 C1 F4 M1 E1 ## .. K5 .. .. C4 ..
Z5 .. .. Q1 S1 *J *A V1 *3 .. B1 ## W2 I4 .. U7 ## *L
## A2 F3 .. ## A6 W1 .. P3 N5 H3 ## .. P2 .. K2 ## ..
C5 U1 U2 .. H5 ## Z2 ## ## .. X5 ## ## K3 ## Q7 ## *N
O2 .. *B J9 V2 .. Z3 C2 .. ## ## N2 .. U4 H6 ## D2 *K
.. .. .. .. .. J2 .. G3 *6 *S ## J8 X7 ## G1 .. H1 K1
.. *H O4 U3 .. H2 D5 Z4 ## .. *M T3 H4 ## .. D1 .. ..
K6 P4 W4 Q6 W3 ## .. N6 ## ## ## *E U6 ## *G ## .. B2
*I R1 .. P5 ## .. .. E2 A5 ## I1 L1 E3 A4 D4 *P T2 *O
A1 O3 .. O5 J1 X1 ## *4 J5 *T ## *F .. Z1 .. X2 P8 D3
B5 .. O7 B3 N1 X6 .. Y1 .. M2 ## ## ## *R Q4 .. ## ..
T4 ## .. .. C3 *2 .. L3 .. I3 *7 Q5 ## G2 J3 P7 G6 *8

Legend:
*1: red-myco-001; red-myco; needs B,A,Q,D
P1: cell-p-001; produces P; needs J,H,K
P2: cell-p-002; produces P; needs K,J,O
P3: cell-p-003; produces P; needs Z,L,O
P4: cell-p-004; produces P; needs K,L,X
P5: cell-p-005; produces P; needs W,X,K
P6: cell-p-006; produces P; needs O,S,Z
P7: cell-p-007; produces P; needs J,C,W
P8: cell-p-008; produces P; needs L,H,B
Q1: cell-q-001; produces Q; needs B,U,X
Q2: cell-q-002; produces Q; needs S,A,Z
Q3: cell-q-003; produces Q; needs O,D,W
Q4: cell-q-004; produces Q; needs V,J,R
Q5: cell-q-005; produces Q; needs E,L,N
Q6: cell-q-006; produces Q; needs U,S,W
Q7: cell-q-007; produces Q; needs R,F,Z
Q8: cell-q-008; produces Q; needs Z,R,W
R1: cell-r-001; produces R; needs I,M,D
R2: cell-r-002; produces R; needs Z,W,M
R3: cell-r-003; produces R; needs H,Q,S
S1: cell-s-001; produces S; needs T,Q,A
S2: cell-s-002; produces S; needs A,Z,K
S3: cell-s-003; produces S; needs Q,I,U
S4: cell-s-004; produces S; needs I,F,R
T1: cell-t-001; produces T; needs N,M,C
T2: cell-t-002; produces T; needs A,N,G
T3: cell-t-003; produces T; needs M,X,S
T4: cell-t-004; produces T; needs I,U,A
T5: cell-t-005; produces T; needs E,F,C
T6: cell-t-006; produces T; needs F,D,V
U1: cell-u-001; produces U; needs E,G,J
U2: cell-u-002; produces U; needs Q,J,B
U3: cell-u-003; produces U; needs H,J,Q
U4: cell-u-004; produces U; needs S,N,J
U5: cell-u-005; produces U; needs T,M,I
U6: cell-u-006; produces U; needs P,Q,B
U7: cell-u-007; produces U; needs N,D,O
V1: cell-v-001; produces V; needs H,Y,U
V2: cell-v-002; produces V; needs H,C,P
V3: cell-v-003; produces V; needs Z,X,K
W1: cell-w-001; produces W; needs H,T,Y
W2: cell-w-002; produces W; needs K,P,Z
W3: cell-w-003; produces W; needs K,Y,C
W4: cell-w-004; produces W; needs Z,S,Q
X1: cell-x-001; produces X; needs A,B,H
X2: cell-x-002; produces X; needs A,D,F
X3: cell-x-003; produces X; needs F,A,G
X4: cell-x-004; produces X; needs N,M,T
X5: cell-x-005; produces X; needs K,W,P
X6: cell-x-006; produces X; needs D,F,J
X7: cell-x-007; produces X; needs V,B,Z
Y1: cell-y-001; produces Y; needs V,H,W
Y2: cell-y-002; produces Y; needs W,T,K
Z1: cell-z-001; produces Z; needs O,P,G
Z2: cell-z-002; produces Z; needs V,O,K
Z3: cell-z-003; produces Z; needs K,V,W
Z4: cell-z-004; produces Z; needs D,I,Q
Z5: cell-z-005; produces Z; needs M,R,V
Z6: cell-z-006; produces Z; needs S,O,A
Z7: cell-z-007; produces Z; needs K,V,Q
Z8: cell-z-008; produces Z; needs Q,W,S
Z9: cell-z-009; produces Z; needs G,L,J
