V9 .. T5 C3 ## ## *6 H3 ## A2 .. .. O1 ## .. ## R4
.. ## R2 Q2 *O .. Q6 Q7 Y3 ## *5 .. F1 Z3 Z2 L2 J1
O3 D1 Q4 I1 .. .. M3 K4 .. K5 C5 W7 .. ## ## K2 ##
N3 I3 L5 .. .. R3 B2 ## *A *3 .. *F S5 ## .. W5 R1
## D3 R5 ## T4 ## A3 W2 O4 ## E5 V1 *H .. ## .. V8
G4 ## L3 .. .. J2 ## ## .. .. ## ## *N .. .. *J P3
W6 D2 ## I8 E4 *K S4 .. P4 Y2 W3 .. T1 H1 X2 P1 H2
W9 ## P7 ## Z1 C4 .. .. ## ## T2 E2 .. G1 .. .. ##
I4 S1 *9 S3 .. P2 H4 ## G6 F2 *1 V6 ## ## ## ## *C
## L1 U5 U1 P5 .. .. W8 ## .. .. *I .. A5 .. .. T3
K3 G2 *E .. *M .. ## *B .. .. .. ## ## .. Q5 E1 ..
## .. .. K7 K1 Y1 *8 ## I7 V5 U3 .. ## K6 M1 G5 ..
## .. M4 *D C1 W1 W4 V3 V4 I5 Q1 *2 .. M2 C2 ## G3
O2 A4 *P K8 U4 A1 .. .. ## U2 P6 I2 T6 *Q ## ## *L
X1 .. ## ## L4 V2 ## E6 M5 .. N1 V7 ## ## .. .. B1
*7 *4 *G .. ## .. .. E3 S2 .. .. Q3 Q8 .. I6 N2 ..

Legend:
*1: red-myco-001; red-myco; needs A,D,T,C
N3: cell-n-003; produces N; needs H,A,R
O1: cell-o-001; produces O; needs L,N,M
O2: cell-o-002; produces O; needs P,D,M
O3: cell-o-003; produces O; needs G,L,W
O4: cell-o-004; produces O; needs V,Z,I
P1: cell-p-001; produces P; needs C,W,K
P2: cell-p-002; produces P; needs W,H,E
P3: cell-p-003; produces P; needs K,R,Z
P4: cell-p-004; produces P; needs W,H,V
P5: cell-p-005; produces P; needs M,O,I
P6: cell-p-006; produces P; needs M,Q,R
P7: cell-p-007; produces P; needs X,M,Y
Q1: cell-q-001; produces Q; needs I,W,R
Q2: cell-q-002; produces Q; needs W,I,V
Q3: cell-q-003; produces Q; needs F,T,C
Q4: cell-q-004; produces Q; needs K,G,C
Q5: cell-q-005; produces Q; needs E,N,U
Q6: cell-q-006; produces Q; needs M,K,A
Q7: cell-q-007; produces Q; needs G,M,U
Q8: cell-q-008; produces Q; needs J,I,G
R1: cell-r-001; produces R; needs P,H,K
R2: cell-r-002; produces R; needs Q,S,D
R3: cell-r-003; produces R; needs V,W,S
R4: cell-r-004; produces R; needs O,H,T
R5: cell-r-005; produces R; needs L,G,B
S1: cell-s-001; produces S; needs E,B,H
S2: cell-s-002; produces S; needs R,V,W
S3: cell-s-003; produces S; needs G,M,R
S4: cell-s-004; produces S; needs T,O,W
S5: cell-s-005; produces S; needs L,K,W
T1: cell-t-001; produces T; needs B,Z,S
T2: cell-t-002; produces T; needs L,V,G
T3: cell-t-003; produces T; needs Q,C,F
T4: cell-t-004; produces T; needs A,O,Z
T5: cell-t-005; produces T; needs Y,S,I
T6: cell-t-006; produces T; needs S,Y,W
U1: cell-u-001; produces U; needs I,A,V
U2: cell-u-002; produces U; needs G,A,Q
U3: cell-u-003; produces U; needs K,I,X
U4: cell-u-004; produces U; needs I,S,Q
U5: cell-u-005; produces U; needs W,V,O
V1: cell-v-001; produces V; needs X,A,E
V2: cell-v-002; produces V; needs W,L,Q
V3: cell-v-003; produces V; needs Y,W,T
V4: cell-v-004; produces V; needs I,L,U
V5: cell-v-005; produces V; needs M,W,H
V6: cell-v-006; produces V; needs S,R,W
V7: cell-v-007; produces V; needs U,G,W
V8: cell-v-008; produces V; needs I,O,Q
V9: cell-v-009; produces V; needs K,A,S
W1: cell-w-001; produces W; needs J,P,H
W2: cell-w-002; produces W; needs Q,V,E
W3: cell-w-003; produces W; needs V,Q,Y
W4: cell-w-004; produces W; needs V,P,M
W5: cell-w-005; produces W; needs E,T,H
W6: cell-w-006; produces W; needs R,M,V
W7: cell-w-007; produces W; needs I,G,A
W8: cell-w-008; produces W; needs K,C,S
W9: cell-w-009; produces W; needs E,U,S
X1: cell-x-001; produces X; needs E,V,I
X2: cell-x-002; produces X; needs C,K,P
Y1: cell-y-001; produces Y; needs X,E,P
Y2: cell-y-002; produces Y; needs A,G,T
Y3: cell-y-003; produces Y; needs T,B,X
Z1: cell-z-001; produces Z; needs T,K,M
Z2: cell-z-002; produces Z; needs E,A,Y
Z3: cell-z-003; produces Z; needs E,G,C
