O4 *D .. RA .. T1 .. S1 .. ## D9 I2 .. Z2 .. C3 ## .. Q6 V4
BC .. .. .. F3 V3 *a *Q ## ## Q1 ## B4 D7 ## UB N1 *E ## R3
## N5 K6 ## ## *P Z4 R2 .. ## B7 J1 ## L1 Y3 *M UA ## S2 *U
M2 N7 *1 .. N6 *J ## U9 A4 *Y E2 *7 O2 D1 K7 E3 A3 *G I1 Y4
S4 ## C6 NA ## L2 K5 .. K8 W2 S5 ## .. X2 L3 *H ## Y6 BA V1
## GA A5 M1 K1 ## .. Y1 A9 .. .. ## Q4 M4 G9 ## ## Z5 O3 ##
O5 *T W7 *F L4 D2 W4 .. H1 .. D4 *X ## ## ## .. ## .. ## ..
.. C2 J2 K2 .. *K .. O7 .. *S U6 ## A7 W1 O1 V2 U2 ## T3 U3
## D8 C5 P1 ## .. D3 ## F1 ## A6 F2 X4 .. F4 GC ## B5 ## B3
B9 *8 .. .. .. J4 .. ## .. G6 .. .. I9 *L K4 ## H3 O6 R7 ##
## R1 B8 *2 G1 W5 YA .. W8 H4 Q3 .. Y5 .. Y8 Z3 E4 N3 U8 I4
T2 J5 G8 A8 .. .. .. *R ## .. T4 I7 N9 ## *5 W6 ## ## M3 V5
GB ## ## DA E1 Y7 .. .. .. X1 *A ## P3 I5 ## ## .. ## U1 U4
## ## ## S6 J3 ## L6 .. *9 .. ## .. U7 .. ## ## W3 Z1 C7 ##
I6 ## *b K3 G7 Y9 DC ## .. ## ## .. B2 L5 G4 D5 P2 ## .. ##
## .. ## *C Y2 U5 *6 .. A1 .. *B .. B1 .. DB S3 .. .. G2 *V
.. R8 H5 T5 ## .. .. .. RB *W H2 N8 C1 .. *N BB .. ## ## ..
## G3 *0 Q2 .. N4 ## ## *3 R5 B6 X3 R9 S7 I8 *4 .. *I V6 ##
R6 .. E5 .. .. .. *O A2 D6 N2 C4 .. .. Q5 ## R4 *Z ## G5 I3

Legend:
*0: red-myco-036; red-myco; needs S,W,E,Z
GA: cell-g-010; produces G; needs V,A,W
GB: cell-g-011; produces G; needs K,E,J
GC: cell-g-012; produces G; needs N,B,D
H1: cell-h-001; produces H; needs N,U,J
H2: cell-h-002; produces H; needs O,B,S
H3: cell-h-003; produces H; needs G,U,W
H4: cell-h-004; produces H; needs B,J,R
H5: cell-h-005; produces H; needs D,R,S
I1: cell-i-001; produces I; needs E,G,N
I2: cell-i-002; produces I; needs J,N,C
I3: cell-i-003; produces I; needs K,E,G
I4: cell-i-004; produces I; needs M,R,E
I5: cell-i-005; produces I; needs B,Y,U
I6: cell-i-006; produces I; needs C,Y,B
I7: cell-i-007; produces I; needs N,Q,C
I8: cell-i-008; produces I; needs A,S,C
I9: cell-i-009; produces I; needs B,K,V
J1: cell-j-001; produces J; needs A,Y,S
J2: cell-j-002; produces J; needs Z,C,D
J3: cell-j-003; produces J; needs S,T,Q
J4: cell-j-004; produces J; needs B,K,A
J5: cell-j-005; produces J; needs P,U,G
K1: cell-k-001; produces K; needs U,F,T
K2: cell-k-002; produces K; needs N,U,I
K3: cell-k-003; produces K; needs G,I,H
K4: cell-k-004; produces K; needs G,T,M
K5: cell-k-005; produces K; needs J,G,B
K6: cell-k-006; produces K; needs I,N,B
K7: cell-k-007; produces K; needs O,C,S
K8: cell-k-008; produces K; needs B,L,Y
L1: cell-l-001; produces L; needs H,Y,V
L2: cell-l-002; produces L; needs U,B,W
L3: cell-l-003; produces L; needs W,V,D
L4: cell-l-004; produces L; needs O,N,G
L5: cell-l-005; produces L; needs Z,N,A
L6: cell-l-006; produces L; needs K,C,B
M1: cell-m-001; produces M; needs A,T,C
M2: cell-m-002; produces M; needs F,N,T
M3: cell-m-003; produces M; needs O,G,D
M4: cell-m-004; produces M; needs E,I,P
N1: cell-n-001; produces N; needs Y,E,Z
N2: cell-n-002; produces N; needs I,K,J
N3: cell-n-003; produces N; needs Y,H,U
N4: cell-n-004; produces N; needs Y,G,V
N5: cell-n-005; produces N; needs M,B,F
N6: cell-n-006; produces N; needs L,Z,O
N7: cell-n-007; produces N; needs E,Z,R
N8: cell-n-008; produces N; needs R,P,B
N9: cell-n-009; produces N; needs D,G,V
NA: cell-n-010; produces N; needs K,W,I
O1: cell-o-001; produces O; needs S,H,X
O2: cell-o-002; produces O; needs U,R,A
O3: cell-o-003; produces O; needs G,L,E
O4: cell-o-004; produces O; needs D,M,J
O5: cell-o-005; produces O; needs S,T,I
O6: cell-o-006; produces O; needs E,Q,R
O7: cell-o-007; produces O; needs Z,K,C
P1: cell-p-001; produces P; needs Y,E,M
P2: cell-p-002; produces P; needs Q,U,I
P3: cell-p-003; produces P; needs H,J,B
Q1: cell-q-001; produces Q; needs D,T,V
Q2: cell-q-002; produces Q; needs A,L,X
Q3: cell-q-003; produces Q; needs I,P,N
Q4: cell-q-004; produces Q; needs A,Z,X
Q5: cell-q-005; produces Q; needs B,Z,V
Q6: cell-q-006; produces Q; needs O,W,T
R1: cell-r-001; produces R; needs Y,W,C
R2: cell-r-002; produces R; needs M,D,W
R3: cell-r-003; produces R; needs O,Y,U
R4: cell-r-004; produces R; needs Y,W,T
R5: cell-r-005; produces R; needs U,W,O
R6: cell-r-006; produces R; needs S,K,U
R7: cell-r-007; produces R; needs N,B,H
R8: cell-r-008; produces R; needs D,A,S
R9: cell-r-009; produces R; needs I,C,M
RA: cell-r-010; produces R; needs U,F,J
RB: cell-r-011; produces R; needs H,E,D
S1: cell-s-001; produces S; needs F,J,K
S2: cell-s-002; produces S; needs D,Y,Q
S3: cell-s-003; produces S; needs I,O,G
S4: cell-s-004; produces S; needs U,R,H
S5: cell-s-005; produces S; needs U,D,X
S6: cell-s-006; produces S; needs I,O,A
S7: cell-s-007; produces S; needs D,P,H
T1: cell-t-001; produces T; needs U,B,K
T2: cell-t-002; produces T; needs M,C,A
T3: cell-t-003; produces T; needs J,F,S
T4: cell-t-004; produces T; needs V,B,C
T5: cell-t-005; produces T; needs E,A,U
U1: cell-u-001; produces U; needs T,K,F
U2: cell-u-002; produces U; needs K,X,N
U3: cell-u-003; produces U; needs H,E,N
U4: cell-u-004; produces U; needs A,O,W
U5: cell-u-005; produces U; needs W,R,I
U6: cell-u-006; produces U; needs H,S,G
U7: cell-u-007; produces U; needs X,S,O
U8: cell-u-008; produces U; needs P,B,R
U9: cell-u-009; produces U; needs P,A,Q
UA: cell-u-010; produces U; needs J,R,P
UB: cell-u-011; produces U; needs W,Z,Q
V1: cell-v-001; produces V; needs E,O,I
V2: cell-v-002; produces V; needs L,Y,D
V3: cell-v-003; produces V; needs L,D,W
V4: cell-v-004; produces V; needs W,G,K
V5: cell-v-005; produces V; needs Z,D,Q
V6: cell-v-006; produces V; needs C,T,K
W1: cell-w-001; produces W; needs R,C,Y
W2: cell-w-002; produces W; needs B,K,H
W3: cell-w-003; produces W; needs Y,J,R
W4: cell-w-004; produces W; needs R,U,M
W5: cell-w-005; produces W; needs R,H,U
W6: cell-w-006; produces W; needs Z,L,R
W7: cell-w-007; produces W; needs N,J,K
W8: cell-w-008; produces W; needs Q,U,O
X1: cell-x-001; produces X; needs Y,C,S
X2: cell-x-002; produces X; needs U,W,K
X3: cell-x-003; produces X; needs B,D,Q
X4: cell-x-004; produces X; needs A,U,Q
Y1: cell-y-001; produces Y; needs Q,N,S
Y2: cell-y-002; produces Y; needs S,X,D
Y3: cell-y-003; produces Y; needs L,H,R
Y4: cell-y-004; produces Y; needs R,L,W
Y5: cell-y-005; produces Y; needs Z,H,D
Y6: cell-y-006; produces Y; needs R,W,O
Y7: cell-y-007; produces Y; needs V,N,G
Y8: cell-y-008; produces Y; needs J,G,A
Y9: cell-y-009; produces Y; needs I,B,F
YA: cell-y-010; produces Y; needs I,C,F
Z1: cell-z-001; produces Z; needs D,Y,H
Z2: cell-z-002; produces Z; needs N,P,L
Z3: cell-z-003; produces Z; needs Q,B,A
Z4: cell-z-004; produces Z; needs A,L,F
Z5: cell-z-005; produces Z; needs U,W,O
