*3 YA .. Q3 YC S6 .. .. ## ## W5 I5 ## .. N3 W6 U7 R9 ..
O4 Q1 J5 ## Y5 LA *6 ## M6 W4 .. H1 J3 ## .. N5 Y4 .. ##
Z4 ## ## *Y ## D6 .. .. ## O2 N4 S4 .. .. *C ## Q2 A2 ..
.. .. R4 ## B2 UB *A .. M7 L1 *L J1 L8 M2 ## ## .. P4 R1
## .. S5 L5 .. ## H8 I1 G4 I4 Y8 *T *W H2 .. .. ## .. ##
*8 *M N2 O6 .. ## P1 U6 .. .. .. .. *B .. I3 .. K3 A5 *E
R3 D1 *J E1 A1 ## M3 .. .. .. L2 ## D5 G3 ## ## H3 R5 ..
V3 .. ## T3 Q5 M4 .. .. ## E2 ## B1 ## .. .. H6 ## .. H4
Q4 ## R6 O9 ## UA G1 V1 .. J4 X3 C5 E7 T2 ## N6 Z3 ## *1
A6 .. ## *N Z5 U8 ## .. .. Z1 .. *9 *I .. OA ## *Q C6 E4
U4 O8 .. X5 W2 ## E3 .. X1 H7 *Z C8 ## Y7 C7 A4 C1 *D ..
Y3 F3 .. C3 .. ## R2 U9 *S T1 *H .. U1 ## S3 .. *R K7 I7
## ## K1 *4 ## C2 .. I2 O5 .. N1 U3 *7 .. W1 S1 .. S2 ..
*U .. L9 .. J2 U5 C4 Y2 R8 ## L3 X4 Y1 .. L7 ## Y9 OB ##
L6 ## V5 *X X6 .. J7 E8 H5 .. X2 L4 ## G6 D2 P3 O7 G2 *G
T4 *P ## ## ## O1 YB A3 .. .. .. *K J6 Z2 ## E5 .. E6 ##
.. I8 *O Z7 .. ## V2 G5 U2 .. ## ## ## K6 Z6 .. Y6 .. ##
F2 K4 I6 D4 ## *2 M1 ## ## .. ## .. K2 ## V4 ## .. ## ##
.. ## ## *V ## ## M5 *5 R7 W3 O3 F1 *F .. D3 .. ## P2 K5

Legend:
*1: red-myco-001; red-myco; needs T,E,R,I
U3: cell-u-003; produces U; needs P,N,K
U4: cell-u-004; produces U; needs K,X,M
U5: cell-u-005; produces U; needs Y,B,R
U6: cell-u-006; produces U; needs Q,O,F
U7: cell-u-007; produces U; needs P,H,A
U8: cell-u-008; produces U; needs T,H,Z
U9: cell-u-009; produces U; needs G,Z,E
UA: cell-u-010; produces U; needs E,G,W
UB: cell-u-011; produces U; needs C,T,K
V1: cell-v-001; produces V; needs Q,H,J
V2: cell-v-002; produces V; needs A,Y,Z
V3: cell-v-003; produces V; needs L,P,Z
V4: cell-v-004; produces V; needs C,X,L
V5: cell-v-005; produces V; needs L,D,T
W1: cell-w-001; produces W; needs D,A,Y
W2: cell-w-002; produces W; needs C,L,O
W3: cell-w-003; produces W; needs L,S,P
W4: cell-w-004; produces W; needs S,G,P
W5: cell-w-005; produces W; needs Y,G,I
W6: cell-w-006; produces W; needs H,O,D
X1: cell-x-001; produces X; needs C,N,J
X2: cell-x-002; produces X; needs Q,Y,M
X3: cell-x-003; produces X; needs U,K,M
X4: cell-x-004; produces X; needs T,U,P
X5: cell-x-005; produces X; needs V,N,C
X6: cell-x-006; produces X; needs G,H,W
Y1: cell-y-001; produces Y; needs J,R,O
Y2: cell-y-002; produces Y; needs O,J,S
Y3: cell-y-003; produces Y; needs V,M,A
Y4: cell-y-004; produces Y; needs K,D,O
Y5: cell-y-005; produces Y; needs D,Z,W
Y6: cell-y-006; produces Y; needs G,M,Q
Y7: cell-y-007; produces Y; needs O,P,J
Y8: cell-y-008; produces Y; needs E,L,D
Y9: cell-y-009; produces Y; needs R,U,S
YA: cell-y-010; produces Y; needs I,W,E
YB: cell-y-011; produces Y; needs N,F,X
YC: cell-y-012; produces Y; needs Z,E,I
Z1: cell-z-001; produces Z; needs P,A,O
Z2: cell-z-002; produces Z; needs Y,C,D
Z3: cell-z-003; produces Z; needs K,F,J
Z4: cell-z-004; produces Z; needs C,L,B
Z5: cell-z-005; produces Z; needs S,Y,E
Z6: cell-z-006; produces Z; needs O,T,R
Z7: cell-z-007; produces Z; needs E,G,I
