O4 M2 *2 E2 B3 *5 .. .. J3 .. ## N3 .. ## .. ## *J
*H B5 O7 *3 ## P3 .. .. ## .. .. S2 .. O2 U3 Q1 M1
W3 I2 ## Q4 .. E3 .. ## K2 O3 ## Y7 O6 .. .. Q2 ..
H2 .. A5 ## W6 ## B1 ## Y8 G7 *O A2 YC O1 U4 ## D2
D1 U1 ## V1 V3 G5 F2 J4 N1 .. L1 L2 ## ## *G L3 Y2
R2 .. .. Y1 .. .. Y5 C5 N4 .. .. R1 ## A4 ## ## ##
*N .. .. F3 .. G3 *K ## S3 K4 C1 Q3 U6 YB *R T3 P1
B2 T2 ## U5 ## ## D7 .. ## ## J2 M4 .. C4 L4 O5 ##
## J5 ## X3 Y9 .. .. I5 ## G9 ## *A D6 Z2 ## ## W4
K3 *7 V4 H6 S4 .. .. .. .. .. T1 *Q .. W9 ## .. YA
A3 G8 W2 ## .. *8 H1 A1 .. .. .. W7 ## I4 ## ## ##
*M P5 U7 H5 ## Z1 P4 .. *F Q5 K1 ## F4 ## .. Y3 *1
.. .. .. B4 .. J1 *E .. *L U2 G6 N2 *D .. ## ## G4
E5 .. .. ## K5 R3 C3 V2 ## H3 .. *6 .. G1 H4 .. ..
.. E1 ## ## ## *B ## E6 *S .. C2 I1 G2 ## .. ## ##
.. W8 .. X2 Y6 .. D4 *4 ## W5 *I S1 ## F5 .. D5 ..
## E7 D3 *C *P X1 M3 ## F1 *9 Y4 .. E4 I3 .. W1 P2

Legend:
*1: red-myco-001; red-myco; needs Z,U,V,R
I4: cell-i-004; produces I; needs P,L,G
I5: cell-i-005; produces I; needs J,Y,N
J1: cell-j-001; produces J; needs E,B,L
J2: cell-j-002; produces J; needs O,V,C
J3: cell-j-003; produces J; needs W,F,V
J4: cell-j-004; produces J; needs R,A,D
J5: cell-j-005; produces J; needs N,I,U
K1: cell-k-001; produces K; needs G,W,D
K2: cell-k-002; produces K; needs J,E,N
K3: cell-k-003; produces K; needs U,S,Y
K4: cell-k-004; produces K; needs E,D,W
K5: cell-k-005; produces K; needs C,D,P
L1: cell-l-001; produces L; needs W,O,I
L2: cell-l-002; produces L; needs Q,E,F
L3: cell-l-003; produces L; needs P,Z,I
L4: cell-l-004; produces L; needs R,P,I
M1: cell-m-001; produces M; needs F,Q,R
M2: cell-m-002; produces M; needs P,Y,W
M3: cell-m-003; produces M; needs X,V,B
M4: cell-m-004; produces M; needs E,F,Y
N1: cell-n-001; produces N; needs W,E,I
N2: cell-n-002; produces N; needs W,F,O
N3: cell-n-003; produces N; needs E,H,K
N4: cell-n-004; produces N; needs U,J,Y
O1: cell-o-001; produces O; needs V,W,G
O2: cell-o-002; produces O; needs L,H,W
O3: cell-o-003; produces O; needs H,E,V
O4: cell-o-004; produces O; needs C,J,V
O5: cell-o-005; produces O; needs T,V,E
O6: cell-o-006; produces O; needs D,X,U
O7: cell-o-007; produces O; needs Q,C,G
P1: cell-p-001; produces P; needs H,M,Q
P2: cell-p-002; produces P; needs Y,M,U
P3: cell-p-003; produces P; needs I,L,Y
P4: cell-p-004; produces P; needs S,Y,O
P5: cell-p-005; produces P; needs L,I,R
Q1: cell-q-001; produces Q; needs M,H,F
Q2: cell-q-002; produces Q; needs D,L,G
Q3: cell-q-003; produces Q; needs Y,G,A
Q4: cell-q-004; produces Q; needs G,O,W
Q5: cell-q-005; produces Q; needs G,U,C
R1: cell-r-001; produces R; needs H,C,L
R2: cell-r-002; produces R; needs L,H,P
R3: cell-r-003; produces R; needs D,J,G
S1: cell-s-001; produces S; needs C,H,A
S2: cell-s-002; produces S; needs K,P,Y
S3: cell-s-003; produces S; needs G,F,B
S4: cell-s-004; produces S; needs U,H,Q
T1: cell-t-001; produces T; needs E,O,L
T2: cell-t-002; produces T; needs D,Y,S
T3: cell-t-003; produces T; needs F,A,M
U1: cell-u-001; produces U; needs X,Y,P
U2: cell-u-002; produces U; needs H,D,C
U3: cell-u-003; produces U; needs Y,K,P
U4: cell-u-004; produces U; needs T,D,K
U5: cell-u-005; produces U; needs Q,S,G
U6: cell-u-006; produces U; needs A,V,J
U7: cell-u-007; produces U; needs Y,N,V
V1: cell-v-001; produces V; needs E,C,H
V2: cell-v-002; produces V; needs J,W,O
V3: cell-v-003; produces V; needs M,C,X
V4: cell-v-004; produces V; needs Z,Y,D
W1: cell-w-001; produces W; needs K,D,G
W2: cell-w-002; produces W; needs X,I,M
W3: cell-w-003; produces W; needs I,N,E
W4: cell-w-004; produces W; needs O,N,V
W5: cell-w-005; produces W; needs C,L,D
W6: cell-w-006; produces W; needs V,J,C
W7: cell-w-007; produces W; needs Y,E,G
W8: cell-w-008; produces W; needs F,B,S
W9: cell-w-009; produces W; needs Y,G,D
X1: cell-x-001; produces X; needs I,U,P
X2: cell-x-002; produces X; needs B,M,H
X3: cell-x-003; produces X; needs O,B,D
Y1: cell-y-001; produces Y; needs U,P,X
Y2: cell-y-002; produces Y; needs L,E,B
Y3: cell-y-003; produces Y; needs E,F,G
Y4: cell-y-004; produces Y; needs E,W,J
Y5: cell-y-005; produces Y; needs W,G,D
Y6: cell-y-006; produces Y; needs N,E,B
Y7: cell-y-007; produces Y; needs T,I,M
Y8: cell-y-008; produces Y; needs G,Q,A
Y9: cell-y-009; produces Y; needs Q,D,S
YA: cell-y-010; produces Y; needs P,U,S
YB: cell-y-011; produces Y; needs V,R,Z
YC: cell-y-012; produces Y; needs V,U,N
Z1: cell-z-001; produces Z; needs D,V,U
Z2: cell-z-002; produces Z; needs A,H,T
