.. ## V6 *7 ## .. A6 A7 ## .. X6 H3 X2 J3 G7 M5 X3 *V C2
.. S5 *9 .. Y4 GA F1 P2 V5 .. D2 *Q G1 ## .. ## .. L3 ..
I3 *F U1 ## U7 K1 *4 X1 .. S4 ## ## M4 D5 .. .. ## .. ##
O2 .. P1 G5 *P .. V7 .. X4 ## F2 ## Q1 E4 T2 .. .. C4 ##
.. .. ## J6 Y8 U2 E5 O3 Q7 ## Z7 ## T1 B1 .. J1 R3 Y7 ..
## G3 ## GF *X Z2 C7 .. ## A2 ## .. *N N2 K3 C6 C3 *8 ..
A5 .. ## G6 *U ## .. *K S2 ## .. H5 J4 AB O4 ## Z4 M2 GE
.. E3 .. *5 ## .. .. .. ## ## Y5 ## P5 .. L2 P3 Z5 ## N4
B5 T4 A4 .. W1 R2 ## AD C5 A3 *J .. L1 T3 .. .. .. G4 ##
N1 E1 .. ## .. I1 *6 A8 I5 GD G8 B4 P7 L4 A1 D6 ## .. ##
*2 B3 T7 P6 J5 .. ## AA A9 .. .. .. ## Q6 *T .. .. .. P4
## *O *G *E Z1 Q3 E2 R6 ## K2 Z6 .. .. S6 .. U4 U5 ## H2
S1 .. I2 .. ## E6 ## *M *B .. .. ## ## Y6 .. .. S3 .. GB
## V4 *Y ## V1 M1 J2 V2 ## R5 .. G2 *I .. .. H4 D4 D1 ##
GC Z3 .. ## V3 H1 .. R4 AC ## *S Q2 ## ## .. ## .. *R ..
Y1 .. Y3 .. .. T6 .. .. O5 *H *C *1 ## ## M3 D3 ## B2 ##
## ## I4 Q5 ## P9 ## .. G9 F5 F4 .. .. .. ## .. U3 T5 ..
Q4 *W .. N5 *A N3 R1 ## C1 .. .. Y2 K4 O1 U6 ## ## .. J7
*D *3 .. .. K5 F3 X7 Y9 .. ## .. ## ## .. X5 *L U8 ## P8

Legend:
*1: red-myco-001; red-myco; needs W,H,U,X
J6: cell-j-006; produces J; needs G,Y,Q
J7: cell-j-007; produces J; needs M,I,F
K1: cell-k-001; produces K; needs Q,B,U
K2: cell-k-002; produces K; needs Z,G,X
K3: cell-k-003; produces K; needs M,U,Z
K4: cell-k-004; produces K; needs C,P,X
K5: cell-k-005; produces K; needs D,V,R
L1: cell-l-001; produces L; needs U,R,A
L2: cell-l-002; produces L; needs U,J,A
L3: cell-l-003; produces L; needs P,D,O
L4: cell-l-004; produces L; needs D,F,T
M1: cell-m-001; produces M; needs Z,K,C
M2: cell-m-002; produces M; needs X,N,Y
M3: cell-m-003; produces M; needs U,J,C
M4: cell-m-004; produces M; needs I,H,J
M5: cell-m-005; produces M; needs Z,S,I
N1: cell-n-001; produces N; needs U,Z,H
N2: cell-n-002; produces N; needs Z,U,E
N3: cell-n-003; produces N; needs C,H,Q
N4: cell-n-004; produces N; needs M,X,C
N5: cell-n-005; produces N; needs C,M,E
O1: cell-o-001; produces O; needs Y,X,E
O2: cell-o-002; produces O; needs V,Y,F
O3: cell-o-003; produces O; needs P,A,L
O4: cell-o-004; produces O; needs U,Y,G
O5: cell-o-005; produces O; needs P,B,Z
P1: cell-p-001; produces P; needs E,B,D
P2: cell-p-002; produces P; needs M,J,T
P3: cell-p-003; produces P; needs R,X,L
P4: cell-p-004; produces P; needs B,O,T
P5: cell-p-005; produces P; needs O,L,D
P6: cell-p-006; produces P; needs Y,F,I
P7: cell-p-007; produces P; needs K,C,B
P8: cell-p-008; produces P; needs M,U,Y
P9: cell-p-009; produces P; needs Z,O,G
Q1: cell-q-001; produces Q; needs U,K,B
Q2: cell-q-002; produces Q; needs E,Y,S
Q3: cell-q-003; produces Q; needs S,C,D
Q4: cell-q-004; produces Q; needs B,R,A
Q5: cell-q-005; produces Q; needs R,A,G
Q6: cell-q-006; produces Q; needs T,A,L
Q7: cell-q-007; produces Q; needs A,H,I
R1: cell-r-001; produces R; needs G,F,A
R2: cell-r-002; produces R; needs J,H,P
R3: cell-r-003; produces R; needs G,J,T
R4: cell-r-004; produces R; needs Q,Y,A
R5: cell-r-005; produces R; needs A,N,Q
R6: cell-r-006; produces R; needs B,D,K
S1: cell-s-001; produces S; needs Z,D,H
S2: cell-s-002; produces S; needs B,E,K
S3: cell-s-003; produces S; needs Y,A,J
S4: cell-s-004; produces S; needs E,A,B
S5: cell-s-005; produces S; needs D,J,T
S6: cell-s-006; produces S; needs M,E,Z
T1: cell-t-001; produces T; needs G,A,H
T2: cell-t-002; produces T; needs B,V,P
T3: cell-t-003; produces T; needs J,B,R
T4: cell-t-004; produces T; needs I,Q,G
T5: cell-t-005; produces T; needs B,D,V
T6: cell-t-006; produces T; needs C,D,B
T7: cell-t-007; produces T; needs V,D,A
U1: cell-u-001; produces U; needs H,N,K
U2: cell-u-002; produces U; needs N,Q,K
U3: cell-u-003; produces U; needs A,L,I
U4: cell-u-004; produces U; needs J,L,Q
U5: cell-u-005; produces U; needs K,O,M
U6: cell-u-006; produces U; needs P,Y,D
U7: cell-u-007; produces U; needs Y,O,E
U8: cell-u-008; produces U; needs X,G,A
V1: cell-v-001; produces V; needs A,O,X
V2: cell-v-002; produces V; needs O,F,A
V3: cell-v-003; produces V; needs F,O,Y
V4: cell-v-004; produces V; needs A,G,S
V5: cell-v-005; produces V; needs E,B,Z
V6: cell-v-006; produces V; needs A,T,H
V7: cell-v-007; produces V; needs K,C,D
W1: cell-w-001; produces W; needs H,N,R
X1: cell-x-001; produces X; needs O,Y,A
X2: cell-x-002; produces X; needs A,O,V
X3: cell-x-003; produces X; needs P,Z,C
X4: cell-x-004; produces X; needs F,L,P
X5: cell-x-005; produces X; needs G,C,S
X6: cell-x-006; produces X; needs Y,M,S
X7: cell-x-007; produces X; needs A,U,E
Y1: cell-y-001; produces Y; needs H,W,Z
Y2: cell-y-002; produces Y; needs Z,P,O
Y3: cell-y-003; produces Y; needs Q,J,E
Y4: cell-y-004; produces Y; needs O,V,J
Y5: cell-y-005; produces Y; needs J,S,G
Y6: cell-y-006; produces Y; needs I,P,H
Y7: cell-y-007; produces Y; needs U,G,P
Y8: cell-y-008; produces Y; needs E,U,C
Y9: cell-y-009; produces Y; needs O,G,U
Z1: cell-z-001; produces Z; needs Y,S,T
Z2: cell-z-002; produces Z; needs S,Y,D
Z3: cell-z-003; produces Z; needs N,U,B
Z4: cell-z-004; produces Z; needs X,K,P
Z5: cell-z-005; produces Z; needs C,M,K
Z6: cell-z-006; produces Z; needs G,L,Y
Z7: cell-z-007; produces Z; needs I,M,B
