TB T4 D4 .. E4 C3 *E .. X7 ## ## ## .. ## ## J6 .. X6 G5
## .. V8 C5 ## .. J3 ## ## J8 K3 J7 H6 R4 *D *R ## N1 ##
.. .. .. ## VA B4 *4 V4 L3 I1 X4 O7 *G ## A1 Y3 G2 *1 Q1
## .. ## S6 P3 Q6 E9 T8 Y6 M1 *Z .. U2 H2 ## N2 .. ## ..
.. .. .. .. H5 Q4 .. .. *M ## ## ## T1 Z1 *H H8 .. .. ##
.. G3 E7 ## B2 C2 TC .. E2 .. ## *P .. .. ## ## ## Y2 U5
## ## ## *5 Y4 A4 F1 V1 ## .. O4 W5 .. J4 ## .. ## ## ..
.. ## .. ## K6 H3 KB *I .. .. .. O1 W1 *A KA TA S1 WB ##
N4 C1 W6 .. ## *6 F4 ## P1 X1 .. B3 *U .. .. *C ## K9 ..
K7 O2 E5 A3 T6 *F WA .. B1 O3 .. Q5 .. .. KC Y5 .. C6 G1
W8 S3 D5 R2 ## E6 S4 ## J5 F5 ## ## *T W9 .. .. F2 P4 V3
Y1 Q7 J1 P2 .. .. .. .. ## D3 .. V6 *2 D7 J2 I2 D2 K5 V5
.. ## W4 W7 X3 .. .. R1 ## TD ## F3 .. L2 V2 .. L4 ## A2
## Q3 *B X2 F6 X5 HB S2 E3 D6 N5 ## X8 ## N3 V9 HC H9 ..
## .. T3 U1 *X .. M3 *K ## S5 T9 L1 .. O8 E1 R6 ## ## *J
## T2 W3 .. ## ## T5 .. R3 .. .. ## *L ## *7 T7 .. ## *Y
*V ## *O R5 K4 ## .. K8 O6 O5 *Q V7 *9 *S ## Z2 H4 ## U3
.. .. M2 L5 P5 HA .. K1 Q2 K2 D1 W2 H7 ## .. .. ## .. ..
*N *8 P6 I3 H1 .. U4 .. *3 .. G4 ## C4 ## *W ## .. .. E8

Legend:
*1: red-myco-001; red-myco; needs I,Q,K,H
Q1: cell-q-001; produces Q; needs P,M,U
Q2: cell-q-002; produces Q; needs A,H,R
Q3: cell-q-003; produces Q; needs T,A,L
Q4: cell-q-004; produces Q; needs K,E,Z
Q5: cell-q-005; produces Q; needs D,F,G
Q6: cell-q-006; produces Q; needs O,V,L
Q7: cell-q-007; produces Q; needs D,U,J
R1: cell-r-001; produces R; needs H,L,I
R2: cell-r-002; produces R; needs Y,T,I
R3: cell-r-003; produces R; needs J,A,C
R4: cell-r-004; produces R; needs L,E,S
R5: cell-r-005; produces R; needs T,J,G
R6: cell-r-006; produces R; needs G,T,D
S1: cell-s-001; produces S; needs J,I,Z
S2: cell-s-002; produces S; needs F,Y,T
S3: cell-s-003; produces S; needs W,X,R
S4: cell-s-004; produces S; needs P,O,R
S5: cell-s-005; produces S; needs G,W,E
S6: cell-s-006; produces S; needs A,W,Q
T1: cell-t-001; produces T; needs O,D,N
T2: cell-t-002; produces T; needs D,F,O
T3: cell-t-003; produces T; needs W,F,J
T4: cell-t-004; produces T; needs L,V,M
T5: cell-t-005; produces T; needs G,H,W
T6: cell-t-006; produces T; needs R,C,Y
T7: cell-t-007; produces T; needs H,O,K
T8: cell-t-008; produces T; needs N,H,V
T9: cell-t-009; produces T; needs U,Q,H
TA: cell-t-010; produces T; needs B,Q,P
TB: cell-t-011; produces T; needs Y,C,X
TC: cell-t-012; produces T; needs J,R,F
TD: cell-t-013; produces T; needs X,W,J
U1: cell-u-001; produces U; needs H,C,Q
U2: cell-u-002; produces U; needs X,K,I
U3: cell-u-003; produces U; needs E,Q,G
U4: cell-u-004; produces U; needs M,K,L
U5: cell-u-005; produces U; needs Q,F,B
V1: cell-v-001; produces V; needs K,O,Y
V2: cell-v-002; produces V; needs O,A,J
V3: cell-v-003; produces V; needs E,H,G
V4: cell-v-004; produces V; needs W,Y,T
V5: cell-v-005; produces V; needs P,L,X
V6: cell-v-006; produces V; needs T,N,L
V7: cell-v-007; produces V; needs C,N,F
V8: cell-v-008; produces V; needs O,C,B
V9: cell-v-009; produces V; needs C,K,F
VA: cell-v-010; produces V; needs Q,Z,O
W1: cell-w-001; produces W; needs J,T,E
W2: cell-w-002; produces W; needs T,V,J
W3: cell-w-003; produces W; needs J,R,Y
W4: cell-w-004; produces W; needs Q,S,I
W5: cell-w-005; produces W; needs S,U,G
W6: cell-w-006; produces W; needs S,E,A
W7: cell-w-007; produces W; needs E,K,P
W8: cell-w-008; produces W; needs J,Y,E
W9: cell-w-009; produces W; needs Y,L,F
WA: cell-w-010; produces W; needs K,F,Q
WB: cell-w-011; produces W; needs T,O,X
X1: cell-x-001; produces X; needs M,H,Q
X2: cell-x-002; produces X; needs A,D,V
X3: cell-x-003; produces X; needs H,J,V
X4: cell-x-004; produces X; needs D,T,C
X5: cell-x-005; produces X; needs D,M,E
X6: cell-x-006; produces X; needs S,D,W
X7: cell-x-007; produces X; needs H,E,M
X8: cell-x-008; produces X; needs E,T,A
Y1: cell-y-001; produces Y; needs L,I,K
Y2: cell-y-002; produces Y; needs K,L,N
Y3: cell-y-003; produces Y; needs K,I,V
Y4: cell-y-004; produces Y; needs V,J,W
Y5: cell-y-005; produces Y; needs I,R,L
Y6: cell-y-006; produces Y; needs K,T,P
Z1: cell-z-001; produces Z; needs L,J,F
Z2: cell-z-002; produces Z; needs V,J,Q
