G4 .. .. .. .. *C .. ## R5 ## A4 .. Q5 .. R7 R4 *G ## F3
L2 .. L5 M5 F6 .. Z5 Y2 .. .. A3 HA E4 .. I1 E5 ## W5 U4
.. M1 ## .. .. .. ## H1 .. ## .. B9 W3 E2 C1 ## ## ## ..
W7 ## .. G6 .. T1 J3 B4 *H *6 P5 ## H7 .. *F M7 ## P8 ##
J4 ## D4 *U F2 *S ## V2 *M Z4 B6 T2 P1 P6 C5 .. B2 C6 C3
## ## ## ## T4 K2 ## U3 *2 S1 .. .. ## Y5 .. ## ## H2 X3
.. *Q O5 *I S2 M9 .. RA ## X2 I2 H6 N3 ## .. ## *V Q2 Q1
*D .. C8 U5 R6 ## W2 .. ## HB L4 C4 .. R8 O3 .. PA P4 U1
## .. V6 .. *7 ## .. L6 U2 *9 .. *T C2 S4 Z2 *A .. O2 C9
## O7 D3 .. X1 A2 W4 O1 Y4 .. ## *4 M6 .. Z1 M8 ## .. ##
E6 K3 .. .. ## .. ## .. *K J6 M3 ## T5 P9 .. *W O4 .. Y3
.. .. ## D2 .. K1 F5 .. C7 Q6 .. *8 ## B8 .. Z3 J1 .. ##
## ## H9 ## .. F1 ## .. *L R9 W1 ## W6 ## .. E1 V4 ## N1
P7 B5 R2 *B .. V1 .. G7 ## P3 .. Q3 B3 ## L1 J5 P2 .. *1
I3 .. *3 H5 R1 O8 G5 G2 ## E3 ## J2 S5 *J M2 *P ## .. ..
G1 .. .. .. I4 *E .. ## F4 R3 .. Q4 ## ## *O .. Y1 L3 ..
M4 ## D1 .. ## ## .. N2 .. B1 .. G3 *R .. V3 A1 D5 T6 ..
## ## H4 .. H3 B7 H8 O6 *5 .. ## ## ## S3 V5 *N .. ## T3

Legend:
*1: red-myco-001; red-myco; needs A,Z,E,F
P2: cell-p-002; produces P; needs A,B,F
P3: cell-p-003; produces P; needs D,U,E
P4: cell-p-004; produces P; needs M,A,N
P5: cell-p-005; produces P; needs X,I,F
P6: cell-p-006; produces P; needs G,H,U
P7: cell-p-007; produces P; needs Y,I,H
P8: cell-p-008; produces P; needs H,L,C
P9: cell-p-009; produces P; needs R,L,B
PA: cell-p-010; produces P; needs O,S,Y
Q1: cell-q-001; produces Q; needs C,V,T
Q2: cell-q-002; produces Q; needs D,G,A
Q3: cell-q-003; produces Q; needs E,P,C
Q4: cell-q-004; produces Q; needs K,W,A
Q5: cell-q-005; produces Q; needs Z,R,N
Q6: cell-q-006; produces Q; needs I,G,K
R1: cell-r-001; produces R; needs H,P,W
R2: cell-r-002; produces R; needs P,Y,C
R3: cell-r-003; produces R; needs G,O,V
R4: cell-r-004; produces R; needs H,T,F
R5: cell-r-005; produces R; needs P,M,T
R6: cell-r-006; produces R; needs T,B,F
R7: cell-r-007; produces R; needs Y,X,H
R8: cell-r-008; produces R; needs L,F,A
R9: cell-r-009; produces R; needs L,P,C
RA: cell-r-010; produces R; needs P,C,O
S1: cell-s-001; produces S; needs I,J,B
S2: cell-s-002; produces S; needs X,M,R
S3: cell-s-003; produces S; needs L,W,C
S4: cell-s-004; produces S; needs P,G,V
S5: cell-s-005; produces S; needs J,N,W
T1: cell-t-001; produces T; needs O,Z,I
T2: cell-t-002; produces T; needs A,W,F
T3: cell-t-003; produces T; needs B,U,G
T4: cell-t-004; produces T; needs Y,R,G
T5: cell-t-005; produces T; needs R,N,H
T6: cell-t-006; produces T; needs F,R,E
U1: cell-u-001; produces U; needs T,B,M
U2: cell-u-002; produces U; needs W,L,C
U3: cell-u-003; produces U; needs Q,B,V
U4: cell-u-004; produces U; needs V,Q,C
U5: cell-u-005; produces U; needs P,M,D
V1: cell-v-001; produces V; needs B,H,A
V2: cell-v-002; produces V; needs Q,H,C
V3: cell-v-003; produces V; needs W,G,I
V4: cell-v-004; produces V; needs U,C,E
V5: cell-v-005; produces V; needs A,P,L
V6: cell-v-006; produces V; needs G,Z,S
W1: cell-w-001; produces W; needs T,A,Z
W2: cell-w-002; produces W; needs J,Q,O
W3: cell-w-003; produces W; needs R,H,I
W4: cell-w-004; produces W; needs R,V,T
W5: cell-w-005; produces W; needs M,J,U
W6: cell-w-006; produces W; needs L,A,P
W7: cell-w-007; produces W; needs Q,L,K
X1: cell-x-001; produces X; needs R,S,Y
X2: cell-x-002; produces X; needs F,P,R
X3: cell-x-003; produces X; needs E,Y,C
Y1: cell-y-001; produces Y; needs G,T,L
Y2: cell-y-002; produces Y; needs M,A,D
Y3: cell-y-003; produces Y; needs T,R,D
Y4: cell-y-004; produces Y; needs H,P,I
Y5: cell-y-005; produces Y; needs X,F,E
Z1: cell-z-001; produces Z; needs M,E,I
Z2: cell-z-002; produces Z; needs F,C,D
Z3: cell-z-003; produces Z; needs J,V,S
Z4: cell-z-004; produces Z; needs V,B,G
Z5: cell-z-005; produces Z; needs N,Q,H
