X4 K1 O5 O3 *Q T6 Z4 P1 .. L6 *K .. ## ## Z1 ## .. ##
## H5 .. .. ## D3 K3 .. ## .. .. *A ## D4 *8 ## .. ..
C5 O4 T5 I8 *1 I5 *N L2 .. ## ## F7 U1 I3 *W .. I6 ..
M6 ## M7 .. A3 Q2 ## ## .. ## .. S4 ## *O ## ## X8 G3
## ## .. X1 K5 O1 N3 S5 *C I7 F1 *G .. A5 T3 *V .. *B
## .. .. *D K6 Z9 K7 U3 L5 E8 ## ## M4 R4 X6 .. *S ##
## *P Z5 Y2 WA E6 ## T2 .. ## ## ## F4 K8 ## .. I4 ..
## ## A4 P4 .. .. P8 .. *5 ## Z3 W8 EA W9 PA P6 M3 ..
S3 *T F6 ## .. .. *6 *J G1 ZA .. *9 ## .. H4 S6 W6 E5
X3 .. .. .. W4 .. .. ## E2 P2 .. P9 ## .. D1 E7 M1 P7
L3 J2 J1 .. .. S2 ## V1 E4 *7 S1 G2 EB N2 ## .. ## ##
M9 D7 .. W3 *3 R3 W2 G4 ## Y1 H1 O2 *I .. R5 H2 WB ..
## .. ## C2 ## *U *4 .. E1 F5 X5 L1 .. C1 M8 M5 D6 ..
.. K4 ## .. Z6 *L .. E9 *F D2 W7 F2 ## .. D5 *M T7 K2
C4 Y4 ## .. .. *H .. ## I1 A2 .. R1 ## ## F3 .. ## ##
*E ## .. A1 P3 X2 Z7 Z8 Q1 E3 .. B2 .. ## Q3 R2 .. ##
## ## .. V3 ## T4 *R ## *2 T1 H3 .. ## W1 T8 .. .. N1
U2 P5 ## I2 W5 C3 B1 .. M2 V2 X7 ## L4 Y3 ## Z2 V4 V5

Legend:
*1: red-myco-001; red-myco; needs E,X,R,W
K8: cell-k-008; produces K; needs W,Z,J
L1: cell-l-001; produces L; needs D,R,K
L2: cell-l-002; produces L; needs S,T,V
L3: cell-l-003; produces L; needs F,P,W
L4: cell-l-004; produces L; needs B,Z,H
L5: cell-l-005; produces L; needs N,W,E
L6: cell-l-006; produces L; needs F,W,H
M1: cell-m-001; produces M; needs U,T,E
M2: cell-m-002; produces M; needs X,R,D
M3: cell-m-003; produces M; needs R,K,F
M4: cell-m-004; produces M; needs R,I,X
M5: cell-m-005; produces M; needs S,T,I
M6: cell-m-006; produces M; needs Y,X,P
M7: cell-m-007; produces M; needs Z,P,H
M8: cell-m-008; produces M; needs W,P,L
M9: cell-m-009; produces M; needs O,T,D
N1: cell-n-001; produces N; needs B,U,W
N2: cell-n-002; produces N; needs A,X,V
N3: cell-n-003; produces N; needs E,L,J
O1: cell-o-001; produces O; needs V,W,T
O2: cell-o-002; produces O; needs Q,I,F
O3: cell-o-003; produces O; needs Z,I,P
O4: cell-o-004; produces O; needs P,H,M
O5: cell-o-005; produces O; needs D,M,P
P1: cell-p-001; produces P; needs I,X,A
P2: cell-p-002; produces P; needs Q,X,U
P3: cell-p-003; produces P; needs G,A,U
P4: cell-p-004; produces P; needs Z,F,J
P5: cell-p-005; produces P; needs J,Z,E
P6: cell-p-006; produces P; needs M,D,Z
P7: cell-p-007; produces P; needs T,V,R
P8: cell-p-008; produces P; needs J,C,R
P9: cell-p-009; produces P; needs M,O,W
PA: cell-p-010; produces P; needs G,D,O
Q1: cell-q-001; produces Q; needs U,P,N
Q2: cell-q-002; produces Q; needs A,C,G
Q3: cell-q-003; produces Q; needs H,O,E
R1: cell-r-001; produces R; needs L,M,D
R2: cell-r-002; produces R; needs A,W,I
R3: cell-r-003; produces R; needs S,X,K
R4: cell-r-004; produces R; needs E,T,V
R5: cell-r-005; produces R; needs F,J,P
S1: cell-s-001; produces S; needs Q,L,W
S2: cell-s-002; produces S; needs F,A,X
S3: cell-s-003; produces S; needs I,M,T
S4: cell-s-004; produces S; needs U,C,T
S5: cell-s-005; produces S; needs B,E,C
S6: cell-s-006; produces S; needs F,E,P
T1: cell-t-001; produces T; needs M,E,U
T2: cell-t-002; produces T; needs K,V,U
T3: cell-t-003; produces T; needs L,W,S
T4: cell-t-004; produces T; needs K,I,X
T5: cell-t-005; produces T; needs M,C,S
T6: cell-t-006; produces T; needs G,Q,C
T7: cell-t-007; produces T; needs E,H,Y
T8: cell-t-008; produces T; needs M,Y,O
U1: cell-u-001; produces U; needs E,M,T
U2: cell-u-002; produces U; needs N,Q,B
U3: cell-u-003; produces U; needs A,E,S
V1: cell-v-001; produces V; needs T,O,K
V2: cell-v-002; produces V; needs U,F,G
V3: cell-v-003; produces V; needs B,C,U
V4: cell-v-004; produces V; needs Y,E,W
V5: cell-v-005; produces V; needs P,A,K
W1: cell-w-001; produces W; needs R,K,A
W2: cell-w-002; produces W; needs O,V,S
W3: cell-w-003; produces W; needs T,L,Q
W4: cell-w-004; produces W; needs B,T,N
W5: cell-w-005; produces W; needs F,V,L
W6: cell-w-006; produces W; needs Z,K,L
W7: cell-w-007; produces W; needs K,Q,B
W8: cell-w-008; produces W; needs F,L,I
W9: cell-w-009; produces W; needs J,Y,D
WA: cell-w-010; produces W; needs L,G,N
WB: cell-w-011; produces W; needs L,M,X
X1: cell-x-001; produces X; needs M,D,I
X2: cell-x-002; produces X; needs P,H,Q
X3: cell-x-003; produces X; needs D,R,E
X4: cell-x-004; produces X; needs P,F,Q
X5: cell-x-005; produces X; needs R,K,T
X6: cell-x-006; produces X; needs M,I,Y
X7: cell-x-007; produces X; needs N,J,A
X8: cell-x-008; produces X; needs H,Y,C
Y1: cell-y-001; produces Y; needs I,M,L
Y2: cell-y-002; produces Y; needs W,V,J
Y3: cell-y-003; produces Y; needs X,E,I
Y4: cell-y-004; produces Y; needs Z,E,G
Z1: cell-z-001; produces Z; needs B,D,K
Z2: cell-z-002; produces Z; needs D,F,B
Z3: cell-z-003; produces Z; needs J,I,D
Z4: cell-z-004; produces Z; needs D,X,K
Z5: cell-z-005; produces Z; needs L,W,N
Z6: cell-z-006; produces Z; needs J,P,E
Z7: cell-z-007; produces Z; needs P,O,J
Z8: cell-z-008; produces Z; needs H,M,Y
Z9: cell-z-009; produces Z; needs C,Y,N
ZA: cell-z-010; produces Z; needs Y,C,E
