P6 .. E6 K6 N2 J4 *2 I1 L1 A1 V4 A8 *E V3 W2 M3 F4 Z1 ..
C7 .. N3 .. K3 ## .. S1 *G A4 .. F2 O4 V2 .. Q2 ## .. E3
## I5 D1 .. C1 R5 ## I4 S3 *K ## ## V1 R3 X3 ## G3 K2 ..
*P .. .. *V .. *1 .. ## *N ## .. W6 ## S4 ## W4 .. S7 Z4
C8 *4 .. ## U1 X5 U9 Q1 .. U2 .. .. K8 ## .. A6 L7 .. ##
.. ## ## G7 .. X8 B2 *X C2 ## .. A7 ## K4 Z5 Y3 C3 R1 P2
.. F8 P1 .. ## E2 S2 ## U3 L5 ## Y2 ## X7 T2 ## H1 .. *M
T1 .. .. S6 ## J2 I2 .. .. X6 F9 J3 .. D2 I8 .. *F Z6 ##
O1 W9 .. .. .. *3 ## C6 .. G4 .. ## *I ## K1 ## B5 .. ##
L3 .. L6 ## ## *W O2 AA D3 KA .. ## C5 F3 C4 ## K7 E7 D4
.. G1 ## B1 M2 W3 ## G8 .. Z3 *7 .. H3 .. P3 .. *R ## ##
F6 N4 U4 .. ## G2 X4 K5 ## K9 U7 G6 .. H7 *8 Q3 .. ## ##
*6 Q5 E1 F7 .. O3 *9 *A M4 P4 .. .. N1 X1 *L R2 U6 B6 E4
.. ## H2 ## *J E5 *C G5 ## .. W8 .. A2 Y1 L4 P5 ## ## ..
H6 .. F5 *D ## ## *U A3 X2 M5 ## I3 *S Q4 .. ## M1 R4 ..
Q6 U5 .. Z2 .. ## H5 .. .. A5 B4 *5 A9 D6 W7 *T *B ## I7
W1 S5 ## ## ## ## ## B3 ## ## ## D5 .. .. U8 ## T3 .. L2
.. *Q ## *H I6 .. ## H4 .. *O ## ## .. .. ## .. W5 J1 F1

Legend:
*1: red-myco-001; red-myco; needs H,J,N,B
V3: cell-v-003; produces V; needs Q,H,C
V4: cell-v-004; produces V; needs T,E,R
W1: cell-w-001; produces W; needs N,B,M
W2: cell-w-002; produces W; needs D,L,E
W3: cell-w-003; produces W; needs A,U,C
W4: cell-w-004; produces W; needs B,E,C
W5: cell-w-005; produces W; needs B,G,K
W6: cell-w-006; produces W; needs R,O,J
W7: cell-w-007; produces W; needs U,J,Q
W8: cell-w-008; produces W; needs X,L,A
W9: cell-w-009; produces W; needs G,F,J
X1: cell-x-001; produces X; needs D,K,C
X2: cell-x-002; produces X; needs A,W,L
X3: cell-x-003; produces X; needs F,D,K
X4: cell-x-004; produces X; needs B,C,E
X5: cell-x-005; produces X; needs C,A,I
X6: cell-x-006; produces X; needs A,B,Q
X7: cell-x-007; produces X; needs P,B,S
X8: cell-x-008; produces X; needs S,P,T
Y1: cell-y-001; produces Y; needs I,V,D
Y2: cell-y-002; produces Y; needs Q,P,F
Y3: cell-y-003; produces Y; needs T,Q,S
Z1: cell-z-001; produces Z; needs J,R,H
Z2: cell-z-002; produces Z; needs E,I,S
Z3: cell-z-003; produces Z; needs F,K,G
Z4: cell-z-004; produces Z; needs T,B,D
Z5: cell-z-005; produces Z; needs E,I,A
Z6: cell-z-006; produces Z; needs K,F,O
