.. D1 ## .. ## F1 ## ## K1 X4 .. *F ## ## D2 H7
N3 .. H4 V3 W8 ## *J ## ## ## .. Q3 *8 V1 ## ..
U2 .. W7 I4 V2 .. .. A3 L2 D5 Z2 .. .. ## .. S7
X7 .. .. .. ## W3 ## ## W4 .. L1 .. ## S3 ## *B
A1 J3 W5 T1 Y3 S5 Y5 *G *4 ## F2 *K .. *N ## N2
.. W1 F3 .. ## ## ## .. .. S2 .. ## ## .. E2 ..
.. O2 A2 D6 ## U1 ## S4 .. ## ## ## .. Y4 *E ..
*2 .. B5 Q5 G1 *D .. .. L3 .. P3 ## *3 P1 *I Q1
.. W2 F4 .. X2 .. I6 .. X3 .. Z1 .. I5 W6 .. I1
.. E1 ## ## S6 .. Y1 R1 K5 ## K3 B4 C4 ## J2 ##
Z5 T3 ## .. .. H1 .. ## U3 .. ## X1 D4 H2 C1 ..
.. H6 C2 R2 Q2 *9 K2 .. O1 M1 *M I2 X6 .. .. Y2
## .. .. P2 *5 *A X8 T2 *L Y6 .. H3 .. .. Q4 S8
## .. ## V4 B2 I3 *1 ## T4 .. Z3 Z4 V5 .. T5 G2
## .. .. .. C3 B3 *7 .. ## ## K4 .. G3 *H N1 *C
X5 .. V6 H5 .. .. .. S1 ## B1 .. D3 J1 .. *6 ..

Legend:
*1: red-myco-001; red-myco; needs E,N,K,T
T1: cell-t-001; produces T; needs N,Q,C
T2: cell-t-002; produces T; needs W,U,C
T3: cell-t-003; produces T; needs D,X,C
T4: cell-t-004; produces T; needs C,D,J
T5: cell-t-005; produces T; needs F,I,U
U1: cell-u-001; produces U; needs X,N,G
U2: cell-u-002; produces U; needs Q,S,Z
U3: cell-u-003; produces U; needs K,W,D
V1: cell-v-001; produces V; needs L,Q,H
V2: cell-v-002; produces V; needs Q,D,X
V3: cell-v-003; produces V; needs Z,D,Q
V4: cell-v-004; produces V; needs D,G,F
V5: cell-v-005; produces V; needs H,M,R
V6: cell-v-006; produces V; needs R,H,S
W1: cell-w-001; produces W; needs Z,B,C
W2: cell-w-002; produces W; needs Y,V,H
W3: cell-w-003; produces W; needs M,K,D
W4: cell-w-004; produces W; needs B,Y,E
W5: cell-w-005; produces W; needs E,B,S
W6: cell-w-006; produces W; needs U,T,K
W7: cell-w-007; produces W; needs T,X,D
W8: cell-w-008; produces W; needs D,X,J
X1: cell-x-001; produces X; needs H,Q,B
X2: cell-x-002; produces X; needs S,A,G
X3: cell-x-003; produces X; needs G,U,Q
X4: cell-x-004; produces X; needs Z,P,S
X5: cell-x-005; produces X; needs R,S,V
X6: cell-x-006; produces X; needs J,D,H
X7: cell-x-007; produces X; needs I,N,T
X8: cell-x-008; produces X; needs W,S,U
Y1: cell-y-001; produces Y; needs E,F,O
Y2: cell-y-002; produces Y; needs K,S,F
Y3: cell-y-003; produces Y; needs P,H,W
Y4: cell-y-004; produces Y; needs W,P,D
Y5: cell-y-005; produces Y; needs Z,U,I
Y6: cell-y-006; produces Y; needs H,I,B
Z1: cell-z-001; produces Z; needs C,W,R
Z2: cell-z-002; produces Z; needs Q,V,Y
Z3: cell-z-003; produces Z; needs S,X,U
Z4: cell-z-004; produces Z; needs I,Y,K
Z5: cell-z-005; produces Z; needs S,L,X
