.. .. .. ## .. ## Y2 .. X3 B1 *3 .. O2 .. B3
*C J3 .. L3 ## ## ## D3 .. *B T2 .. .. .. ..
E2 ## A1 .. ## R1 H1 *D Z1 ## .. U1 *A Z2 D6
*6 .. J2 .. ## K3 P1 .. X1 M3 *G .. U2 .. S1
S2 P2 ## L1 .. ## O5 *4 ## .. Y1 J5 *8 .. ##
W2 Q2 O3 ## G3 C1 .. W4 .. N1 ## I2 .. A2 ..
## *9 F1 .. .. .. .. *1 V2 ## O1 U3 D2 .. P3
I4 ## L2 Q1 ## ## .. ## .. X2 W3 ## *E .. ..
## *5 M1 .. .. .. .. J4 V4 ## .. O4 .. G2 K1
F3 E1 .. *F C3 *I .. .. .. W1 R2 D1 .. D5 ##
*H ## J1 .. .. M2 ## I5 ## .. .. ## .. G1 ..
T1 ## .. ## P4 K4 I1 .. *7 .. F2 ## C2 K2 ##
B5 *2 W5 H2 .. V3 .. G4 B4 .. N4 ## .. N3 O6
N2 .. I3 .. ## .. ## H3 B2 .. A3 .. V1 P5 D4

Legend:
*1: red-myco-001; red-myco; needs X,H,D,Y
S2: cell-s-002; produces S; needs R,K,Z
T1: cell-t-001; produces T; needs A,O,P
T2: cell-t-002; produces T; needs O,Q,V
U1: cell-u-001; produces U; needs F,K,O
U2: cell-u-002; produces U; needs E,N,K
U3: cell-u-003; produces U; needs B,I,K
V1: cell-v-001; produces V; needs E,P,A
V2: cell-v-002; produces V; needs Q,O,T
V3: cell-v-003; produces V; needs B,G,M
V4: cell-v-004; produces V; needs D,O,U
W1: cell-w-001; produces W; needs B,S,Y
W2: cell-w-002; produces W; needs S,B,U
W3: cell-w-003; produces W; needs H,A,F
W4: cell-w-004; produces W; needs I,Y,E
W5: cell-w-005; produces W; needs C,N,I
X1: cell-x-001; produces X; needs F,O,J
X2: cell-x-002; produces X; needs J,O,R
X3: cell-x-003; produces X; needs P,M,O
Y1: cell-y-001; produces Y; needs W,A,I
Y2: cell-y-002; produces Y; needs C,K,D
Z1: cell-z-001; produces Z; needs V,R,S
Z2: cell-z-002; produces Z; needs P,I,D
