## Z4 *2 S1 ## .. .. .. L3 P3 U5 *K .. .. T1 ..
R2 ## F4 .. C4 .. G5 Z1 ## R4 ## .. P2 ## Q3 ..
J8 O2 N3 .. E3 R6 ## *3 .. .. .. V2 L2 G4 ## ..
H2 J3 .. .. *B .. W1 ## Z3 .. V1 .. K4 K3 J2 ..
## .. D1 *7 .. ## ## J7 .. X2 ## U4 A3 ## ## W3
## ## ## Y3 *I J4 R1 *J I2 X1 .. Z2 .. *F .. U2
## B1 Q1 *9 .. ## F1 P1 F2 .. .. .. P4 C5 *4 Q2
D2 N4 .. *1 ## ## .. .. ## ## D4 S2 C1 *A B5 T4
T3 J5 .. O3 .. O4 ## .. .. .. K2 *L A1 F3 .. *5
W4 .. *8 L1 H3 O1 A2 C6 .. T6 B2 .. *C U1 .. ##
## T5 ## N1 *D M2 *E I1 .. R3 L4 C2 K1 ## .. J1
## ## X3 .. .. *G .. ## ## G1 P5 N2 W2 ## .. Y1
E1 .. *H .. A4 ## .. ## C3 Y2 .. B3 D3 .. ## U3
J6 .. Q4 M1 .. .. *6 .. ## .. ## N5 .. .. ## ..
T2 .. .. ## I3 ## .. B4 .. R5 G3 ## .. G2 E2 H1

Legend:
*1: red-myco-001; red-myco; needs P,K,G,J
L1: cell-l-001; produces L; needs U,K,T
L2: cell-l-002; produces L; needs A,Q,G
L3: cell-l-003; produces L; needs O,C,H
L4: cell-l-004; produces L; needs G,O,D
M1: cell-m-001; produces M; needs R,C,F
M2: cell-m-002; produces M; needs W,E,P
N1: cell-n-001; produces N; needs F,P,Y
N2: cell-n-002; produces N; needs T,F,L
N3: cell-n-003; produces N; needs Z,I,E
N4: cell-n-004; produces N; needs L,O,C
N5: cell-n-005; produces N; needs C,K,A
O1: cell-o-001; produces O; needs H,L,T
O2: cell-o-002; produces O; needs P,T,Z
O3: cell-o-003; produces O; needs Q,P,J
O4: cell-o-004; produces O; needs J,K,Q
P1: cell-p-001; produces P; needs W,J,T
P2: cell-p-002; produces P; needs O,F,D
P3: cell-p-003; produces P; needs W,X,V
P4: cell-p-004; produces P; needs A,J,T
P5: cell-p-005; produces P; needs Z,O,J
Q1: cell-q-001; produces Q; needs L,D,A
Q2: cell-q-002; produces Q; needs Y,U,C
Q3: cell-q-003; produces Q; needs I,O,T
Q4: cell-q-004; produces Q; needs O,J,I
R1: cell-r-001; produces R; needs P,K,N
R2: cell-r-002; produces R; needs E,K,F
R3: cell-r-003; produces R; needs B,Z,J
R4: cell-r-004; produces R; needs F,M,P
R5: cell-r-005; produces R; needs W,G,I
R6: cell-r-006; produces R; needs A,C,J
S1: cell-s-001; produces S; needs R,Y,X
S2: cell-s-002; produces S; needs J,T,E
T1: cell-t-001; produces T; needs E,W,V
T2: cell-t-002; produces T; needs G,H,A
T3: cell-t-003; produces T; needs Z,A,H
T4: cell-t-004; produces T; needs W,J,Z
T5: cell-t-005; produces T; needs S,M,J
T6: cell-t-006; produces T; needs O,R,P
U1: cell-u-001; produces U; needs K,L,R
U2: cell-u-002; produces U; needs L,G,B
U3: cell-u-003; produces U; needs B,G,Z
U4: cell-u-004; produces U; needs P,B,H
U5: cell-u-005; produces U; needs Q,H,N
V1: cell-v-001; produces V; needs W,C,P
V2: cell-v-002; produces V; needs L,K,I
W1: cell-w-001; produces W; needs T,P,E
W2: cell-w-002; produces W; needs C,V,F
W3: cell-w-003; produces W; needs P,T,J
W4: cell-w-004; produces W; needs X,Z,L
X1: cell-x-001; produces X; needs C,Y,B
X2: cell-x-002; produces X; needs P,G,H
X3: cell-x-003; produces X; needs K,R,H
Y1: cell-y-001; produces Y; needs X,F,C
Y2: cell-y-002; produces Y; needs S,D,B
Y3: cell-y-003; produces Y; needs J,D,U
Z1: cell-z-001; produces Z; needs H,T,Y
Z2: cell-z-002; produces Z; needs E,N,M
Z3: cell-z-003; produces Z; needs J,P,M
Z4: cell-z-004; produces Z; needs W,B,O
