R1 V3 T2 L2 *J .. ## H5 B2 .. ## *C ## .. ## Y2 R4
J6 ## .. P4 V1 *5 A4 M3 .. ## I2 I1 .. L5 K7 Z1 ..
D3 .. V4 R3 E5 .. ## ## V6 W1 N6 P3 *D ## A1 N5 O4
.. M2 ## .. .. ## P2 ## P7 Z3 ## .. D2 K2 F3 F8 ..
A2 *L ## .. ## J7 .. B3 *O E3 Y1 Q3 .. .. U1 N1 *E
.. ## ## .. U4 *F Z2 .. J2 F7 ## *K .. V5 P5 B1 *A
T6 U6 .. .. .. .. KA G3 .. Q1 .. K5 .. .. V2 ## O5
## F6 S2 *9 .. ## K9 *8 N3 *P X2 .. *H G6 O3 G1 ..
X1 X5 .. *2 *G I3 .. C2 ## .. *7 M1 Z4 .. ## P6 H3
*6 J5 K6 .. ## *3 ## L3 E4 K1 ## .. U5 A3 X6 Y3 J3
.. ## .. H4 N4 T7 J4 .. X4 T5 ## ## F4 Q2 *1 .. ..
G2 F1 ## ## ## ## E6 .. ## J1 H1 V7 K4 C3 ## .. F5
.. T1 C4 H2 *Q ## L4 .. .. ## *4 G5 C1 *N .. B5 K3
## V8 ## .. .. ## ## ## K8 U3 .. O1 .. .. .. ## W2
N2 O2 .. .. .. ## .. ## .. ## *B E1 D4 .. .. .. X3
*R *M D1 G4 E7 .. .. U2 ## T4 E9 .. ## ## T3 ## E8
Y4 P1 .. *I S1 L1 .. E2 ## ## .. .. R2 ## ## B4 F2

Legend:
*1: red-myco-001; red-myco; needs G,J,P,F
L4: cell-l-004; produces L; needs K,B,R
L5: cell-l-005; produces L; needs U,K,I
M1: cell-m-001; produces M; needs K,E,D
M2: cell-m-002; produces M; needs F,S,K
M3: cell-m-003; produces M; needs Y,Q,G
N1: cell-n-001; produces N; needs Q,J,G
N2: cell-n-002; produces N; needs X,G,I
N3: cell-n-003; produces N; needs X,T,G
N4: cell-n-004; produces N; needs R,T,F
N5: cell-n-005; produces N; needs Z,V,H
N6: cell-n-006; produces N; needs R,O,B
O1: cell-o-001; produces O; needs U,F,P
O2: cell-o-002; produces O; needs F,J,S
O3: cell-o-003; produces O; needs P,K,V
O4: cell-o-004; produces O; needs W,R,B
O5: cell-o-005; produces O; needs N,B,R
P1: cell-p-001; produces P; needs J,F,I
P2: cell-p-002; produces P; needs K,H,W
P3: cell-p-003; produces P; needs N,U,J
P4: cell-p-004; produces P; needs V,Q,A
P5: cell-p-005; produces P; needs Q,X,N
P6: cell-p-006; produces P; needs G,O,Z
P7: cell-p-007; produces P; needs T,Y,R
Q1: cell-q-001; produces Q; needs G,N,J
Q2: cell-q-002; produces Q; needs P,V,X
Q3: cell-q-003; produces Q; needs V,F,T
R1: cell-r-001; produces R; needs E,M,H
R2: cell-r-002; produces R; needs F,N,Q
R3: cell-r-003; produces R; needs O,N,C
R4: cell-r-004; produces R; needs A,K,H
S1: cell-s-001; produces S; needs K,V,L
S2: cell-s-002; produces S; needs G,D,O
T1: cell-t-001; produces T; needs X,J,P
T2: cell-t-002; produces T; needs H,K,E
T3: cell-t-003; produces T; needs V,H,K
T4: cell-t-004; produces T; needs Z,C,X
T5: cell-t-005; produces T; needs N,L,B
T6: cell-t-006; produces T; needs K,U,F
T7: cell-t-007; produces T; needs C,P,L
U1: cell-u-001; produces U; needs G,E,K
U2: cell-u-002; produces U; needs P,O,Y
U3: cell-u-003; produces U; needs F,I,L
U4: cell-u-004; produces U; needs E,M,K
U5: cell-u-005; produces U; needs G,K,R
U6: cell-u-006; produces U; needs I,L,E
V1: cell-v-001; produces V; needs K,T,M
V2: cell-v-002; produces V; needs S,E,K
V3: cell-v-003; produces V; needs E,N,U
V4: cell-v-004; produces V; needs D,C,S
V5: cell-v-005; produces V; needs H,L,D
V6: cell-v-006; produces V; needs K,P,J
V7: cell-v-007; produces V; needs I,Q,U
V8: cell-v-008; produces V; needs N,B,Z
W1: cell-w-001; produces W; needs A,K,P
W2: cell-w-002; produces W; needs X,C,B
X1: cell-x-001; produces X; needs F,T,Y
X2: cell-x-002; produces X; needs C,M,V
X3: cell-x-003; produces X; needs P,N,Q
X4: cell-x-004; produces X; needs C,Z,T
X5: cell-x-005; produces X; needs Y,B,I
X6: cell-x-006; produces X; needs B,W,A
Y1: cell-y-001; produces Y; needs Z,F,D
Y2: cell-y-002; produces Y; needs I,X,T
Y3: cell-y-003; produces Y; needs P,T,M
Y4: cell-y-004; produces Y; needs M,P,L
Z1: cell-z-001; produces Z; needs D,Y,G
Z2: cell-z-002; produces Z; needs X,G,C
Z3: cell-z-003; produces Z; needs B,G,X
Z4: cell-z-004; produces Z; needs H,N,M
