.. T4 J1 .. F1 U3 A2 .. ## .. ## Y3 J3 F5 ##
J2 T2 *9 B6 .. M3 F4 K1 ## F7 Z3 .. X4 W1 ##
*I Z1 I2 H3 C3 ## H1 O3 .. G8 ## ## X5 W3 B3
*J Z2 *E A1 .. .. Q2 X2 ## I1 ## ## ## .. ##
## .. *D .. N2 X1 *3 .. ## M2 ## G2 O2 S1 ##
.. K5 L1 G1 .. *K P3 ## .. D1 ## E2 P1 .. ..
V2 .. .. R1 .. *5 .. *G .. H2 *F .. ## E4 ..
E1 L6 U2 L2 U1 A3 B4 ## *1 E3 .. .. C4 G7 *H
X6 Y2 *2 P2 .. *6 D3 ## ## *4 F3 .. C1 K4 ##
*C *7 N3 .. Q4 C2 G3 N1 K2 K6 ## ## N5 .. *B
L3 V3 *L .. Q1 N4 I3 G6 .. ## .. Q3 M1 .. ##
.. Z4 L4 S2 .. G4 .. *8 .. ## F6 .. .. .. ##
D2 R2 .. *A T1 P4 .. ## ## ## T3 .. ## ## ..
.. B2 B1 O1 .. G5 W2 F2 L5 X3 Y1 B5 ## U4 ##
.. .. .. ## .. ## ## K3 .. V1 ## .. .. ## ..

Legend:
*1: red-myco-001; red-myco; needs F,N,O,P
P4: cell-p-004; produces P; needs G,E,F
Q1: cell-q-001; produces Q; needs C,F,D
Q2: cell-q-002; produces Q; needs Y,X,H
Q3: cell-q-003; produces Q; needs C,G,B
Q4: cell-q-004; produces Q; needs S,F,O
R1: cell-r-001; produces R; needs Y,W,F
R2: cell-r-002; produces R; needs L,N,E
S1: cell-s-001; produces S; needs K,X,L
S2: cell-s-002; produces S; needs O,Q,D
T1: cell-t-001; produces T; needs E,G,P
T2: cell-t-002; produces T; needs G,L,I
T3: cell-t-003; produces T; needs B,O,W
T4: cell-t-004; produces T; needs C,K,Z
U1: cell-u-001; produces U; needs N,K,A
U2: cell-u-002; produces U; needs G,P,H
U3: cell-u-003; produces U; needs B,J,N
U4: cell-u-004; produces U; needs N,Z,Q
V1: cell-v-001; produces V; needs K,Z,U
V2: cell-v-002; produces V; needs L,B,J
V3: cell-v-003; produces V; needs G,W,K
W1: cell-w-001; produces W; needs R,L,Y
W2: cell-w-002; produces W; needs K,B,X
W3: cell-w-003; produces W; needs V,F,G
X1: cell-x-001; produces X; needs G,B,T
X2: cell-x-002; produces X; needs B,F,C
X3: cell-x-003; produces X; needs S,F,K
X4: cell-x-004; produces X; needs Y,Z,O
X5: cell-x-005; produces X; needs O,A,M
X6: cell-x-006; produces X; needs F,G,Q
Y1: cell-y-001; produces Y; needs F,R,A
Y2: cell-y-002; produces Y; needs H,Q,M
Y3: cell-y-003; produces Y; needs O,X,E
Z1: cell-z-001; produces Z; needs P,U,H
Z2: cell-z-002; produces Z; needs P,H,T
Z3: cell-z-003; produces Z; needs T,C,U
Z4: cell-z-004; produces Z; needs K,W,T
