candidate,won,first_win_tick,best_10_tick_flow,best_10_tick_swaps,total_swaps,total_reactions,sustained_ticks,active_cells,glowing_cells,non_glowing_required_cells,missing_required_resources,non_glowing_cell_ids,final_score,connected_cells,layout_score,diagnostics
0,false,-1,13.50,135,10254,4446,0,16,7,9,0,cell-a-001|cell-d-001|cell-f-001|cell-f-002|cell-g-001|cell-h-001|cell-i-001|cell-l-001|red-myco-002,16008,16,1750976,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-d-001,cell-f-001,cell-f-002,cell-g-001,cell-h-001,cell-i-001,cell-l-001,red-myco-002;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001]|[cell-f-001,cell-i-001,cell-k-002,cell-l-001]|[cell-f-002]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001]|[cell-f-001,cell-i-001,cell-k-002,cell-l-001]|[cell-f-002]|[red-myco-002]"
11,false,-1,15.00,150,12043,5600,0,16,10,6,0,cell-a-001|cell-c-001|cell-d-001|cell-f-002|cell-i-001|cell-l-001,28856,16,1706620,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-c-001,cell-d-001,cell-f-002,cell-i-001,cell-l-001;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001,red-myco-002]|[cell-d-001,cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001];weak=[cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001,red-myco-002]|[cell-d-001,cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]"
12,false,-1,13.00,130,10186,4899,0,16,9,7,0,cell-a-001|cell-b-001|cell-c-001|cell-d-001|cell-f-001|cell-f-002|cell-i-001,19525,16,1614673,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-f-001,cell-f-002,cell-i-001;missingResources=none;strong=[cell-a-001,cell-b-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-002]|[cell-c-001,cell-d-001,cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001,red-myco-001];weak=[cell-a-001,cell-b-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-002]|[cell-c-001,cell-d-001,cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001,red-myco-001]"
13,false,-1,14.20,142,10926,4526,0,16,6,10,1,cell-a-001|cell-b-001|cell-c-001|cell-d-001|cell-f-002|cell-i-001|cell-j-001|cell-k-002|cell-l-001|red-myco-001,15715,16,1527416,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-f-002,cell-i-001,cell-j-001,cell-k-002,cell-l-001,red-myco-001;missingResources=C;strong=[cell-a-001,cell-b-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-002]|[cell-d-001,cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]|[cell-c-001]|[red-myco-001];weak=[cell-a-001,cell-b-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-002]|[cell-d-001,cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]|[cell-c-001]|[red-myco-001]"
14,false,-1,14.70,147,9010,3368,0,16,4,12,1,cell-a-001|cell-b-001|cell-c-001|cell-d-001|cell-f-002|cell-g-001|cell-h-001|cell-i-001|cell-k-002|cell-l-001|red-myco-001|red-myco-002,2099,16,1630979,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-f-002,cell-g-001,cell-h-001,cell-i-001,cell-k-002,cell-l-001,red-myco-001,red-myco-002;missingResources=C;strong=[cell-a-001,cell-b-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001]|[cell-d-001,cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]|[cell-c-001]|[red-myco-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001]|[cell-d-001,cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]|[cell-c-001]|[red-myco-001]|[red-myco-002]"
15,false,-1,13.20,132,10254,4851,0,16,9,7,0,cell-a-001|cell-b-001|cell-c-001|cell-d-001|cell-f-001|cell-f-002|cell-i-001,18944,16,1593638,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-f-001,cell-f-002,cell-i-001;missingResources=none;strong=[cell-a-001,cell-b-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-002]|[cell-c-001,cell-d-001,cell-f-001,cell-i-001,cell-k-002,cell-l-001,red-myco-001]|[cell-f-002];weak=[cell-a-001,cell-b-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-002]|[cell-c-001,cell-d-001,cell-f-001,cell-i-001,cell-k-002,cell-l-001,red-myco-001]|[cell-f-002]"
16,false,-1,17.00,170,12622,5469,0,16,7,9,0,cell-a-001|cell-d-001|cell-f-001|cell-g-001|cell-h-001|cell-i-001|cell-j-001|cell-l-001|red-myco-002,28266,16,1693779,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-d-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-j-001,cell-l-001,red-myco-002;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001]|[cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001]|[cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]|[red-myco-002]"
17,false,-1,14.80,148,11177,3784,0,16,5,11,1,cell-a-001|cell-d-001|cell-f-001|cell-f-002|cell-g-001|cell-h-001|cell-i-001|cell-j-001|cell-k-002|cell-l-001|red-myco-002,8004,16,1602032,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-d-001,cell-f-001,cell-f-002,cell-g-001,cell-h-001,cell-i-001,cell-j-001,cell-k-002,cell-l-001,red-myco-002;missingResources=I;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001]|[cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001]|[cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]|[red-myco-002]"
18,false,-1,13.80,138,10590,4796,0,16,8,8,0,cell-a-001|cell-d-001|cell-e-001|cell-f-001|cell-f-002|cell-i-001|cell-l-001|red-myco-002,20084,16,1650517,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-d-001,cell-e-001,cell-f-001,cell-f-002,cell-i-001,cell-l-001,red-myco-002;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001]|[cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001]|[cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]|[red-myco-002]"
19,false,-1,14.00,140,10616,5447,0,16,10,6,0,cell-a-001|cell-d-001|cell-f-001|cell-f-002|cell-i-001|cell-l-001,27912,16,1689150,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-d-001,cell-f-001,cell-f-002,cell-i-001,cell-l-001;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001,red-myco-002]|[cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001,red-myco-002]|[cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]"
20,false,-1,13.50,135,9875,4730,0,16,7,9,0,cell-a-001|cell-d-001|cell-f-001|cell-f-002|cell-g-001|cell-h-001|cell-i-001|cell-l-001|red-myco-002,19306,16,1753452,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-d-001,cell-f-001,cell-f-002,cell-g-001,cell-h-001,cell-i-001,cell-l-001,red-myco-002;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001]|[cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001]|[cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]|[red-myco-002]"
21,false,-1,14.80,148,11100,5591,0,16,10,6,0,cell-a-001|cell-c-001|cell-d-001|cell-f-002|cell-i-001|cell-l-001,28757,16,1711078,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-c-001,cell-d-001,cell-f-002,cell-i-001,cell-l-001;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001,red-myco-002]|[cell-d-001,cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001];weak=[cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001,red-myco-002]|[cell-d-001,cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]"
22,false,-1,14.90,149,11937,5380,0,16,7,9,0,cell-a-001|cell-d-001|cell-f-001|cell-g-001|cell-h-001|cell-i-001|cell-j-001|cell-l-001|red-myco-002,27120,16,1591618,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-d-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-j-001,cell-l-001,red-myco-002;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001]|[cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001]|[cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]|[red-myco-002]"
23,false,-1,13.60,136,9801,1989,0,16,3,13,1,cell-a-001|cell-b-001|cell-c-001|cell-d-001|cell-f-001|cell-f-002|cell-g-001|cell-h-001|cell-i-001|cell-j-001|cell-k-002|cell-l-001|red-myco-002,-13621,16,1477606,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-f-001,cell-f-002,cell-g-001,cell-h-001,cell-i-001,cell-j-001,cell-k-002,cell-l-001,red-myco-002;missingResources=I;strong=[cell-a-001,cell-b-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001]|[cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]|[cell-c-001,cell-d-001,red-myco-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001]|[cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]|[cell-c-001,cell-d-001,red-myco-001]|[red-myco-002]"
24,false,-1,11.90,119,7907,3603,0,16,5,11,3,cell-a-001|cell-b-001|cell-c-001|cell-d-001|cell-f-001|cell-f-002|cell-i-001|cell-j-001|cell-k-002|cell-l-001|red-myco-001,3943,16,1480188,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-f-001,cell-f-002,cell-i-001,cell-j-001,cell-k-002,cell-l-001,red-myco-001;missingResources=C,D,L;strong=[cell-a-001,cell-b-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-002]|[cell-i-001,cell-k-002]|[cell-c-001]|[cell-d-001]|[cell-f-001]|[cell-f-002]|[cell-l-001]|[red-myco-001];weak=[cell-a-001,cell-b-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-002]|[cell-i-001,cell-k-002]|[cell-c-001]|[cell-d-001]|[cell-f-001]|[cell-f-002]|[cell-l-001]|[red-myco-001]"
25,false,-1,14.60,146,11598,4901,0,16,10,6,0,cell-d-001|cell-f-001|cell-i-001|cell-j-001|cell-k-002|cell-l-001,21363,16,1720972,"alive=False;won=False;sustained=0;nonGlowing=cell-d-001,cell-f-001,cell-i-001,cell-j-001,cell-k-002,cell-l-001;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001,red-myco-002]|[cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001,red-myco-002]|[cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]"
26,false,-1,13.70,137,10042,4699,0,16,7,9,0,cell-a-001|cell-c-001|cell-d-001|cell-f-002|cell-g-001|cell-h-001|cell-i-001|cell-l-001|red-myco-002,18049,16,1655266,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-c-001,cell-d-001,cell-f-002,cell-g-001,cell-h-001,cell-i-001,cell-l-001,red-myco-002;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001]|[cell-d-001,cell-f-001,cell-i-001,cell-k-002,cell-l-001]|[cell-f-002]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001]|[cell-d-001,cell-f-001,cell-i-001,cell-k-002,cell-l-001]|[cell-f-002]|[red-myco-002]"
27,false,-1,13.90,139,10916,5403,0,16,8,8,0,cell-a-001|cell-c-001|cell-d-001|cell-g-001|cell-h-001|cell-i-001|cell-l-001|red-myco-002,26491,16,1750546,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-c-001,cell-d-001,cell-g-001,cell-h-001,cell-i-001,cell-l-001,red-myco-002;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001]|[cell-d-001,cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001]|[cell-d-001,cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]|[red-myco-002]"
28,false,-1,14.60,146,11759,4890,0,16,7,9,0,cell-a-001|cell-b-001|cell-d-001|cell-f-001|cell-g-001|cell-h-001|cell-i-001|cell-l-001|red-myco-002,21261,16,1758355,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-d-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-l-001,red-myco-002;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001]|[cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001]|[cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]|[red-myco-002]"
29,false,-1,17.90,179,13007,7110,0,16,10,6,0,cell-a-001|cell-f-001|cell-g-001|cell-h-001|cell-i-001|red-myco-002,47262,16,1783558,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,red-myco-002;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-h-001,cell-i-001,cell-j-001,cell-k-001,cell-k-002,cell-l-001,red-myco-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-h-001,cell-i-001,cell-j-001,cell-k-001,cell-k-002,cell-l-001,red-myco-001]|[red-myco-002]"
30,false,-1,16.00,160,13929,6775,0,16,10,6,0,cell-a-001|cell-d-001|cell-f-001|cell-i-001|cell-j-001|cell-l-001,43896,16,1658709,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-d-001,cell-f-001,cell-i-001,cell-j-001,cell-l-001;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001,red-myco-002]|[cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001,cell-k-001,red-myco-001,red-myco-002]|[cell-f-001,cell-f-002,cell-i-001,cell-k-002,cell-l-001]"
