Puzzle solver summary
  playable only: True
  won: False
  accepted near win: False
  need attempt: 0
  candidate index: -1
  candidates evaluated in winning attempt: 0
  ticks per candidate: 0
  win duration ticks: 3
  required alive ticks at end: 0
  final sustained ticks: 0
  stable at end: False
  glowing cells: 0/129
  swaps: 0
  reactions: 0
  active cells in last window: 0
  touching pairs: 233
  strain penalty: -0
  final score: 0

Cells
  cell-c-001: produces C; needs B, X, Z
  cell-k-004: produces K; needs H, X, U
  cell-x-003: produces X; needs K, R, H
  red-myco-015: red myco; needs Z, R, V, B
  cell-s-001: produces S; needs R, Y, X
  cell-y-002: produces Y; needs S, D, B
  cell-d-003: produces D; needs Y, I, S
  cell-i-003: produces I; needs D, J, Y
  cell-j-004: produces J; needs I, H, D
  red-myco-016: red myco; needs J, P, Z, H
  cell-w-003: produces W; needs P, T, J
  cell-t-004: produces T; needs W, J, Z
  cell-j-005: produces J; needs T, S, W
  cell-s-002: produces S; needs J, T, E
  cell-t-005: produces T; needs S, M, J
  red-myco-017: red myco; needs M, J, L, C
  cell-j-006: produces J; needs C, Z, T
  cell-z-003: produces Z; needs J, P, M
  cell-p-005: produces P; needs Z, O, J
  cell-o-002: produces O; needs P, T, Z
  cell-t-006: produces T; needs O, R, P
  red-myco-018: red myco; needs M, I, R, P
  cell-q-003: produces Q; needs I, O, T
  cell-o-003: produces O; needs Q, P, J
  cell-q-004: produces Q; needs O, J, I
  cell-j-007: produces J; needs Q, O, K
  cell-o-004: produces O; needs J, K, Q
  red-myco-019: red myco; needs K, L, Z, O
  cell-n-004: produces N; needs L, O, C
  cell-n-005: produces N; needs C, K, A
  cell-c-006: produces C; needs N, A, R
  cell-a-004: produces A; needs C, R, N
  cell-r-006: produces R; needs A, C, J
  red-myco-020: red myco; needs N, C, U, E
  cell-j-008: produces J; needs E, Y, R
  cell-y-003: produces Y; needs J, D, U
  cell-d-004: produces D; needs Y, G, J
  cell-g-005: produces G; needs D, L, Y
  cell-l-004: produces L; needs G, O, D
  red-myco-021: red myco; needs G, X, O, L
  cell-w-004: produces W; needs X, Z, L
  cell-z-004: produces Z; needs W, B, O
  cell-b-005: produces B; needs Z, C, W

