Puzzle solver summary
  playable only: True
  won: False
  accepted near win: False
  need attempt: 0
  candidate index: -1
  candidates evaluated in winning attempt: 0
  ticks per candidate: 0
  win duration ticks: 3
  required alive ticks at end: 0
  final sustained ticks: 0
  stable at end: False
  glowing cells: 0/202
  swaps: 0
  reactions: 0
  active cells in last window: 0
  touching pairs: 301
  strain penalty: -0
  final score: 0

Cells
  cell-n-001: produces N; needs J, G, U
  cell-o-003: produces O; needs P, A, Y
  cell-a-008: produces A; needs O, I, P
  cell-i-008: produces I; needs A, G, O
  red-myco-028: red myco; needs G, A, V, U
  cell-l-006: produces L; needs U, S, I
  cell-s-006: produces S; needs L, V, G
  cell-l-007: produces L; needs S, G, P
  cell-g-008: produces G; needs L, P, S
  cell-p-005: produces P; needs G, S, L
  red-myco-029: red myco; needs R, C, S, I
  cell-a-009: produces A; needs S, O, P
  cell-o-004: produces O; needs A, K, C
  cell-k-010: produces K; needs O, Z, A
  cell-z-006: produces Z; needs K, F, O
  cell-f-009: produces F; needs Z, J, K
  red-myco-030: red myco; needs A, L, J, B
  cell-u-008: produces U; needs L, R, F
  cell-r-005: produces R; needs U, T, J
  cell-t-003: produces T; needs R, V, U
  cell-v-004: produces V; needs T, E, R
  cell-e-007: produces E; needs V, T, X
  red-myco-031: red myco; needs B, T, S, I
  cell-x-004: produces X; needs B, C, E
  cell-c-008: produces C; needs X, T, A
  cell-x-005: produces X; needs C, A, I
  cell-a-010: produces A; needs X, C, R
  cell-x-006: produces X; needs A, B, Q
  red-myco-032: red myco; needs D, A, R, O
  cell-b-006: produces B; needs R, P, X
  cell-p-006: produces P; needs B, X, R
  cell-x-007: produces X; needs P, B, S
  cell-x-008: produces X; needs S, P, T
  cell-s-007: produces S; needs X, I, Y
  red-myco-033: red myco; needs X, T, A, I
  cell-y-003: produces Y; needs T, Q, S
  cell-q-006: produces Q; needs Y, U, A
  cell-u-009: produces U; needs Q, J, Y
  cell-j-004: produces J; needs U, N, Q

